id,content,start,end,group,type,style
1,Acer collection,7/24/17,NA,1,point,NA
2,Recovery at 26C,7/26/17,11/16/17,1,background,
3,,7/26/17,NA,3,point,NA
4,,8/30/17,NA,3,point,NA
5,S:H,8/30/17,NA,3,box,NA
6,Growth,8/30/17,10/18/17,2,range,NA
7,,10/10/17,NA,3,point,NA
8,S:H,10/18/17,NA,3,box,NA
9,,11/6/17,NA,3,point,NA
10,Growth,10/18/17,11/8/17,2,range,NA
11,S:H,11/15/17,NA,3,box,NA
12,Growth,11/16/17,12/13/17,2,range,NA
13,Nutrient effect at 26,11/17/17,2/4/18,1,background,background: #e6f2ff;text-align: center;
14,Nutrient enrichment,11/17/17,2/15/18,1,range,NA
15,,11/23/17,NA,3,point,NA
16,,11/29/17,NA,3,point,NA
17,,12/6/17,NA,3,point,NA
18,S:H,12/13/17,NA,3,box,NA
19,Growth,12/15/17,1/15/18,2,range,NA
20,,1/3/18,NA,3,point,NA
21,Growth,1/16/18,1/28/18,2,range,NA
22,,1/19/18,NA,3,point,NA
23,,1/25/18,NA,3,point,NA
24,S:H,1/29/18,NA,3,box,NA
25,Sacrificial samples,2/5/18,NA,2,box,NA
26,Growth,1/29/18,2/14/18,2,range,NA
27,Ramping Temp,2/5/18,2/14/18,1,background,background: #ffcccc; text-align: center;
28,,2/7/18,NA,3,point,NA
29,,2/12/18,NA,3,point,NA
30,Growth,2/14/18,2/23/18,2,range,NA
31,,2/15/18,NA,3,point,NA
32,,2/19/18,NA,3,point,NA
33,Bleaching response ,2/15/18,3/9/18,1,background,background: #ff1a1a; text-align: center;
34,Heat stress,2/15/18,3/9/18,1,range,NA
35,S:H,2/22/18,NA,3,box,NA
36,,2/26/18,NA,3,point,NA
37,,3/1/18,NA,3,point,NA
38,,3/5/18,,3,point,NA
39,,3/8/18,,3,point,NA
