Data,Date,Y
IPAM,2017-10-10,31
IPAM,2017-11-06,31
IPAM,2017-11-23,31
IPAM,2017-11-29,31
IPAM,2017-12-06,31
IPAM,2018-01-03,31
IPAM,2018-01-19,31
IPAM,2018-01-25,31
IPAM,2018-02-07,31
IPAM,2018-02-12,31
IPAM,2018-02-15,31
IPAM,2018-02-19,31
IPAM,2018-02-26,31
IPAM,2018-03-01,31
IPAM,2018-02-22,31
IPAM,2018-08-30,31
IPAM,2017-10-18,31
IPAM,2017-11-15,31
IPAM,2017-12-13,31
IPAM,2018-01-29,31
Weight_I,2017-08-30,30.5
Weight_F,2017-10-18,30.5
Weight_I,2017-11-16,30.5
Weight_F,2017-12-13,30.5
Weight_I,2017-12-15,30.5
Weight_F,2018-01-16,30.5
Weight_I,2018-01-16,30.5
Weight_F,2018-01-29,30.5
Weight_I,2018-02-14,30.5
Weight_F,2018-02-23,30.5
