"Treatment","Day","emmean","SE","df","lower.CL","upper.CL",".group"
"Ambient","-28",3.51574706031,0.262716457839105,7.69896377790625,2.90577368056609,4.12572044005392,"      67"
"N","-28",3.70565096003697,0.174693817748369,13.5574609299074,3.32981933267477,4.08148258739917,"       7"
"N+P","-28",3.52066299724956,0.222507924051677,9.22033764225218,3.01914271509041,4.02218327940871,"       7"
"Ambient","28",3.56074045641602,0.263461956206979,7.79009570893844,2.95033479581097,4.17114611702106,"      67"
"N","28",2.55208754540282,0.17469381774839,13.5574609299077,2.17625591804058,2.92791917276506,"     56 "
"N+P","28",3.00119706246437,0.222707051297464,9.33085059130328,2.5001086457465,3.50228547918223,"     567"
"Ambient","62",3.46636577001127,0.263464329022362,7.79002386028045,2.85595360193206,4.07677793809048,"      67"
"N","62",1.64957778930526,0.17469381774839,13.5574609299076,1.27374616194302,2.0254094166675,"   34   "
"N+P","62",1.64025494263978,0.222217623047609,9.20070321566358,1.13923035534712,2.14127952993244,"  23    "
"Ambient","75",3.38382279177156,0.262716457839079,7.6989637779043,2.77384941202768,3.99379617151545,"      67"
"N","75",1.00102650066883,0.18151138796682,15.1600075960261,0.614499482351836,1.38755351898582,"  2     "
"N+P","75",1.23034861312696,0.222217623047609,9.20070321566357,0.729324025834304,1.73137320041962,"  23    "
"Ambient","91",2.48002674665052,0.26896359783511,8.47997395108362,1.86585337989172,3.09420011340932,"    45  "
"N","91",0.799643962411859,0.211829397690609,26.410787510105,0.364551776203724,1.23473614861999,"  2     "
"N+P","91",1.09335532161988,0.23619212073015,11.7469019286663,0.57750444978382,1.60920619345594,"  23    "
"Ambient","100",1.39083299665051,0.268963597835108,8.47997395108403,0.776659629891725,2.0050063634093,"  23    "
"N","100",-0.876274802694923,0.252396124342113,46.2413600642054,-1.38425030034771,-0.368299305042137," 1      "
"N+P","100",-1.04141339457719,0.278900970874562,20.8033337400906,-1.62175376408658,-0.461073025067791," 1      "
