Fra,Gen,Treatment,Replicate,Time,Period,Initial Date,Final Date,dBW/g,dAW/gd,
176,Green,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,1.912,1.9007,
182,Green,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.5901,3.5801,
189,Green,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.3182,3.3083,
281,Green,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.8688,2.8674,
287,Green,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.6697,2.6683,
116,G-O,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.3699,3.3617,
122,G-O,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.4347,3.4264,
129,G-O,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.1654,3.1516,
220,G-O,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.3617,4.34,
226,G-O,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.1588,3.1394,
149,Orange,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.8446,3.8318,
157,Orange,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.2921,3.2796,
248,Orange,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.0645,4.0467,
162,R-O,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.2765,4.2634,
169,R-O,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.0137,4.0013,
261,R-O,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.6414,3.6239,
267,R-O,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.3058,2.2897,
273,R-O,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.6706,3.6536,
105,R-Y,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.5022,3.4904,
204,R-Y,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.338,4.3163,
143,Yellow,Control,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.7879,3.7751,
177,Green,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.0569,4.0467,
183,Green,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.668,3.6602,
190,Green,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.8484,2.8301,
282,Green,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.6607,2.6614,
288,Green,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.9714,2.9722,
117,G-O,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.4805,2.4747,
123,G-O,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.5195,3.5135,
130,G-O,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.9612,2.9496,
221,G-O,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.084,4.0661,
227,G-O,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.6563,2.6395,
150,Orange,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.0523,3.042,
158,Orange,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.445,4.4342,
249,Orange,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.7479,4.7319,
164,R-O,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.7624,4.7449,
170,R-O,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.9115,3.9014,
262,R-O,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.0854,2.0716,
268,R-O,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.2415,3.2269,
274,R-O,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,6.593,6.5938,
106,R-Y,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,6.5265,6.5157,
206,R-Y,N,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,5.0989,5.0789,
178,Green,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.7053,3.6979,
184,Green,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,1.6003,1.5956,
276,Green,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.3206,2.3237,
283,Green,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.29,3.2933,
289,Green,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.1605,3.1638,
118,G-O,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.9362,2.9329,
124,G-O,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.8352,2.8319,
216,G-O,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.3226,3.3065,
222,G-O,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,1.9387,1.9248,
228,G-O,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.6917,2.6774,
151,Orange,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.8979,2.8903,
159,Orange,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.8265,4.8182,
250,Orange,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,5.8918,5.8779,
165,R-O,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.5641,4.5495,
