Fragment,Treatment,Replicate,Date,Time_Point,Phase,Genotype,Days_Experiment,Days_Survivor,Fu.time_tot,Fu.stat_tot,Fu.time_texp,Fu.stat_exp
Ac_161,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_07,-97,17,17,1,NA,NA
Ac_163,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_07,-97,17,17,1,NA,NA
Ac_172,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_07,-97,17,17,1,NA,NA
Ac_275,BaseLine,NA,7/31/17,T0.1,Baseline,Ac_07,-106,8,8,1,NA,NA
Ac_131,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_132,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_133,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_134,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_135,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_136,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_137,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_138,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_139,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_140,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_141,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_142,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_236,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_237,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_238,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_239,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_240,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_241,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
Ac_242,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_08,-97,17,17,1,NA,NA
