Fragment,Treatment,Replicate,Date,Time_Point,Phase,Genotype,Gen_Treat,Days_Experiment,Days_Survivor,Fu.time_tot,Fu.stat_tot,Fu.time_texp,Fu.stat_exp
Ac_162,Ambient,R1,03/08/2018,T23,Heat,G_07,Ac_07_Ambient,113,227,227,0,113,0
Ac_169,Ambient,R1,03/08/2018,T23,Heat,G_07,Ac_07_Ambient,113,227,227,0,113,0
Ac_261,Ambient,R1,03/08/2018,T23,Heat,G_07,Ac_07_Ambient,113,227,227,0,113,0
Ac_267,Ambient,R1,02/05/2018,T14,Nutrients,G_07,Ac_07_Ambient,82,196,196,0,82,0
Ac_273,Ambient,R1,03/08/2018,T23,Heat,G_07,Ac_07_Ambient,113,227,227,0,113,0
Ac_166,Ambient,R2,03/08/2018,T23,Heat,G_07,Ac_07_Ambient,113,227,227,0,113,0
Ac_173,Ambient,R2,03/08/2018,T23,Heat,G_07,Ac_07_Ambient,113,227,227,0,113,0
Ac_264,Ambient,R2,03/08/2018,T23,Heat,G_07,Ac_07_Ambient,113,227,227,0,113,0
Ac_270,Ambient,R2,02/05/2018,T14,Nutrients,G_07,Ac_07_Ambient,82,196,196,0,82,0
Ac_143,Ambient,R1,03/08/2018,T23,Heat,G_08,Ac_08_Ambient,113,227,227,0,113,0
Ac_231,Ambient,R2,03/08/2018,T23,Heat,G_08,Ac_08_Ambient,113,227,227,0,113,0
Ac_149,Ambient,R1,02/05/2018,T14,Nutrients,G_31,Ac_31_Ambient,82,196,196,0,82,0
Ac_157,Ambient,R1,03/08/2018,T23,Heat,G_31,Ac_31_Ambient,113,227,227,0,113,0
Ac_248,Ambient,R1,03/08/2018,T23,Heat,G_31,Ac_31_Ambient,113,227,227,0,113,0
Ac_152,Ambient,R2,03/08/2018,T23,Heat,G_31,Ac_31_Ambient,113,227,227,0,113,0
Ac_160,Ambient,R2,03/08/2018,T23,Heat,G_31,Ac_31_Ambient,113,227,227,0,113,0
Ac_176,Ambient,R1,03/08/2018,T23,Heat,G_48,Ac_48_Ambient,113,227,227,0,113,0
Ac_182,Ambient,R1,03/08/2018,T23,Heat,G_48,Ac_48_Ambient,113,227,227,0,113,0
Ac_189,Ambient,R1,02/05/2018,T14,Nutrients,G_48,Ac_48_Ambient,82,196,196,0,82,0
Ac_281,Ambient,R1,03/08/2018,T23,Heat,G_48,Ac_48_Ambient,113,227,227,0,113,0
