Fragment,Colony,Treatment,Replicate,Tre_Gen,Date,Days_Experiment,Fu.stat_exp,Fu.time_texp
Of_6-6,Of_6,A,R1,A_Of_6,2018-02-05,82,0,82
Of_6-83,Of_6,A,R1,A_Of_6,2018-04-20,156,0,113
Of_6-112,Of_6,A,R1,A_Of_6,2018-03-27,132,0,113
Of_20-14,Of_20,A,R1,A_Of_20,2018-02-05,82,0,82
Of_20-19,Of_20,A,R1,A_Of_20,2018-03-27,132,0,113
Of_20-30,Of_20,A,R1,A_Of_20,2018-04-20,156,0,113
Of_31-34,Of_31,A,R1,A_Of_31,2018-02-05,82,0,82
Of_31-41,Of_31,A,R1,A_Of_31,2018-03-05,110,1,110
Of_31-45,Of_31,A,R1,A_Of_31,2018-03-01,106,1,106
Of_34-20,Of_34,A,R1,A_Of_34,2018-03-27,132,0,113
Of_34-36,Of_34,A,R1,A_Of_34,2018-02-05,82,0,82
Of_34-49,Of_34,A,R1,A_Of_34,2018-04-20,156,0,113
Of_6-9,Of_6,N,R1,N_Of_6,2018-04-20,156,0,113
Of_6-81,Of_6,N,R1,N_Of_6,2018-02-05,82,0,82
Of_6-96,Of_6,N,R1,N_Of_6,2018-03-27,132,0,113
Of_20-2,Of_20,N,R1,N_Of_20,2018-03-27,132,0,113
Of_20-28,Of_20,N,R1,N_Of_20,2018-02-05,82,0,82
Of_20-46,Of_20,N,R1,N_Of_20,2018-04-20,156,0,113
Of_31-25,Of_31,N,R1,N_Of_31,2018-02-15,92,1,92
Of_31-30,Of_31,N,R1,N_Of_31,2018-02-05,82,0,82
Of_31-43,Of_31,N,R1,N_Of_31,2018-03-01,106,1,106
Of_34-5,Of_34,N,R1,N_Of_34,2018-04-20,156,0,113
Of_34-38,Of_34,N,R1,N_Of_34,2018-02-05,82,0,82
Of_34-44,Of_34,N,R1,N_Of_34,2018-03-27,132,0,113
Of_6-61,Of_6,N+P,R1,N+P_Of_6,2018-04-20,156,0,113
Of_6-86,Of_6,N+P,R1,N+P_Of_6,2018-02-05,82,0,82
Of_6-115,Of_6,N+P,R1,N+P_Of_6,2018-03-27,132,0,113
Of_20-17,Of_20,N+P,R1,N+P_Of_20,2018-04-20,156,0,113
Of_20-34,Of_20,N+P,R1,N+P_Of_20,2018-04-20,156,0,113
Of_20-40,Of_20,N+P,R1,N+P_Of_20,2018-02-05,82,0,82
Of_31-17,Of_31,N+P,R1,N+P_Of_31,2018-02-22,99,1,99
Of_31-39,Of_31,N+P,R1,N+P_Of_31,2018-02-22,99,1,99
Of_31-40,Of_31,N+P,R1,N+P_Of_31,2018-02-05,82,0,82
Of_34-4,Of_34,N+P,R1,N+P_Of_34,2018-02-05,82,0,82
Of_34-9,Of_34,N+P,R1,N+P_Of_34,2018-04-20,156,0,113
Of_34-22,Of_34,N+P,R1,N+P_Of_34,2018-03-27,132,0,113
Of_6-40,Of_6,A,R2,A_Of_6,2018-02-05,82,0,82
Of_6-85,Of_6,A,R2,A_Of_6,2018-03-27,132,0,113
Of_6-116,Of_6,A,R2,A_Of_6,2018-04-20,156,0,113
Of_20-3,Of_20,A,R2,A_Of_20,2018-04-20,156,0,113
Of_20-4,Of_20,A,R2,A_Of_20,2018-03-27,132,0,113
Of_20-21,Of_20,A,R2,A_Of_20,2018-02-05,82,0,82
Of_31-13,Of_31,A,R2,A_Of_31,2018-02-15,92,1,92
Of_31-24,Of_31,A,R2,A_Of_31,2018-02-05,82,0,82
Of_31-46,Of_31,A,R2,A_Of_31,2018-03-05,110,1,110
Of_34-8,Of_34,A,R2,A_Of_34,2018-04-20,156,0,113
Of_34-11,Of_34,A,R2,A_Of_34,2018-02-05,82,0,82
Of_34-23,Of_34,A,R2,A_Of_34,2018-03-08,113,0,113
Of_6-12,Of_6,N,R2,N_Of_6,2018-04-20,156,0,113
Of_6-19,Of_6,N,R2,N_Of_6,2018-03-27,132,0,113
Of_6-118,Of_6,N,R2,N_Of_6,2018-02-05,82,0,82
Of_20-29,Of_20,N,R2,N_Of_20,2018-04-20,156,0,113
Of_20-41,Of_20,N,R2,N_Of_20,2018-03-27,132,0,113
Of_20-45,Of_20,N,R2,N_Of_20,2018-02-05,82,0,82
Of_31-3,Of_31,N,R2,N_Of_31,2018-02-12,89,1,89
Of_31-8,Of_31,N,R2,N_Of_31,2018-02-05,82,0,82
Of_31-10,Of_31,N,R2,N_Of_31,2018-03-05,110,1,110
Of_34-10,Of_34,N,R2,N_Of_34,2018-02-05,82,0,82
Of_34-24,Of_34,N,R2,N_Of_34,2018-03-27,132,0,113
Of_34-25,Of_34,N,R2,N_Of_34,2018-04-20,156,0,113
Of_6-49,Of_6,N+P,R2,N+P_Of_6,2018-02-22,99,1,99
Of_6-72,Of_6,N+P,R2,N+P_Of_6,2018-03-27,132,0,113
Of_6-82,Of_6,N+P,R2,N+P_Of_6,2018-02-05,82,0,82
Of_20-11,Of_20,N+P,R2,N+P_Of_20,2018-03-27,132,0,113
Of_20-43,Of_20,N+P,R2,N+P_Of_20,2018-02-05,82,0,82
Of_20-50,Of_20,N+P,R2,N+P_Of_20,2018-04-20,156,0,113
Of_31-2,Of_31,N+P,R2,N+P_Of_31,2018-02-05,82,0,82
Of_31-11,Of_31,N+P,R2,N+P_Of_31,2018-02-15,92,1,92
Of_31-49,Of_31,N+P,R2,N+P_Of_31,2018-02-19,96,1,96
Of_34-7,Of_34,N+P,R2,N+P_Of_34,2018-02-05,82,0,82
Of_34-21,Of_34,N+P,R2,N+P_Of_34,2018-03-27,132,0,113
Of_34-32,Of_34,N+P,R2,N+P_Of_34,2018-04-20,156,0,113
