"","strata","time","n.risk","n.event","surv","std.err"
"1","Genotype=G_48",82,18,0,1,0
"2","Genotype=G_48",91,14,0,1,0
"3","Genotype=G_48",106,14,4,0.714285714285714,0.120736322104074
"4","Genotype=G_48",110,10,8,0.142857142857143,0.0935219529582825
"5","Genotype=G_62",82,20,0,1,0
"6","Genotype=G_62",91,15,0,1,0
"7","Genotype=G_62",106,14,5,0.666666666666667,0.121716123890037
"8","Genotype=G_62",110,10,8,0.133333333333333,0.0877707451472511
"9","Genotype=G_31",82,11,0,1,0
"10","Genotype=G_31",91,8,0,1,0
"11","Genotype=G_31",106,2,7,0.125,0.116926793336686
"12","Genotype=G_31",110,1,0,0.125,0.116926793336686
"13","Genotype=G_08",82,6,0,1,0
"14","Genotype=G_08",91,5,0,1,0
"15","Genotype=G_07",82,16,1,0.941176470588235,0.0570672058909019
"16","Genotype=G_07",91,11,1,0.862745098039216,0.0915169979263641
"17","Genotype=G_50",82,5,4,0.555555555555556,0.165634664999984
"18","Genotype=G_50",91,4,0,0.555555555555556,0.165634664999984
