"MoteGen","Day","emmean","SE","df","lower.CL","upper.CL",".group"
"G_48","-28",3.14370999999997,0.210212005592176,68.1367444540042,2.72425371647811,3.56316628352182," 12345678    "
"G_48","28",3.73612,0.210212005592176,68.1367444540072,3.31666371647814,4.15557628352185,"  2 4567890AB"
"G_48","62",4.17512999999999,0.210212005592176,68.1367444540069,3.75567371647814,4.59458628352184,"         90AB"
"G_48","75",4.13511999999999,0.210212005592176,68.1367444540072,3.71566371647814,4.55457628352184,"         90AB"
"G_62","-28",3.52376666666667,0.221582909727776,68.1367444540093,3.08162092173387,3.96591241159947," 1234567890AB"
"G_62","28",3.63932694084765,0.229291825500919,74.7271143403575,3.18252685945277,4.09612702224253," 1234567890AB"
"G_62","62",3.83721111111111,0.221582909727776,68.1367444540093,3.39506536617831,4.27935685604392,"    4 67890AB"
"G_62","75",3.86168888888889,0.221582909727776,68.1367444540093,3.41954314395609,4.30383463382169,"    4 67890AB"
"G_31","-28",4.04336,0.297284669282104,68.1367444540093,3.45015923502078,4.63656076497922,"    4 67890AB"
"G_31","28",4.79284,0.297284669282103,68.1367444540093,4.19963923502078,5.38604076497922,"            B"
"G_31","62",4.64008,0.297284669282103,68.1367444540093,4.04687923502078,5.23328076497922,"           AB"
"G_31","75",4.09938,0.297284669282103,68.1367444540093,3.50617923502078,4.69258076497922,"       7890AB"
"G_08","-28",3.392,0.47004833419067,68.1367444540093,2.45406723645571,4.32993276354428," 1234567890AB"
"G_08","28",1.9752,0.47004833419067,68.1367444540093,1.03726723645571,2.91313276354428," 123456      "
"G_08","62",2.0906,0.47004833419067,68.1367444540093,1.15266723645571,3.02853276354428," 12345678    "
"G_08","75",2.06255,0.47004833419067,68.1367444540096,1.12461723645571,3.00048276354428," 12345678    "
"G_07","-28",3.73242222222222,0.221582909727776,68.1367444540093,3.29027647728942,4.17456796715502,"    4 67890AB"
"G_07","28",3.2721,0.221582909727776,68.1367444540093,2.8299542550672,3.7142457449328," 1234567890A "
"G_07","62",2.60086793285464,0.229291825500919,74.7271143403575,2.14406785145976,3.05766801424951," 123 5       "
"G_07","75",2.49026666666667,0.221582909727776,68.136744454009,2.04812092173387,2.93241241159947," 1 3         "
"G_50","-28",4.092275,0.332374364591664,68.1367444540093,3.4290563826008,4.7554936173992,"     56 8 0AB"
"G_50","28",3.908,0.332374364591664,68.1367444540093,3.2447813826008,4.5712186173992,"   3 56 8 0AB"
"G_50","62",2.93785,0.332374364591664,68.1367444540093,2.2746313826008,3.6010686173992," 1234567890  "
"G_50","75",2.71935,0.332374364591664,68.1367444540093,2.0561313826008,3.3825686173992," 12 4  7 9   "
