"Fragment","Colony","Treatment","Replicate","n"
"20-11","20","NP","R2",18
"20-14","20","Control","R1",9
"20-17","20","NP","R1",20
"20-19","20","Control","R1",18
"20-2","20","N","R1",18
"20-21","20","Control","R2",9
"20-28","20","N","R1",9
"20-29","20","N","R2",20
"20-3","20","Control","R2",20
"20-30","20","Control","R1",20
"20-34","20","NP","R1",20
"20-4","20","Control","R2",18
"20-40","20","NP","R1",9
"20-41","20","N","R2",18
"20-43","20","NP","R2",9
"20-45","20","N","R2",9
"20-46","20","N","R1",20
"20-50","20","NP","R2",20
"31-10","31","N","R2",16
"31-11","31","NP","R2",11
"31-13","31","Control","R2",11
"31-17","31","NP","R1",13
"31-2","31","NP","R2",9
"31-24","31","Control","R2",9
"31-25","31","N","R1",11
"31-3","31","N","R2",10
"31-30","31","N","R1",9
"31-34","31","Control","R1",9
"31-39","31","NP","R1",13
"31-40","31","NP","R1",9
"31-41","31","Control","R1",16
"31-43","31","N","R1",15
"31-45","31","Control","R1",15
"31-46","31","Control","R2",16
"31-49","31","NP","R2",12
"31-8","31","N","R2",9
"34-10","34","N","R2",9
"34-11","34","Control","R2",9
"34-20","34","Control","R1",18
"34-21","34","NP","R2",18
"34-22","34","NP","R1",18
"34-23","34","Control","R2",17
"34-24","34","N","R2",18
"34-25","34","N","R2",19
"34-32","34","NP","R2",20
"34-36","34","Control","R1",9
"34-38","34","N","R1",9
"34-4","34","NP","R1",9
"34-44","34","N","R1",18
"34-49","34","Control","R1",19
"34-5","34","N","R1",20
"34-7","34","NP","R2",9
"34-8","34","Control","R2",20
"34-9","34","NP","R1",20
"6-112","6","Control","R1",18
"6-115","6","NP","R1",18
"6-116","6","Control","R2",20
"6-118","6","N","R2",9
"6-12","6","N","R2",20
"6-19","6","N","R2",18
"6-40","6","Control","R2",9
"6-49","6","NP","R2",13
"6-6","6","Control","R1",9
"6-61","6","NP","R1",20
"6-72","6","NP","R2",18
"6-81","6","N","R1",9
"6-82","6","NP","R2",9
"6-83","6","Control","R1",20
"6-85","6","Control","R2",18
"6-86","6","NP","R1",9
"6-9","6","N","R1",20
"6-96","6","N","R1",18
