"Time","Date","Spp","Fragment","Treatment","Replicate","YII","Sample","Genotype","Days","SampleID"
3,2017-10-19,"A.cer","A.cer_284","Ambient","R2",0.552,"2017-10-19_284","Acer_48",-27,"A.cer_284_3"
5,2017-11-16,"A.cer","A.cer_180","N","R2",0.607,"2017-11-16_180","Acer_48",1,"A.cer_180_5"
3,2017-10-19,"A.cer","A.cer_277","Ambient","R2",0.56,"2017-10-19_277","Acer_48",-27,"A.cer_277_3"
2,2017-10-10,"A.cer","A.cer_180","N","R2",0.53,"2017-10-10_180","Acer_48",-36,"A.cer_180_2"
2,2017-10-10,"A.cer","A.cer_277","Ambient","R2",0.533,"2017-10-10_277","Acer_48",-36,"A.cer_277_2"
6,2017-11-23,"A.cer","A.cer_283","N+P","R1",0.648,"2017-11-23_283","Acer_48",8,"A.cer_283_6"
11,2018-01-19,"A.cer","A.cer_290","Ambient","R2",0.594,"2018-01-19_290","Acer_48",65,"A.cer_290_11"
1,2017-08-30,"A.cer","A.cer_289","N+P","R1",0.479,"2017-08-30_289","Acer_48",-77,"A.cer_289_1"
7,2017-11-29,"A.cer","A.cer_182","Ambient","R1",0.633,"2017-11-29_182","Acer_48",14,"A.cer_182_7"
2,2017-10-10,"A.cer","A.cer_186","Ambient","R2",0.517,"2017-10-10_186","Acer_48",-36,"A.cer_186_2"
11,2018-01-19,"A.cer","A.cer_289","N+P","R1",0.621,"2018-01-19_289","Acer_48",65,"A.cer_289_11"
7,2017-11-29,"A.cer","A.cer_177","N","R1",0.636,"2017-11-29_177","Acer_48",14,"A.cer_177_7"
9,2017-12-13,"A.cer","A.cer_281","Ambient","R1",0.63,"2017-12-13_281","Acer_48",28,"A.cer_281_9"
1,2017-08-30,"A.cer","A.cer_287","Ambient","R1",0.489,"2017-08-30_287","Acer_48",-77,"A.cer_287_1"
0,2017-07-26,"A.cer","A.cer_285","N","R2",0.58,"2017-07-26_285","Acer_48",-112,"A.cer_285_0"
2,2017-10-10,"A.cer","A.cer_276","N+P","R1",0.501,"2017-10-10_276","Acer_48",-36,"A.cer_276_2"
1,2017-08-30,"A.cer","A.cer_177","N","R1",0.494,"2017-08-30_177","Acer_48",-77,"A.cer_177_1"
0,2017-07-26,"A.cer","A.cer_281","Ambient","R1",0.586,"2017-07-26_281","Acer_48",-112,"A.cer_281_0"
4,2017-11-06,"A.cer","A.cer_289","N+P","R1",0.675,"2017-11-06_289","Acer_48",-9,"A.cer_289_4"
0,2017-07-26,"A.cer","A.cer_287","Ambient","R1",0.578,"2017-07-26_287","Acer_48",-112,"A.cer_287_0"
7,2017-11-29,"A.cer","A.cer_278","N","R2",0.637,"2017-11-29_278","Acer_48",14,"A.cer_278_7"
4,2017-11-06,"A.cer","A.cer_284","Ambient","R2",0.674,"2017-11-06_284","Acer_48",-9,"A.cer_284_4"
0,2017-07-26,"A.cer","A.cer_284","Ambient","R2",0.597,"2017-07-26_284","Acer_48",-112,"A.cer_284_0"
2,2017-10-10,"A.cer","A.cer_184","N+P","R1",0.451,"2017-10-10_184","Acer_48",-36,"A.cer_184_2"
8,2017-12-06,"A.cer","A.cer_182","Ambient","R1",0.638,"2017-12-06_182","Acer_48",21,"A.cer_182_8"
6,2017-11-23,"A.cer","A.cer_276","N+P","R1",0.637,"2017-11-23_276","Acer_48",8,"A.cer_276_6"
3,2017-10-19,"A.cer","A.cer_184","N+P","R1",0.441,"2017-10-19_184","Acer_48",-27,"A.cer_184_3"
6,2017-11-23,"A.cer","A.cer_176","Ambient","R1",0.605,"2017-11-23_176","Acer_48",8,"A.cer_176_6"
3,2017-10-19,"A.cer","A.cer_283","N+P","R1",0.547,"2017-10-19_283","Acer_48",-27,"A.cer_283_3"
4,2017-11-06,"A.cer","A.cer_187","N","R2",0.676,"2017-11-06_187","Acer_48",-9,"A.cer_187_4"
7,2017-11-29,"A.cer","A.cer_180","N","R2",0.628,"2017-11-29_180","Acer_48",14,"A.cer_180_7"
8,2017-12-06,"A.cer","A.cer_179","Ambient","R2",0.629,"2017-12-06_179","Acer_48",21,"A.cer_179_8"
2,2017-10-10,"A.cer","A.cer_179","Ambient","R2",0.53,"2017-10-10_179","Acer_48",-36,"A.cer_179_2"
3,2017-10-19,"A.cer","A.cer_186","Ambient","R2",0.533,"2017-10-19_186","Acer_48",-27,"A.cer_186_3"
7,2017-11-29,"A.cer","A.cer_290","Ambient","R2",0.631,"2017-11-29_290","Acer_48",14,"A.cer_290_7"
1,2017-08-30,"A.cer","A.cer_179","Ambient","R2",0.491,"2017-08-30_179","Acer_48",-77,"A.cer_179_1"
7,2017-11-29,"A.cer","A.cer_176","Ambient","R1",0.613,"2017-11-29_176","Acer_48",14,"A.cer_176_7"
2,2017-10-10,"A.cer","A.cer_178","N+P","R1",0.538,"2017-10-10_178","Acer_48",-36,"A.cer_178_2"
9,2017-12-13,"A.cer","A.cer_182","Ambient","R1",0.62,"2017-12-13_182","Acer_48",28,"A.cer_182_9"
11,2018-01-19,"A.cer","A.cer_287","Ambient","R1",0.6,"2018-01-19_287","Acer_48",65,"A.cer_287_11"
10,2018-01-03,"A.cer","A.cer_281","Ambient","R1",0.617,"2018-01-03_281","Acer_48",49,"A.cer_281_10"
7,2017-11-29,"A.cer","A.cer_283","N+P","R1",0.638,"2017-11-29_283","Acer_48",14,"A.cer_283_7"
10,2018-01-03,"A.cer","A.cer_287","Ambient","R1",0.606,"2018-01-03_287","Acer_48",49,"A.cer_287_10"
4,2017-11-06,"A.cer","A.cer_283","N+P","R1",0.674,"2017-11-06_283","Acer_48",-9,"A.cer_283_4"
13,2018-01-30,"A.cer","A.cer_288","N","R1",0.618,"2018-01-30_288","Acer_48",76,"A.cer_288_13"
7,2017-11-29,"A.cer","A.cer_187","N","R2",0.621,"2017-11-29_187","Acer_48",14,"A.cer_187_7"
10,2018-01-03,"A.cer","A.cer_184","N+P","R1",0.656,"2018-01-03_184","Acer_48",49,"A.cer_184_10"
10,2018-01-03,"A.cer","A.cer_276","N+P","R1",0.65,"2018-01-03_276","Acer_48",49,"A.cer_276_10"
3,2017-10-19,"A.cer","A.cer_180","N","R2",0.56,"2017-10-19_180","Acer_48",-27,"A.cer_180_3"
0,2017-07-26,"A.cer","A.cer_283","N+P","R1",0.574,"2017-07-26_283","Acer_48",-112,"A.cer_283_0"
1,2017-08-30,"A.cer","A.cer_286","N+P","R2",0.479,"2017-08-30_286","Acer_48",-77,"A.cer_286_1"
3,2017-10-19,"A.cer","A.cer_276","N+P","R1",0.522,"2017-10-19_276","Acer_48",-27,"A.cer_276_3"
1,2017-08-30,"A.cer","A.cer_285","N","R2",0.525,"2017-08-30_285","Acer_48",-77,"A.cer_285_1"
4,2017-11-06,"A.cer","A.cer_276","N+P","R1",0.674,"2017-11-06_276","Acer_48",-9,"A.cer_276_4"
7,2017-11-29,"A.cer","A.cer_179","Ambient","R2",0.657,"2017-11-29_179","Acer_48",14,"A.cer_179_7"
14,2018-02-07,"A.cer","A.cer_177","N","R1",0.619,"2018-02-07_177","Acer_48",84,"A.cer_177_14"
8,2017-12-06,"A.cer","A.cer_184","N+P","R1",0.644,"2017-12-06_184","Acer_48",21,"A.cer_184_8"
14,2018-02-07,"A.cer","A.cer_190","N","R1",0.613,"2018-02-07_190","Acer_48",84,"A.cer_190_14"
14,2018-02-07,"A.cer","A.cer_282","N","R1",0.604,"2018-02-07_282","Acer_48",84,"A.cer_282_14"
7,2017-11-29,"A.cer","A.cer_189","Ambient","R1",0.635,"2017-11-29_189","Acer_48",14,"A.cer_189_7"
