"Fragment","Colony","Treatment","Replicate","n"
"20-1","20","Control","R1",9
"20-11","20","NP","R1",20
"20-13","20","Control","R1",18
"20-15","20","N","R1",20
"20-17","20","NP","R1",18
"20-19","20","Control","R1",20
"20-2","20","N","R1",9
"20-22","20","N","R1",20
"20-23","20","NP","R1",9
"20-26","20","Control","R2",20
"20-29","20","N","R2",20
"20-3","20","NP","R1",20
"20-30","20","NP","R2",20
"20-32","20","Control","R2",20
"20-33","20","N","R2",18
"20-36","20","NP","R2",9
"20-38","20","Control","R2",18
"20-39","20","N","R2",9
"20-4","20","Control","R1",20
"20-41","20","NP","R2",18
"20-45","20","Control","R2",9
"20-46","20","N","R2",20
"20-48","20","NP","R2",20
"20-8","20","N","R1",18
"22-11","22","N","R1",20
"22-12","22","NP","R1",20
"22-16","22","Control","R1",20
"22-17","22","N","R1",20
"22-18","22","NP","R1",18
"22-2","22","Control","R1",20
"22-21","22","Control","R1",18
"22-24","22","N","R1",9
"22-25","22","NP","R1",20
"22-26","22","Control","R2",7
"22-27","22","N","R2",18
"22-3","22","N","R1",18
"22-31","22","NP","R2",18
"22-32","22","Control","R2",18
"22-33","22","N","R2",20
"22-34","22","NP","R2",20
"22-35","22","Control","R2",20
"22-36","22","N","R2",9
"22-38","22","NP","R2",20
"22-39","22","Control","R2",9
"22-41","22","N","R2",20
"22-42","22","NP","R2",9
"22-6","22","NP","R1",9
"22-8","22","Control","R1",9
"23-54","23","Control","R1",9
"23-55","23","N","R1",9
"23-56","23","NP","R1",20
"23-57","23","Control","R1",20
"23-58","23","N","R1",20
"23-59","23","NP","R1",9
"23-60","23","Control","R1",20
"23-61","23","N","R1",18
"23-63","23","NP","R1",20
"23-65","23","Control","R1",18
"23-66","23","N","R1",20
"23-67","23","NP","R1",18
"23-68","23","Control","R2",20
"23-70","23","N","R2",9
"23-71","23","NP","R2",9
"23-72","23","Control","R2",18
"23-73","23","N","R2",20
"23-74","23","NP","R2",20
"23-75","23","Control","R2",20
"23-76","23","N","R2",18
"23-78","23","NP","R2",20
"23-79","23","Control","R2",9
"23-80","23","N","R2",20
"23-81","23","NP","R2",18
"24-10","24","N","R1",18
"24-11","24","NP","R1",9
"24-12","24","Control","R1",9
"24-14","24","N","R1",9
"24-15","24","NP","R1",20
"24-16","24","Control","R2",18
"24-17","24","N","R2",20
"24-18","24","NP","R2",20
"24-19","24","Control","R2",20
"24-2","24","Control","R1",20
"24-21","24","N","R2",20
"24-22","24","NP","R2",20
"24-23","24","Control","R2",9
"24-24","24","N","R2",18
"24-25","24","NP","R2",18
"24-27","24","N","R2",9
"24-28","24","NP","R2",9
"24-3","24","N","R1",20
"24-5","24","NP","R1",18
"24-6","24","Control","R1",18
"24-7","24","N","R1",20
"24-9","24","Control","R1",20
"27-12","27","N","R1",9
"27-18","27","NP","R1",20
"27-19","27","Control","R1",9
"27-21","27","N","R1",20
"27-27","27","NP","R1",9
"27-28","27","Control","R1",20
"27-3","27","Control","R1",20
"27-45","27","N","R1",20
"27-46","27","NP","R1",20
"27-5","27","N","R1",18
"27-57","27","Control","R2",20
"27-6","27","NP","R1",17
"27-67","27","N","R2",20
"27-68","27","NP","R2",20
"27-73","27","Control","R2",17
"27-75","27","N","R2",18
"27-77","27","NP","R2",9
"27-85","27","Control","R2",20
"27-86","27","N","R2",20
"27-87","27","NP","R2",18
"27-9","27","Control","R1",18
"27-94","27","Control","R2",9
"27-97","27","N","R2",9
"27-98","27","NP","R2",20
"28-10","28","NP","R1",18
"28-11","28","Control","R2",20
"28-13","28","N","R2",18
"28-14","28","NP","R2",18
"28-15","28","Control","R2",20
"28-18","28","N","R2",20
"28-19","28","NP","R2",19
"28-2","28","Control","R1",18
"28-20","28","Control","R2",9
"28-21","28","N","R2",20
"28-23","28","NP","R2",20
"28-29","28","Control","R2",18
"28-3","28","N","R1",18
"28-30","28","N","R2",9
"28-4","28","NP","R1",9
"28-5","28","Control","R1",20
"28-6","28","N","R1",9
"28-7","28","NP","R1",20
"28-8","28","Control","R1",9
"28-9","28","N","R1",20
"30-1","30","Control","R1",9
"30-10","30","NP","R1",9
"30-12","30","Control","R1",20
"30-13","30","N","R1",18
"30-14","30","NP","R1",19
"30-15","30","Control","R2",18
"30-16","30","N","R2",18
"30-18","30","NP","R2",18
"30-2","30","N","R1",9
"30-20","30","Control","R2",20
"30-21","30","N","R2",20
"30-22","30","NP","R2",20
"30-23","30","Control","R2",9
"30-24","30","N","R2",9
"30-25","30","NP","R2",9
"30-26","30","Control","R2",20
"30-27","30","N","R2",20
"30-28","30","NP","R2",19
"30-3","30","NP","R1",18
"30-4","30","Control","R1",18
"30-5","30","N","R1",20
"30-7","30","NP","R1",20
"30-8","30","Control","R1",20
"30-9","30","N","R1",20
