"Spp","Genotype","Treatment","Replicate","Fragment","n"
"Ac","Ac_07","Ambient","R1","Ac_162",17
"Ac","Ac_07","Ambient","R1","Ac_169",17
"Ac","Ac_07","Ambient","R1","Ac_261",17
"Ac","Ac_07","Ambient","R1","Ac_267",9
"Ac","Ac_07","Ambient","R1","Ac_273",17
"Ac","Ac_07","Ambient","R2","Ac_166",17
"Ac","Ac_07","Ambient","R2","Ac_173",17
"Ac","Ac_07","Ambient","R2","Ac_264",17
"Ac","Ac_07","Ambient","R2","Ac_270",9
"Ac","Ac_07","N","R1","Ac_164",10
"Ac","Ac_07","N","R1","Ac_170",12
"Ac","Ac_07","N","R1","Ac_262",12
"Ac","Ac_07","N","R1","Ac_268",9
"Ac","Ac_07","N","R1","Ac_274",11
"Ac","Ac_07","N","R2","Ac_167",7
"Ac","Ac_07","N","R2","Ac_174",12
"Ac","Ac_07","N","R2","Ac_265",9
"Ac","Ac_07","N","R2","Ac_271",12
"Ac","Ac_07","N+P","R1","Ac_165",13
"Ac","Ac_07","N+P","R1","Ac_171",12
"Ac","Ac_07","N+P","R1","Ac_263",12
"Ac","Ac_07","N+P","R1","Ac_269",9
"Ac","Ac_07","N+P","R2","Ac_168",11
"Ac","Ac_07","N+P","R2","Ac_175",11
"Ac","Ac_07","N+P","R2","Ac_266",9
"Ac","Ac_07","N+P","R2","Ac_272",12
"Ac","Ac_08","Ambient","R1","Ac_143",17
"Ac","Ac_08","Ambient","R2","Ac_231",17
"Ac","Ac_08","N","R1","Ac_144",11
"Ac","Ac_08","N","R2","Ac_232",11
"Ac","Ac_08","N","R2","Ac_234",9
"Ac","Ac_08","N+P","R1","Ac_145",12
"Ac","Ac_08","N+P","R2","Ac_233",13
"Ac","Ac_08","N+P","R2","Ac_235",11
"Ac","Ac_31","Ambient","R1","Ac_149",9
"Ac","Ac_31","Ambient","R1","Ac_157",17
"Ac","Ac_31","Ambient","R1","Ac_248",17
"Ac","Ac_31","Ambient","R2","Ac_152",17
"Ac","Ac_31","Ambient","R2","Ac_160",17
"Ac","Ac_31","N","R1","Ac_150",13
"Ac","Ac_31","N","R1","Ac_158",9
"Ac","Ac_31","N","R1","Ac_249",14
"Ac","Ac_31","N","R2","Ac_154",13
"Ac","Ac_31","N","R2","Ac_246",9
"Ac","Ac_31","N","R2","Ac_299",14
"Ac","Ac_31","N+P","R1","Ac_151",12
"Ac","Ac_31","N+P","R1","Ac_159",9
"Ac","Ac_31","N+P","R1","Ac_250",15
"Ac","Ac_31","N+P","R2","Ac_155",17
"Ac","Ac_31","N+P","R2","Ac_247",14
"Ac","Ac_48","Ambient","R1","Ac_176",17
"Ac","Ac_48","Ambient","R1","Ac_182",17
"Ac","Ac_48","Ambient","R1","Ac_189",9
"Ac","Ac_48","Ambient","R1","Ac_281",17
"Ac","Ac_48","Ambient","R1","Ac_287",17
"Ac","Ac_48","Ambient","R2","Ac_179",17
"Ac","Ac_48","Ambient","R2","Ac_186",17
"Ac","Ac_48","Ambient","R2","Ac_277",17
"Ac","Ac_48","Ambient","R2","Ac_284",17
"Ac","Ac_48","Ambient","R2","Ac_290",9
"Ac","Ac_48","N","R1","Ac_177",16
"Ac","Ac_48","N","R1","Ac_183",9
"Ac","Ac_48","N","R1","Ac_190",16
"Ac","Ac_48","N","R1","Ac_282",16
"Ac","Ac_48","N","R1","Ac_288",16
"Ac","Ac_48","N","R2","Ac_180",9
"Ac","Ac_48","N","R2","Ac_187",16
"Ac","Ac_48","N","R2","Ac_278",15
"Ac","Ac_48","N","R2","Ac_285",15
"Ac","Ac_48","N+P","R1","Ac_178",16
"Ac","Ac_48","N+P","R1","Ac_184",16
"Ac","Ac_48","N+P","R1","Ac_276",15
"Ac","Ac_48","N+P","R1","Ac_283",9
"Ac","Ac_48","N+P","R1","Ac_289",15
"Ac","Ac_48","N+P","R2","Ac_181",9
"Ac","Ac_48","N+P","R2","Ac_188",17
"Ac","Ac_48","N+P","R2","Ac_280",16
"Ac","Ac_48","N+P","R2","Ac_286",17
"Ac","Ac_50","Ambient","R1","Ac_105",17
"Ac","Ac_50","Ambient","R1","Ac_204",17
"Ac","Ac_50","Ambient","R2","Ac_102",17
"Ac","Ac_50","Ambient","R2","Ac_108",17
"Ac","Ac_50","N","R1","Ac_106",11
"Ac","Ac_50","N","R1","Ac_206",8
"Ac","Ac_50","N","R2","Ac_103",7
"Ac","Ac_50","N","R2","Ac_109",7
"Ac","Ac_50","N+P","R1","Ac_101",12
"Ac","Ac_50","N+P","R1","Ac_107",12
"Ac","Ac_50","N+P","R1","Ac_300",6
"Ac","Ac_50","N+P","R2","Ac_104",12
"Ac","Ac_50","N+P","R2","Ac_110",9
"Ac","Ac_62","Ambient","R1","Ac_116",17
"Ac","Ac_62","Ambient","R1","Ac_122",17
"Ac","Ac_62","Ambient","R1","Ac_129",9
"Ac","Ac_62","Ambient","R1","Ac_220",17
"Ac","Ac_62","Ambient","R1","Ac_226",17
"Ac","Ac_62","Ambient","R2","Ac_119",17
"Ac","Ac_62","Ambient","R2","Ac_125",17
"Ac","Ac_62","Ambient","R2","Ac_217",17
"Ac","Ac_62","Ambient","R2","Ac_223",9
"Ac","Ac_62","N","R1","Ac_117",16
"Ac","Ac_62","N","R1","Ac_123",16
"Ac","Ac_62","N","R1","Ac_130",15
"Ac","Ac_62","N","R1","Ac_221",16
"Ac","Ac_62","N","R1","Ac_227",9
"Ac","Ac_62","N","R2","Ac_120",14
"Ac","Ac_62","N","R2","Ac_126",15
"Ac","Ac_62","N","R2","Ac_218",9
"Ac","Ac_62","N","R2","Ac_224",16
"Ac","Ac_62","N","R2","Ac_230",15
"Ac","Ac_62","N+P","R1","Ac_118",15
"Ac","Ac_62","N+P","R1","Ac_124",16
"Ac","Ac_62","N+P","R1","Ac_216",9
"Ac","Ac_62","N+P","R1","Ac_222",16
"Ac","Ac_62","N+P","R1","Ac_228",16
"Ac","Ac_62","N+P","R2","Ac_121",9
"Ac","Ac_62","N+P","R2","Ac_128",17
"Ac","Ac_62","N+P","R2","Ac_219",9
"Ac","Ac_62","N+P","R2","Ac_225",17
"Ac","Ac_62","N+P","R2","Ac_229",16
"Of","Of_31","Ambient","R1","Of_31-34",9
"Of","Of_31","Ambient","R1","Of_31-41",16
"Of","Of_31","Ambient","R1","Of_31-45",15
"Of","Of_31","Ambient","R2","Of_31-13",11
"Of","Of_31","Ambient","R2","Of_31-24",9
"Of","Of_31","Ambient","R2","Of_31-46",16
"Of","Of_31","N","R1","Of_31-25",11
"Of","Of_31","N","R1","Of_31-30",9
"Of","Of_31","N","R1","Of_31-43",15
"Of","Of_31","N","R2","Of_31-10",16
"Of","Of_31","N","R2","Of_31-3",10
"Of","Of_31","N","R2","Of_31-8",9
"Of","Of_31","N+P","R1","Of_31-17",13
"Of","Of_31","N+P","R1","Of_31-39",13
"Of","Of_31","N+P","R1","Of_31-40",9
"Of","Of_31","N+P","R2","Of_31-11",11
"Of","Of_31","N+P","R2","Of_31-2",9
"Of","Of_31","N+P","R2","Of_31-49",12
"Of","Of_6","Ambient","R1","Of_6-112",17
"Of","Of_6","Ambient","R1","Of_6-6",9
"Of","Of_6","Ambient","R1","Of_6-83",17
"Of","Of_6","Ambient","R2","Of_6-116",17
"Of","Of_6","Ambient","R2","Of_6-40",9
"Of","Of_6","Ambient","R2","Of_6-85",17
"Of","Of_6","N","R1","Of_6-81",9
"Of","Of_6","N","R1","Of_6-9",17
"Of","Of_6","N","R1","Of_6-96",17
"Of","Of_6","N","R2","Of_6-118",9
"Of","Of_6","N","R2","Of_6-12",17
"Of","Of_6","N","R2","Of_6-19",17
"Of","Of_6","N+P","R1","Of_6-115",17
"Of","Of_6","N+P","R1","Of_6-61",17
"Of","Of_6","N+P","R1","Of_6-86",9
"Of","Of_6","N+P","R2","Of_6-49",13
"Of","Of_6","N+P","R2","Of_6-72",17
"Of","Of_6","N+P","R2","Of_6-82",9
"Of","Of_20","Ambient","R1","Of_20-14",9
"Of","Of_20","Ambient","R1","Of_20-19",17
"Of","Of_20","Ambient","R1","Of_20-30",17
"Of","Of_20","Ambient","R2","Of_20-21",9
"Of","Of_20","Ambient","R2","Of_20-3",17
"Of","Of_20","Ambient","R2","Of_20-4",17
"Of","Of_20","N","R1","Of_20-2",17
"Of","Of_20","N","R1","Of_20-28",9
"Of","Of_20","N","R1","Of_20-46",17
"Of","Of_20","N","R2","Of_20-29",17
"Of","Of_20","N","R2","Of_20-41",17
"Of","Of_20","N","R2","Of_20-45",9
"Of","Of_20","N+P","R1","Of_20-17",17
"Of","Of_20","N+P","R1","Of_20-34",17
"Of","Of_20","N+P","R1","Of_20-40",9
"Of","Of_20","N+P","R2","Of_20-11",17
"Of","Of_20","N+P","R2","Of_20-43",9
"Of","Of_20","N+P","R2","Of_20-50",17
"Of","Of_34","Ambient","R1","Of_34-20",17
"Of","Of_34","Ambient","R1","Of_34-36",9
"Of","Of_34","Ambient","R1","Of_34-49",17
"Of","Of_34","Ambient","R2","Of_34-11",9
"Of","Of_34","Ambient","R2","Of_34-23",17
"Of","Of_34","Ambient","R2","Of_34-8",17
"Of","Of_34","N","R1","Of_34-38",9
"Of","Of_34","N","R1","Of_34-44",17
"Of","Of_34","N","R1","Of_34-5",17
"Of","Of_34","N","R2","Of_34-10",9
"Of","Of_34","N","R2","Of_34-24",17
"Of","Of_34","N","R2","Of_34-25",17
"Of","Of_34","N+P","R1","Of_34-22",17
"Of","Of_34","N+P","R1","Of_34-4",9
"Of","Of_34","N+P","R1","Of_34-9",17
"Of","Of_34","N+P","R2","Of_34-21",17
"Of","Of_34","N+P","R2","Of_34-32",17
"Of","Of_34","N+P","R2","Of_34-7",9
"Ss","Ss_30","Ambient","R1","Ss_30-1",9
"Ss","Ss_30","Ambient","R1","Ss_30-12",17
"Ss","Ss_30","Ambient","R1","Ss_30-4",17
"Ss","Ss_30","Ambient","R1","Ss_30-8",17
"Ss","Ss_30","Ambient","R2","Ss_30-15",17
"Ss","Ss_30","Ambient","R2","Ss_30-20",17
"Ss","Ss_30","Ambient","R2","Ss_30-23",9
"Ss","Ss_30","Ambient","R2","Ss_30-26",17
"Ss","Ss_30","N","R1","Ss_30-13",17
"Ss","Ss_30","N","R1","Ss_30-2",9
"Ss","Ss_30","N","R1","Ss_30-5",17
"Ss","Ss_30","N","R1","Ss_30-9",17
"Ss","Ss_30","N","R2","Ss_30-16",17
"Ss","Ss_30","N","R2","Ss_30-21",17
"Ss","Ss_30","N","R2","Ss_30-24",9
"Ss","Ss_30","N","R2","Ss_30-27",17
"Ss","Ss_30","N+P","R1","Ss_30-10",9
"Ss","Ss_30","N+P","R1","Ss_30-14",17
"Ss","Ss_30","N+P","R1","Ss_30-3",17
"Ss","Ss_30","N+P","R1","Ss_30-7",17
"Ss","Ss_30","N+P","R2","Ss_30-18",17
"Ss","Ss_30","N+P","R2","Ss_30-22",17
"Ss","Ss_30","N+P","R2","Ss_30-25",9
"Ss","Ss_30","N+P","R2","Ss_30-28",17
"Ss","Ss_20","Ambient","R1","Ss_20-1",9
"Ss","Ss_20","Ambient","R1","Ss_20-13",17
"Ss","Ss_20","Ambient","R1","Ss_20-19",17
"Ss","Ss_20","Ambient","R1","Ss_20-4",17
"Ss","Ss_20","Ambient","R2","Ss_20-26",17
"Ss","Ss_20","Ambient","R2","Ss_20-32",17
"Ss","Ss_20","Ambient","R2","Ss_20-38",17
"Ss","Ss_20","Ambient","R2","Ss_20-45",9
"Ss","Ss_20","N","R1","Ss_20-15",17
"Ss","Ss_20","N","R1","Ss_20-2",9
"Ss","Ss_20","N","R1","Ss_20-22",17
"Ss","Ss_20","N","R1","Ss_20-8",17
"Ss","Ss_20","N","R2","Ss_20-29",17
"Ss","Ss_20","N","R2","Ss_20-33",17
