"Genotype","Nutrients","DaysF","emmean","SE","df","lower.CL","upper.CL",".group"
"G_48","Ambient","1",0.625999999999899,0.00799797071367753,134.518870663988,0.610181963442588,0.641818036557211,"                                                                                z0zAzBzC    zF    zIzJzKzLzMzNzOzPzQzRzSzTzUzVzWzXzY"
"G_62","Ambient","1",0.618238601138199,0.00840376343118988,160.132518677637,0.601642100287595,0.634835101988803,"                                                            x z1          z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQzRzSzTzUzVzWzXzY"
"G_31","Ambient","1",0.618429482048715,0.0111245425269173,387.811111218409,0.596557520383476,0.640301443713953,"                                                    pqrstu wxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQzRzSzTzUzVzWzXzY"
"G_08","Ambient","1",0.604500000000042,0.0174029873056291,890.395523680242,0.570344343045214,0.63865565695487,"                               UVWXYZabcdefghijklmnopqrstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQzRzSzTzUzVzWzXzY"
"G_07","Ambient","1",0.596794156693784,0.00840376343119024,160.132518677706,0.580197655843179,0.613390657544388,"                                             ijkl nopqrstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQzR  zTzU        "
"G_50","Ambient","1",0.609750000000032,0.0123916785543958,510.827640795205,0.585405075397475,0.634094924602588,"                                              jklmnopqrstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQzRzSzTzUzVzWzXzY"
"G_48","Nutrients","1",0.616738601138216,0.00611908325321418,49.2927652324152,0.604443690052904,0.629033512223528,"                                                              z1          z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQzRzSzTzUzVzWzXzY"
"G_62","Nutrients","1",0.607650000000036,0.00583998986162976,41.1971147839923,0.595857614732032,0.61944238526804,"                                                           wxyz1z2        z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQzR  zTzU        "
"G_31","Nutrients","1",0.608013400931273,0.00765187909064358,114.535539619287,0.592855847602171,0.623170954260374,"                                                l  opqrs   wxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQzRzSzTzUzVzWzXzY"
"G_08","Nutrients","1",0.593117529918872,0.0101961187715452,300.027152906857,0.573052564440133,0.613182495397612,"                                       c  fghijklmnopqrstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQzRzSzTzUzV      "
"G_07","Nutrients","1",0.595243965308488,0.0062754103531771,54.3777090317671,0.582664526210419,0.607823404406557,"                                             ijkl nopqrstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzM  zO                    "
"G_50","Nutrients","1",0.593905267804879,0.00840376343118989,160.132518677726,0.577308766954275,0.610501768655483,"                                            hijklmnopqrstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQ                "
"G_48","Ambient","8",0.621400000000041,0.00799797071367637,134.518870663466,0.605581963442732,0.637218036557351,"                                                                          z7z8z9z0zAzBzCzDzEzF  zHzIzJzKzLzMzNzOzPzQzRzSzTzUzVzWzXzY"
"G_62","Ambient","8",0.617460823360432,0.00840376343118987,160.132518677717,0.600864322509828,0.634057324211036,"                                                            xyz1z2        z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQzRzSzTzUzVzWzXzY"
"G_31","Ambient","8",0.623629482048744,0.0111245425269174,387.811111218562,0.601757520383506,0.645501443713983,"                                                              z1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQzRzSzTzUzVzWzXzY"
"G_08","Ambient","8",0.618500000000042,0.0174029873056292,890.395523679719,0.584344343045214,0.652655656954871,"                                     abc  fghijklmnopqrstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQzRzSzTzUzVzWzXzY"
"G_07","Ambient","8",0.592460823360437,0.00840376343118987,160.13251867771,0.575864322509833,0.609057324211041,"                                            hijklmnopqrstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzP                  "
"G_50","Ambient","8",0.603250000000043,0.0123916785543959,510.827640795053,0.578905075397486,0.627594924602599,"                                            hijklmnopqrstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQzRzSzTzUzVzWzXzY"
"G_48","Nutrients","8",0.635349712249324,0.00611908325321341,49.2927652323943,0.623054801164014,0.647644623334635,"                                                                                                            zN  zPzQzRzSzTzUzVzWzXzY"
"G_62","Nutrients","8",0.630000000000043,0.00583998986162992,41.1971147839926,0.618207614732039,0.641792385268047,"                                                                                                      zK  zMzN  zPzQzRzSzTzUzVzWzXzY"
"G_31","Nutrients","8",0.643558855476726,0.00765187909064363,114.535539619296,0.628401302147625,0.658716408805828,"                                                                                                                  zQzRzSzTzUzVzWzXzY"
"G_08","Nutrients","8",0.613450863252208,0.010196118771545,300.02715290685,0.593385897773469,0.633515828730947,"                                               kl nopqrstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzKzLzMzNzOzPzQzRzSzTzUzVzWzXzY"
"G_07","Nutrients","8",0.62071455354378,0.00627541035317721,54.3777090317649,0.608135114445711,0.633293992641849,"                                                                            z8  z0  zB  zD  zF    zIzJzKzLzMzNzOzPzQzRzSzTzUzVzWzXzY"
