"Treatment","DaysF","Initial_Sym","emmean","SE","df","lower.CL","upper.CL",".group"
"A","1","B",0.5399999999999,0.0111183008623233,305.33055883747,0.518121809289429,0.561878190710371,"              DEFGHIJKLMNOPQRSTUVW "
"A","1","D",0.495222222222194,0.00641915399579419,305.330558837161,0.48259084292612,0.507853601518267,"        890ABCDE G  J              "
"N","1","B",0.532833333333328,0.0111183008623248,305.33055883712,0.510955142622854,0.554711524043802,"            BCDEFGHIJKLMNOPQRSTUVWX"
"N","1","D",0.508555555555555,0.00641915399579445,305.330558837026,0.495924176259481,0.521186934851629,"           ABCDEFGHIJKLMNOP        "
"N+P","1","B",0.541833333333334,0.0111183008623248,305.33055883712,0.519955142622861,0.563711524043808,"              DEFGHIJKLMNOPQRSTUVWX"
"N+P","1","D",0.510222222222222,0.00641915399579447,305.330558837013,0.497590842926148,0.522853601518297,"          0ABCDEFGHIJKL NO Q       "
"A","8","B",0.530499999999975,0.0111183008623248,305.330558837107,0.508621809289501,0.552378190710448,"           ABCDEFGHIJKLMNOPQRSTUVW "
"A","8","D",0.479944444444441,0.00641915399579444,305.330558836986,0.467313065148367,0.492575823740515,"    4 67890A                       "
"N","8","B",0.5385,0.0111183008623248,305.330558836993,0.516621809289526,0.560378190710474,"              DEFGHIJKLMNOPQRSTUVWX"
"N","8","D",0.492722222222222,0.00641915399579444,305.330558837006,0.480090842926148,0.505353601518296,"         90ABCDEF  I               "
"N+P","8","B",0.522666666666667,0.0111183008623248,305.330558836993,0.500788475956193,0.544544857377141,"          0ABCDEFGHIJKLMNOPQRS UV  "
"N+P","8","D",0.492277777777778,0.00641915399579447,305.330558836986,0.479646398481704,0.504909157073852,"        890ABCD FGH                "
"A","14","B",0.593499999999977,0.0111183008623247,305.330558837066,0.571621809289503,0.615378190710451,"                                  X"
"A","14","D",0.526666666666663,0.00641915399579443,305.330558836986,0.514035287370589,0.539298045962737,"                F HI KLMNOPQRSTUVW "
"N","14","B",0.556999999999999,0.0111183008623248,305.330558836993,0.535121809289525,0.578878190710473,"                      LM OPQRSTUVWX"
"N","14","D",0.527722222222222,0.00641915399579443,305.330558837013,0.515090842926148,0.540353601518296,"                 GH JKLMNOPQRSTUVW "
"N+P","14","B",0.572833333333334,0.0111183008623248,305.330558836993,0.55095514262286,0.594711524043808,"                             ST VWX"
"N+P","14","D",0.541777777777778,0.00641915399579446,305.330558836999,0.529146398481704,0.554409157073852,"                       M  P RSTUVWX"
"A","21","B",0.548166666666643,0.0111183008623247,305.330558837026,0.526288475956169,0.570044857377117,"                        NOPQRSTUVWX"
"A","21","D",0.453666666666663,0.00641915399579443,305.330558836986,0.441035287370589,0.466298045962737," 123456                            "
"N","21","B",0.525666666666666,0.0111183008623248,305.330558836999,0.503788475956192,0.54754485737714,"          0ABCDEFGHIJKLMNOPQRSTUVW "
"N","21","D",0.476833333333333,0.00641915399579441,305.330558837013,0.464201954037259,0.489464712629407,"  234567890                        "
"N+P","21","B",0.526166666666667,0.0111183008623248,305.330558836999,0.504288475956193,0.548044857377141,"          0ABCDEFGHIJKLMNOPQRSTUVW "
"N+P","21","D",0.484388888888889,0.00641915399579444,305.330558836986,0.471757509592815,0.497020268184963,"     567890ABC                     "
"A","28","B",0.573999999999977,0.0111183008623247,305.330558836979,0.552121809289503,0.59587819071045,"                               UVWX"
"A","28","D",0.465555555555552,0.00641915399579443,305.330558836986,0.452924176259478,0.478186934851626,"  23456789                         "
"N","28","B",0.566999999999999,0.0111183008623248,305.330558837006,0.545121809289525,0.588878190710473,"                            RSTUVWX"
"N","28","D",0.504166666666667,0.00641915399579444,305.330558837006,0.491535287370593,0.516798045962741,"          0ABCDEFGHIJK  N          "
"N+P","28","B",0.576166666666667,0.0111183008623248,305.330558837006,0.554288475956193,0.598044857377141,"                              T  WX"
"N+P","28","D",0.524833333333334,0.00641915399579447,305.330558836993,0.512201954037259,0.537464712629408,"               E   IJKLMNOPQRSTUVW "
"A","49","B",0.493333333333309,0.0111183008623247,305.330558836979,0.471455142622835,0.515211524043783,"   34567890ABCDEFGHIJKLM           "
"A","49","D",0.440388888888886,0.00641915399579443,305.330558836993,0.427757509592812,0.45302026818496," 12                                "
"N","49","B",0.528833333333333,0.0111183008623248,305.330558837006,0.506955142622859,0.550711524043807,"          0ABCDEFGHIJKLMNOPQRSTUVW "
"N","49","D",0.481055555555555,0.00641915399579446,305.330558837013,0.468424176259481,0.493686934851629,"   34567890AB                      "
"N+P","49","B",0.521833333333334,0.0111183008623248,305.330558837006,0.49995514262286,0.543711524043808,"          0ABCDEFGHIJKLMNOPQRS UV  "
"N+P","49","D",0.498055555555556,0.00641915399579447,305.330558836993,0.485424176259482,0.51068693485163,"         90ABCDEFGHIJK  N          "
"A","65","B",0.531999999999977,0.0111183008623247,305.330558836986,0.510121809289503,0.553878190710451,"           ABCDEFGHIJKLMNOPQRSTUVW "
"A","65","D",0.490555555555552,0.00641915399579442,305.330558836986,0.477924176259478,0.503186934851626,"       7890ABCDE                   "
"N","65","B",0.521999999999999,0.0111183008623248,305.330558837006,0.500121809289525,0.543878190710473,"          0ABCDEFGHIJKLMNOPQRSTUVW "
"N","65","D",0.466555555555555,0.00641915399579445,305.330558837013,0.453924176259481,0.479186934851629,"  23456789                         "
"N+P","65","B",0.561666666666667,0.0111183008623248,305.330558836999,0.539788475956193,0.583544857377141,"                           QRSTUVWX"
"N+P","65","D",0.498166666666667,0.00641915399579444,305.330558836999,0.485535287370593,0.510798045962741,"         90ABCDEFGHIJK  N          "
"A","71","B",0.516499999999975,0.0111183008623247,305.330558837033,0.494621809289501,0.538378190710449,"         90ABCDEFGHIJKLMNOPQRST    "
"A","71","D",0.451444444444441,0.00641915399579444,305.330558836986,0.438813065148367,0.464075823740515," 123456                            "
"N","71","B",0.523833333333333,0.0111183008623248,305.330558836999,0.501955142622859,0.545711524043807,"          0ABCDEFGHIJKLMNOPQRSTUVW "
"N","71","D",0.4585,0.00641915399579445,305.330558837013,0.445868620703926,0.471131379296074," 12345678                          "
"N+P","71","B",0.516833333333334,0.0111183008623248,305.330558836999,0.49495514262286,0.538711524043808,"         90ABCDEFGHIJKLMNOPQR  U   "
"N+P","71","D",0.422833333333334,0.00641915399579446,305.330558836993,0.410201954037259,0.435464712629408," 1                                 "
"A","76","B",0.521833333333311,0.0111183008623247,305.33055883708,0.499955142622837,0.543711524043785,"          0ABCDEFGHIJKLMNOPQRST    "
"A","76","D",0.449222222222219,0.00641915399579444,305.330558836986,0.436590842926144,0.461853601518293," 123 5                             "
"N","76","B",0.527333333333332,0.0111183008623248,305.330558836993,0.505455142622858,0.549211524043806,"          0ABCDEFGHIJKLMNOPQRSTUVW "
"N","76","D",0.454722222222222,0.00641915399579445,305.330558837006,0.442090842926148,0.467353601518296," 1234567                           "
"N+P","76","B",0.534333333333334,0.0111183008623248,305.330558836993,0.51245514262286,0.556211524043808,"             CDEFGHIJKLMNOPQRSTUVWX"
"N+P","76","D",0.448055555555556,0.00641915399579446,305.330558836993,0.435424176259482,0.46068693485163," 1234                              "
