Spp,Fragment_ID,Date,Nutrient_Treatment,Replicate_Tank,YII,Genotype,Days_in_Experiment,Time_Point,Sample_ID,Phase,Symbiodiniaceae_genus
Ac,Ac_162,2017-11-16,Ambient,R1,0.587,G_07,1,T5,Ac_162_T5,Baseline,Symbiodinium
Ac,Ac_166,2017-11-16,Ambient,R2,0.602,G_07,1,T5,Ac_166_T5,Baseline,Symbiodinium
Ac,Ac_169,2017-11-16,Ambient,R1,0.58,G_07,1,T5,Ac_169_T5,Baseline,Symbiodinium
Ac,Ac_173,2017-11-16,Ambient,R2,0.608,G_07,1,T5,Ac_173_T5,Baseline,Symbiodinium
Ac,Ac_261,2017-11-16,Ambient,R1,0.589,G_07,1,T5,Ac_261_T5,Baseline,Symbiodinium
Ac,Ac_264,2017-11-16,Ambient,R2,0.607,G_07,1,T5,Ac_264_T5,Baseline,Symbiodinium
Ac,Ac_267,2017-11-16,Ambient,R1,0.596,G_07,1,T5,Ac_267_T5,Baseline,Symbiodinium
Ac,Ac_270,2017-11-16,Ambient,R2,0.608,G_07,1,T5,Ac_270_T5,Baseline,Symbiodinium
Ac,Ac_273,2017-11-16,Ambient,R1,0.596,G_07,1,T5,Ac_273_T5,Baseline,Symbiodinium
Ac,Ac_143,2017-11-16,Ambient,R1,0.606,G_08,1,T5,Ac_143_T5,Baseline,Symbiodinium
Ac,Ac_231,2017-11-16,Ambient,R2,0.603,G_08,1,T5,Ac_231_T5,Baseline,Symbiodinium
Ac,Ac_149,2017-11-16,Ambient,R1,0.599,G_31,1,T5,Ac_149_T5,Baseline,Symbiodinium
Ac,Ac_152,2017-11-16,Ambient,R2,0.625,G_31,1,T5,Ac_152_T5,Baseline,Symbiodinium
Ac,Ac_157,2017-11-16,Ambient,R1,0.614,G_31,1,T5,Ac_157_T5,Baseline,Symbiodinium
Ac,Ac_160,2017-11-16,Ambient,R2,0.637,G_31,1,T5,Ac_160_T5,Baseline,Symbiodinium
Ac,Ac_248,2017-11-16,Ambient,R1,0.619,G_31,1,T5,Ac_248_T5,Baseline,Symbiodinium
Ac,Ac_176,2017-11-16,Ambient,R1,0.622,G_48,1,T5,Ac_176_T5,Baseline,Symbiodinium
Ac,Ac_179,2017-11-16,Ambient,R2,0.633,G_48,1,T5,Ac_179_T5,Baseline,Symbiodinium
Ac,Ac_182,2017-11-16,Ambient,R1,0.627,G_48,1,T5,Ac_182_T5,Baseline,Symbiodinium
Ac,Ac_186,2017-11-16,Ambient,R2,0.623,G_48,1,T5,Ac_186_T5,Baseline,Symbiodinium
Ac,Ac_189,2017-11-16,Ambient,R1,0.641,G_48,1,T5,Ac_189_T5,Baseline,Symbiodinium
