"Sample","Date","Spp","Fragment","Treatment","Replicate","YII","Genotype","Days","Time_Point","Phase","TotalSH","logSH","D.Prp","Community","InitialCommunity","DaysF","Nutrients"
"Ac_101_T13",2018-01-30,"Ac","Ac_101","N+P","R1",0.593,"G_50",76,"T13","Nutrients",0.0087836888846,-2.05632305519071,0,"A","A","76","Nutrients"
"Ac_102_T13",2018-01-30,"Ac","Ac_102","A","R2",0.565,"G_50",76,"T13","Nutrients",0.155506056019127,-0.808252693167848,0,"A","A","76","Ambient"
"Ac_104_T13",2018-01-30,"Ac","Ac_104","N+P","R2",0.583,"G_50",76,"T13","Nutrients",0.044210800621939,-1.35447162030014,0,"A","A","76","Nutrients"
"Ac_105_T13",2018-01-30,"Ac","Ac_105","A","R1",0.571,"G_50",76,"T13","Nutrients",0.045548352133462,-1.34152733048659,0,"A","A","76","Ambient"
"Ac_106_T13",2018-01-30,"Ac","Ac_106","N","R1",0.59,"G_50",76,"T13","Nutrients",0.050346757281759,-1.29802849611314,0,"A","A","76","Nutrients"
"Ac_107_T13",2018-01-30,"Ac","Ac_107","N+P","R1",0.577,"G_50",76,"T13","Nutrients",0.023188329007979,-1.63473054626331,0,"A","A","76","Nutrients"
"Ac_108_T13",2018-01-30,"Ac","Ac_108","A","R2",0.566,"G_50",76,"T13","Nutrients",NA,NA,0,"A","A","76","Ambient"
"Ac_110_T13",2018-01-30,"Ac","Ac_110","N+P","R2",0.592,"G_50",76,"T13","Nutrients",0.035073924367961,-1.45501563885191,0,"A","A","76","Nutrients"
"Ac_116_T13",2018-01-30,"Ac","Ac_116","A","R1",0.586,"G_62",76,"T13","Nutrients",0.21839968352229,-0.660747995292495,0,"A","A","76","Ambient"
"Ac_117_T13",2018-01-30,"Ac","Ac_117","N","R1",0.612,"G_62",76,"T13","Nutrients",0.234318484213026,-0.630193450732603,0,"A","A","76","Nutrients"
"Ac_118_T13",2018-01-30,"Ac","Ac_118","N+P","R1",0.622,"G_62",76,"T13","Nutrients",0.242665794697125,-0.614991435951573,0,"A","A","76","Nutrients"
"Ac_119_T13",2018-01-30,"Ac","Ac_119","A","R2",0.591,"G_62",76,"T13","Nutrients",0.355160408361289,-0.449575453334213,0,"A","A","76","Ambient"
"Ac_120_T13",2018-01-30,"Ac","Ac_120","N","R2",0.611,"G_62",76,"T13","Nutrients",0.363126134451652,-0.439942493472966,0,"A","A","76","Nutrients"
"Ac_121_T13",2018-01-30,"Ac","Ac_121","N+P","R2",0.612,"G_62",76,"T13","Nutrients",0.362371819431608,-0.440845583459958,0,"A","A","76","Nutrients"
"Ac_122_T13",2018-01-30,"Ac","Ac_122","A","R1",0.591,"G_62",76,"T13","Nutrients",0.401380565872757,-0.396443659099522,0,"A","A","76","Ambient"
"Ac_123_T13",2018-01-30,"Ac","Ac_123","N","R1",0.603,"G_62",76,"T13","Nutrients",0.299378530785363,-0.523779347265385,0,"A","A","76","Nutrients"
"Ac_124_T13",2018-01-30,"Ac","Ac_124","N+P","R1",0.594,"G_62",76,"T13","Nutrients",0.219309873646747,-0.658941815318512,0,"A","A","76","Nutrients"
"Ac_125_T13",2018-01-30,"Ac","Ac_125","A","R2",0.572,"G_62",76,"T13","Nutrients",0.377891158854564,-0.422633268722288,0,"A","A","76","Ambient"
"Ac_126_T13",2018-01-30,"Ac","Ac_126","N","R2",0.613,"G_62",76,"T13","Nutrients",0.346888199996178,-0.459810473186789,0,"A","A","76","Nutrients"
"Ac_128_T13",2018-01-30,"Ac","Ac_128","N+P","R2",0.612,"G_62",76,"T13","Nutrients",0.278653208602784,-0.554935951816607,0,"A","A","76","Nutrients"
"Ac_129_T13",2018-01-30,"Ac","Ac_129","A","R1",0.592,"G_62",76,"T13","Nutrients",0.394211746512861,-0.404270438986785,0,"A","A","76","Ambient"
"Ac_130_T13",2018-01-30,"Ac","Ac_130","N","R1",0.606,"G_62",76,"T13","Nutrients",0.360867886909357,-0.442651763433941,0,"A","A","76","Nutrients"
"Ac_143_T13",2018-01-30,"Ac","Ac_143","A","R1",0.582,"G_08",76,"T13","Nutrients",0.055400494763796,-1.25648635671152,0,"A","A","76","Ambient"
"Ac_144_T13",2018-01-30,"Ac","Ac_144","N","R1",0.609,"G_08",76,"T13","Nutrients",0.063045738672144,-1.20034426252018,0,"A","A","76","Nutrients"
"Ac_145_T13",2018-01-30,"Ac","Ac_145","N+P","R1",0.572,"G_08",76,"T13","Nutrients",0.039762235242061,-1.40052920963673,0,"A","A","76","Nutrients"
"Ac_149_T13",2018-01-30,"Ac","Ac_149","A","R1",0.563,"G_31",76,"T13","Nutrients",0.165745622246786,-0.78055793356676,0,"A","A","76","Ambient"
"Ac_150_T13",2018-01-30,"Ac","Ac_150","N","R1",0.613,"G_31",76,"T13","Nutrients",0.140490323479436,-0.852353587532621,0,"A","A","76","Nutrients"
"Ac_151_T13",2018-01-30,"Ac","Ac_151","N+P","R1",0.559,"G_31",76,"T13","Nutrients",0.051834004692493,-1.28538523629526,0,"A","A","76","Nutrients"
"Ac_152_T13",2018-01-30,"Ac","Ac_152","A","R2",0.578,"G_31",76,"T13","Nutrients",0.175317591647073,-0.756174503917979,0,"A","A","76","Ambient"
"Ac_154_T13",2018-01-30,"Ac","Ac_154","N","R2",0.582,"G_31",76,"T13","Nutrients",0.173865388829147,-0.759786863865946,0,"A","A","76","Nutrients"
"Ac_155_T13",2018-01-30,"Ac","Ac_155","N+P","R2",0.62,"G_31",76,"T13","Nutrients",0.144389993649514,-0.840462902703894,0,"A","A","76","Nutrients"
"Ac_157_T13",2018-01-30,"Ac","Ac_157","A","R1",0.592,"G_31",76,"T13","Nutrients",0.139665023090281,-0.854912342495765,0,"A","A","76","Ambient"
"Ac_158_T13",2018-01-30,"Ac","Ac_158","N","R1",0.63,"G_31",76,"T13","Nutrients",0.113246837747666,-0.94597391618412,0,"A","A","76","Nutrients"
"Ac_159_T13",2018-01-30,"Ac","Ac_159","N+P","R1",0.588,"G_31",76,"T13","Nutrients",0.053960318379345,-1.26792549654675,0,"A","A","76","Nutrients"
