Sample,Date,Spp,Fragment,Treatment,Replicate,YII,Genotype,Days,Time_Point,Phase,TotalSH,logSH,D.Prp,Community,InitialCommunity,DaysF,Nutrients
Ac_102_T19,2018-02-22,Ac,102,A,R2,0.556,G_50,99,T19,Heat,0.145545553571668,-0.837001057753756,0,A,A,99,Ambient
Ac_105_T19,2018-02-22,Ac,105,A,R1,0.558,G_50,99,T19,Heat,0.180183982196286,-0.74428381908925,0,A,A,99,Ambient
Ac_108_T19,2018-02-22,Ac,108,A,R2,0.547,G_50,99,T19,Heat,0.100484345838796,-0.997901590436156,0,A,A,99,Ambient
Ac_116_T19,2018-02-22,Ac,116,A,R1,0.565,G_62,99,T19,Heat,0.208416683135443,-0.681067519999816,0,A,A,99,Ambient
Ac_117_T19,2018-02-22,Ac,117,N,R1,0.475,G_62,99,T19,Heat,0.267302024747508,-0.572997751556446,0,A,A,99,Nutrients
Ac_118_T19,2018-02-22,Ac,118,N+P,R1,0.515,G_62,99,T19,Heat,0.16199741202891,-0.790491923423674,0,A,A,99,Nutrients
Ac_119_T19,2018-02-22,Ac,119,A,R2,0.543,G_62,99,T19,Heat,0.1717096077832,-0.765205403787898,0,A,A,99,Ambient
Ac_120_T19,2018-02-22,Ac,120,N,R2,0.376,G_62,99,T19,Heat,NA,NA,0,A,A,99,Nutrients
Ac_122_T19,2018-02-22,Ac,122,A,R1,0.531,G_62,99,T19,Heat,0.124054215950736,-0.906388471754305,0,A,A,99,Ambient
Ac_123_T19,2018-02-22,Ac,123,N,R1,0.457,G_62,99,T19,Heat,0.233184317566738,-0.632300660702251,0,A,A,99,Nutrients
Ac_124_T19,2018-02-22,Ac,124,N+P,R1,0.504,G_62,99,T19,Heat,0.052794910573815,-1.27740794141016,0,A,A,99,Nutrients
Ac_125_T19,2018-02-22,Ac,125,A,R2,0.533,G_62,99,T19,Heat,0.113286092912821,-0.945823401186287,0,A,A,99,Ambient
Ac_126_T19,2018-02-22,Ac,126,N,R2,0.333,G_62,99,T19,Heat,0.074896529026294,-1.12553830859768,0,A,A,99,Nutrients
Ac_128_T19,2018-02-22,Ac,128,N+P,R2,0.49,G_62,99,T19,Heat,0.057953623229462,-1.23691940699336,0,A,A,99,Nutrients
Ac_130_T19,2018-02-22,Ac,130,N,R1,0.466,G_62,99,T19,Heat,0.174469005733669,-0.758281713887626,0,A,A,99,Nutrients
Ac_143_T19,2018-02-22,Ac,143,A,R1,0.541,G_08,99,T19,Heat,0.157567584277907,-0.80253312325023,0,A,A,99,Ambient
Ac_152_T19,2018-02-22,Ac,152,A,R2,0.512,G_31,99,T19,Heat,0.035773688086545,-1.44643628397549,0,A,A,99,Ambient
Ac_155_T19,2018-02-22,Ac,155,N+P,R2,0.466,G_31,99,T19,Heat,0.030884840081217,-1.51025464305625,0,A,A,99,Nutrients
Ac_157_T19,2018-02-22,Ac,157,A,R1,0.511,G_31,99,T19,Heat,0.041207269228152,-1.38502616486003,0,A,A,99,Ambient
Ac_160_T19,2018-02-22,Ac,160,A,R2,0.518,G_31,99,T19,Heat,0.029188475480385,-1.53478858770287,0,A,A,99,Ambient
Ac_162_T19,2018-02-22,Ac,162,A,R1,0.502,G_07,99,T19,Heat,0.043300955501696,-1.36350252017006,0,A,A,99,Ambient
Ac_166_T19,2018-02-22,Ac,166,A,R2,0.49,G_07,99,T19,Heat,0.118383725655819,-0.926707996461624,0,A,A,99,Ambient
Ac_169_T19,2018-02-22,Ac,169,A,R1,0.515,G_07,99,T19,Heat,0.049003977755951,-1.30976866594404,0,A,A,99,Ambient
Ac_173_T19,2018-02-22,Ac,173,A,R2,0.495,G_07,99,T19,Heat,0.157022441849457,-0.804038273228551,0,A,A,99,Ambient
Ac_176_T19,2018-02-22,Ac,176,A,R1,0.54,G_48,99,T19,Heat,0.192848879782188,-0.714782879514181,0,A,A,99,Ambient
Ac_177_T19,2018-02-22,Ac,177,N,R1,0.469,G_48,99,T19,Heat,0.144189965296639,-0.841064962695221,0,A,A,99,Nutrients
Ac_178_T19,2018-02-22,Ac,178,N+P,R1,0.535,G_48,99,T19,Heat,0.041064702907041,-1.38653131483836,0,A,A,99,Nutrients
Ac_179_T19,2018-02-22,Ac,179,A,R2,0.565,G_48,99,T19,Heat,0.130176656547162,-0.885466887055659,0,A,A,99,Ambient
Ac_182_T19,2018-02-22,Ac,182,A,R1,0.558,G_48,99,T19,Heat,0.17374491628251,-0.76008789386161,0,A,A,99,Ambient
Ac_184_T19,2018-02-22,Ac,184,N+P,R1,0.468,G_48,99,T19,Heat,0.056997508643512,-1.24414412688929,0,A,A,99,Nutrients
Ac_186_T19,2018-02-22,Ac,186,A,R2,0.547,G_48,99,T19,Heat,0.128607142262266,-0.890734911979778,0,A,A,99,Ambient
Ac_187_T19,2018-02-22,Ac,187,N,R2,0.329,G_48,99,T19,Heat,0.104172231966326,-0.982248030661629,0,A,A,99,Nutrients
Ac_188_T19,2018-02-22,Ac,188,N+P,R2,0.514,G_48,99,T19,Heat,0.181563067225826,-0.740972489136948,0,A,A,99,Nutrients
Ac_190_T19,2018-02-22,Ac,190,N,R1,0.478,G_48,99,T19,Heat,0.164372706628767,-0.784170293514729,0,A,A,99,Nutrients
Ac_204_T19,2018-02-22,Ac,204,A,R1,0.563,G_50,99,T19,Heat,0.083045319587991,-1.08068483924375,0,A,A,99,Ambient
Ac_217_T19,2018-02-22,Ac,217,A,R2,0.531,G_62,99,T19,Heat,0.236111901750945,-0.626882120780299,0,A,A,99,Ambient
