Sample,Date,Spp,Fragment,Treatment,Replicate,YII,Genotype,Days,Time_Point,Phase,TotalSH,logSH,D.Prp,Community,InitialCommunity
Ac_101_T0,2017-07-26,Ac,Ac_101,N+P,R1,0.644,G_50,-112,T0,Baseline,NA,NA,0,A,A
Ac_101_T1,2017-08-30,Ac,Ac_101,N+P,R1,0.576,G_50,-77,T1,Baseline,NA,NA,0,A,A
Ac_101_T2,2017-10-10,Ac,Ac_101,N+P,R1,0.563,G_50,-36,T2,Baseline,NA,NA,0,A,A
Ac_101_T3,2017-10-19,Ac,Ac_101,N+P,R1,0.568,G_50,-27,T3,Baseline,NA,NA,0,A,A
Ac_101_T4,2017-11-06,Ac,Ac_101,N+P,R1,0.645,G_50,-9,T4,Baseline,NA,NA,0,A,A
Ac_101_T5,2017-11-16,Ac,Ac_101,N+P,R1,0.589,G_50,1,T5,Baseline,0.126222645449595,-0.898862721862706,0,A,A
Ac_101_T6,2017-11-23,Ac,Ac_101,N+P,R1,0.595,G_50,8,T6,Nutrients,NA,NA,0,A,A
Ac_101_T7,2017-11-29,Ac,Ac_101,N+P,R1,0.606,G_50,14,T7,Nutrients,NA,NA,0,A,A
Ac_101_T8,2017-12-06,Ac,Ac_101,N+P,R1,0.605,G_50,21,T8,Nutrients,NA,NA,0,A,A
Ac_101_T9,2017-12-13,Ac,Ac_101,N+P,R1,0.606,G_50,28,T9,Nutrients,0.04006656586399,-1.39721787968443,0,A,A
Ac_101_T10,2018-01-03,Ac,Ac_101,N+P,R1,0.625,G_50,49,T10,Nutrients,NA,NA,0,A,A
Ac_101_T11,2018-01-19,Ac,Ac_101,N+P,R1,0.593,G_50,65,T11,Nutrients,NA,NA,0,A,A
Ac_101_T12,2018-01-25,Ac,Ac_101,N+P,R1,0.567,G_50,71,T12,Nutrients,NA,NA,0,A,A
Ac_101_T13,2018-01-30,Ac,Ac_101,N+P,R1,0.593,G_50,76,T13,Nutrients,0.0087836888846,-2.05632305519071,0,A,A
Ac_101_T15,2018-02-07,Ac,Ac_101,N+P,R1,0.573,G_50,84,T15,Ramping,NA,NA,0,A,A
Ac_101_T16,2018-02-12,Ac,Ac_101,N+P,R1,0.569,G_50,89,T16,Ramping,NA,NA,0,A,A
Ac_101_T17,2018-02-15,Ac,Ac_101,N+P,R1,0.59,G_50,92,T17,Heat,NA,NA,0,A,A
Ac_102_T0,2017-07-26,Ac,Ac_102,A,R2,0.628,G_50,-112,T0,Baseline,NA,NA,0,A,A
Ac_102_T1,2017-08-30,Ac,Ac_102,A,R2,0.552,G_50,-77,T1,Baseline,NA,NA,0,A,A
Ac_102_T2,2017-10-10,Ac,Ac_102,A,R2,0.519,G_50,-36,T2,Baseline,NA,NA,0,A,A
Ac_102_T3,2017-10-19,Ac,Ac_102,A,R2,0.56,G_50,-27,T3,Baseline,NA,NA,0,A,A
Ac_102_T4,2017-11-06,Ac,Ac_102,A,R2,0.679,G_50,-9,T4,Baseline,NA,NA,0,A,A
Ac_102_T5,2017-11-16,Ac,Ac_102,A,R2,0.604,G_50,1,T5,Baseline,0.193988451107999,-0.712224124551037,0,A,A
Ac_102_T6,2017-11-23,Ac,Ac_102,A,R2,0.59,G_50,8,T6,Nutrients,NA,NA,0,A,A
Ac_102_T7,2017-11-29,Ac,Ac_102,A,R2,0.615,G_50,14,T7,Nutrients,NA,NA,0,A,A
Ac_102_T8,2017-12-06,Ac,Ac_102,A,R2,0.611,G_50,21,T8,Nutrients,NA,NA,0,A,A
Ac_102_T9,2017-12-13,Ac,Ac_102,A,R2,0.604,G_50,28,T9,Nutrients,0.053904243871492,-1.26837704154024,0,A,A
Ac_102_T10,2018-01-03,Ac,Ac_102,A,R2,0.597,G_50,49,T10,Nutrients,NA,NA,0,A,A
Ac_102_T11,2018-01-19,Ac,Ac_102,A,R2,0.553,G_50,65,T11,Nutrients,NA,NA,0,A,A
Ac_102_T12,2018-01-25,Ac,Ac_102,A,R2,0.578,G_50,71,T12,Nutrients,NA,NA,0,A,A
Ac_102_T13,2018-01-30,Ac,Ac_102,A,R2,0.565,G_50,76,T13,Nutrients,0.155506056019127,-0.808252693167848,0,A,A
Ac_102_T15,2018-02-07,Ac,Ac_102,A,R2,0.582,G_50,84,T15,Ramping,NA,NA,0,A,A
Ac_102_T16,2018-02-12,Ac,Ac_102,A,R2,0.57,G_50,89,T16,Ramping,NA,NA,0,A,A
Ac_102_T17,2018-02-15,Ac,Ac_102,A,R2,0.558,G_50,92,T17,Heat,NA,NA,0,A,A
Ac_102_T18,2018-02-19,Ac,Ac_102,A,R2,0.558,G_50,96,T18,Heat,NA,NA,0,A,A
Ac_102_T19,2018-02-22,Ac,Ac_102,A,R2,0.556,G_50,99,T19,Heat,0.145545553571668,-0.837001057753756,0,A,A
Ac_102_T20,2018-02-26,Ac,Ac_102,A,R2,0.512,G_50,103,T20,Heat,NA,NA,0,A,A
Ac_102_T21,2018-03-01,Ac,Ac_102,A,R2,0.503,G_50,106,T21,Heat,NA,NA,0,A,A
Ac_102_T22,2018-03-05,Ac,Ac_102,A,R2,0.457,G_50,110,T22,Heat,0.047515521399709,-1.32316450075109,0,A,A
Ac_102_T23,2018-03-08,Ac,Ac_102,A,R2,0.446,G_50,113,T23,Heat,NA,NA,0,A,A
Ac_103_T0,2017-07-26,Ac,Ac_103,N,R2,0.635,G_50,-112,T0,Baseline,NA,NA,0,A,A
Ac_103_T1,2017-08-30,Ac,Ac_103,N,R2,0.537,G_50,-77,T1,Baseline,NA,NA,0,A,A
Ac_103_T2,2017-10-10,Ac,Ac_103,N,R2,0.571,G_50,-36,T2,Baseline,NA,NA,0,A,A
Ac_103_T3,2017-10-19,Ac,Ac_103,N,R2,0.585,G_50,-27,T3,Baseline,NA,NA,0,A,A
Ac_103_T4,2017-11-06,Ac,Ac_103,N,R2,0.658,G_50,-9,T4,Baseline,NA,NA,0,A,A
Ac_103_T5,2017-11-16,Ac,Ac_103,N,R2,0.588,G_50,1,T5,Baseline,0.337051901819096,-0.472303218006844,0,A,A
Ac_103_T6,2017-11-23,Ac,Ac_103,N,R2,0.616,G_50,8,T6,Nutrients,NA,NA,0,A,A
Ac_103_T7,2017-11-29,Ac,Ac_103,N,R2,0.607,G_50,14,T7,Nutrients,NA,NA,0,A,A
Ac_103_T8,2017-12-06,Ac,Ac_103,N,R2,0.619,G_50,21,T8,Nutrients,NA,NA,0,A,A
Ac_103_T9,2017-12-13,Ac,Ac_103,N,R2,0.609,G_50,28,T9,Nutrients,0.028488879117493,-1.54532463755111,0,A,A
Ac_103_T10,2018-01-03,Ac,Ac_103,N,R2,0.635,G_50,49,T10,Nutrients,NA,NA,0,A,A
Ac_103_T11,2018-01-19,Ac,Ac_103,N,R2,0.224,G_50,65,T11,Nutrients,NA,NA,0,A,A
Ac_104_T0,2017-07-26,Ac,Ac_104,N+P,R2,0.633,G_50,-112,T0,Baseline,NA,NA,0,A,A
Ac_104_T1,2017-08-30,Ac,Ac_104,N+P,R2,0.545,G_50,-77,T1,Baseline,NA,NA,0,A,A
Ac_104_T2,2017-10-10,Ac,Ac_104,N+P,R2,0.564,G_50,-36,T2,Baseline,NA,NA,0,A,A
Ac_104_T3,2017-10-19,Ac,Ac_104,N+P,R2,0.579,G_50,-27,T3,Baseline,NA,NA,0,A,A
Ac_104_T4,2017-11-06,Ac,Ac_104,N+P,R2,0.665,G_50,-9,T4,Baseline,NA,NA,0,A,A
Ac_104_T5,2017-11-16,Ac,Ac_104,N+P,R2,0.611,G_50,1,T5,Baseline,0.152517074736628,-0.816681533046438,0,A,A
Ac_104_T6,2017-11-23,Ac,Ac_104,N+P,R2,0.625,G_50,8,T6,Nutrients,NA,NA,0,A,A
Ac_104_T7,2017-11-29,Ac,Ac_104,N+P,R2,0.651,G_50,14,T7,Nutrients,NA,NA,0,A,A
Ac_104_T8,2017-12-06,Ac,Ac_104,N+P,R2,0.629,G_50,21,T8,Nutrients,NA,NA,0,A,A
Ac_104_T9,2017-12-13,Ac,Ac_104,N+P,R2,0.631,G_50,28,T9,Nutrients,0.031002807371285,-1.5085989780801,0,A,A
Ac_104_T10,2018-01-03,Ac,Ac_104,N+P,R2,0.645,G_50,49,T10,Nutrients,NA,NA,0,A,A
Ac_104_T11,2018-01-19,Ac,Ac_104,N+P,R2,0.592,G_50,65,T11,Nutrients,NA,NA,0,A,A
Ac_104_T12,2018-01-25,Ac,Ac_104,N+P,R2,0.576,G_50,71,T12,Nutrients,NA,NA,0,A,A
Ac_104_T13,2018-01-30,Ac,Ac_104,N+P,R2,0.583,G_50,76,T13,Nutrients,0.044210800621939,-1.35447162030014,0,A,A
Ac_104_T15,2018-02-07,Ac,Ac_104,N+P,R2,0.6,G_50,84,T15,Ramping,NA,NA,0,A,A
Ac_104_T16,2018-02-12,Ac,Ac_104,N+P,R2,0.572,G_50,89,T16,Ramping,NA,NA,0,A,A
Ac_104_T17,2018-02-15,Ac,Ac_104,N+P,R2,0.576,G_50,92,T17,Heat,NA,NA,0,A,A
Ac_105_T0,2017-07-26,Ac,Ac_105,A,R1,0.636,G_50,-112,T0,Baseline,NA,NA,0,A,A
Ac_105_T1,2017-08-30,Ac,Ac_105,A,R1,0.572,G_50,-77,T1,Baseline,NA,NA,0,A,A
Ac_105_T2,2017-10-10,Ac,Ac_105,A,R1,0.537,G_50,-36,T2,Baseline,NA,NA,0,A,A
Ac_105_T3,2017-10-19,Ac,Ac_105,A,R1,0.577,G_50,-27,T3,Baseline,NA,NA,0,A,A
Ac_105_T4,2017-11-06,Ac,Ac_105,A,R1,0.667,G_50,-9,T4,Baseline,NA,NA,0,A,A
Ac_105_T5,2017-11-16,Ac,Ac_105,A,R1,0.616,G_50,1,T5,Baseline,0.114430431012182,-0.941458466249159,0,A,A
Ac_105_T6,2017-11-23,Ac,Ac_105,A,R1,0.614,G_50,8,T6,Nutrients,NA,NA,0,A,A
Ac_105_T7,2017-11-29,Ac,Ac_105,A,R1,0.625,G_50,14,T7,Nutrients,NA,NA,0,A,A
Ac_105_T8,2017-12-06,Ac,Ac_105,A,R1,0.614,G_50,21,T8,Nutrients,NA,NA,0,A,A
Ac_105_T9,2017-12-13,Ac,Ac_105,A,R1,0.614,G_50,28,T9,Nutrients,0.068656621243625,-1.16331757305351,0,A,A
Ac_105_T10,2018-01-03,Ac,Ac_105,A,R1,0.579,G_50,49,T10,Nutrients,NA,NA,0,A,A
Ac_105_T11,2018-01-19,Ac,Ac_105,A,R1,0.575,G_50,65,T11,Nutrients,NA,NA,0,A,A
Ac_105_T12,2018-01-25,Ac,Ac_105,A,R1,0.563,G_50,71,T12,Nutrients,NA,NA,0,A,A
Ac_105_T13,2018-01-30,Ac,Ac_105,A,R1,0.571,G_50,76,T13,Nutrients,0.045548352133462,-1.34152733048659,0,A,A
Ac_105_T15,2018-02-07,Ac,Ac_105,A,R1,0.583,G_50,84,T15,Ramping,NA,NA,0,A,A
Ac_105_T16,2018-02-12,Ac,Ac_105,A,R1,0.565,G_50,89,T16,Ramping,NA,NA,0,A,A
Ac_105_T17,2018-02-15,Ac,Ac_105,A,R1,0.569,G_50,92,T17,Heat,NA,NA,0,A,A
Ac_105_T18,2018-02-19,Ac,Ac_105,A,R1,0.557,G_50,96,T18,Heat,NA,NA,0,A,A
Ac_105_T19,2018-02-22,Ac,Ac_105,A,R1,0.558,G_50,99,T19,Heat,0.180183982196286,-0.74428381908925,0,A,A
Ac_105_T20,2018-02-26,Ac,Ac_105,A,R1,0.548,G_50,103,T20,Heat,NA,NA,0,A,A
Ac_105_T21,2018-03-01,Ac,Ac_105,A,R1,0.48,G_50,106,T21,Heat,NA,NA,0,A,A
Ac_105_T22,2018-03-05,Ac,Ac_105,A,R1,0.388,G_50,110,T22,Heat,0.046586077450158,-1.33174385562751,0,A,A
Ac_105_T23,2018-03-08,Ac,Ac_105,A,R1,0.352,G_50,113,T23,Heat,NA,NA,0,A,A
Ac_106_T0,2017-07-26,Ac,Ac_106,N,R1,0.635,G_50,-112,T0,Baseline,NA,NA,0,A,A
Ac_106_T1,2017-08-30,Ac,Ac_106,N,R1,0.565,G_50,-77,T1,Baseline,NA,NA,0,A,A
Ac_106_T2,2017-10-10,Ac,Ac_106,N,R1,0.545,G_50,-36,T2,Baseline,NA,NA,0,A,A
Ac_106_T3,2017-10-19,Ac,Ac_106,N,R1,0.579,G_50,-27,T3,Baseline,NA,NA,0,A,A
Ac_106_T4,2017-11-06,Ac,Ac_106,N,R1,0.658,G_50,-9,T4,Baseline,NA,NA,0,A,A
Ac_106_T5,2017-11-16,Ac,Ac_106,N,R1,0.586,G_50,1,T5,Baseline,0.193518402593131,-0.713277729535862,0,A,A
Ac_106_T6,2017-11-23,Ac,Ac_106,N,R1,0.596,G_50,8,T6,Nutrients,NA,NA,0,A,A
Ac_106_T7,2017-11-29,Ac,Ac_106,N,R1,0.625,G_50,14,T7,Nutrients,NA,NA,0,A,A
Ac_106_T8,2017-12-06,Ac,Ac_106,N,R1,0.599,G_50,21,T8,Nutrients,NA,NA,0,A,A
Ac_106_T9,2017-12-13,Ac,Ac_106,N,R1,0.615,G_50,28,T9,Nutrients,0.016939588872488,-1.77109713429909,0,A,A
Ac_106_T10,2018-01-03,Ac,Ac_106,N,R1,0.634,G_50,49,T10,Nutrients,NA,NA,0,A,A
Ac_106_T11,2018-01-19,Ac,Ac_106,N,R1,0.624,G_50,65,T11,Nutrients,NA,NA,0,A,A
Ac_106_T12,2018-01-25,Ac,Ac_106,N,R1,0.583,G_50,71,T12,Nutrients,NA,NA,0,A,A
Ac_106_T13,2018-01-30,Ac,Ac_106,N,R1,0.59,G_50,76,T13,Nutrients,0.050346757281759,-1.29802849611314,0,A,A
Ac_106_T15,2018-02-07,Ac,Ac_106,N,R1,0.591,G_50,84,T15,Ramping,NA,NA,0,A,A
