Time_Point,Date,Phase
T0,7/26/17,Baseline
T1,8/30/17,Baseline
T2,10/10/17,Baseline
T3,10/18/17,Baseline
T3,10/19/17,Baseline
T4,11/6/17,Baseline
T4,11/8/17,Baseline
T5,11/15/17,Baseline
T5,11/16/17,Baseline
T6,11/23/17,Nutrients
T7,11/29/17,Nutrients
T7,11/30/17,Nutrients
T8,12/6/17,Nutrients
T9,12/13/17,Nutrients
T9,12/14/17,Nutrients
T9,12/15/17,Nutrients
T10,1/3/18,Nutrients
T11,1/16/18,Nutrients
T11,1/19/18,Nutrients
T12,1/25/18,Nutrients
T13,1/29/18,Nutrients
T13,1/30/18,Nutrients
T14,2/5/18,Nutrients
T15,2/7/18,Ramping
T16,2/12/18,Ramping
T17,2/14/18,Heat
T17,2/15/18,Heat
T18,2/19/18,Heat
T19,2/22/18,Heat
T19,2/23/18,Heat
T20,2/26/18,Heat
T21,3/1/18,Heat
T21,3/2/18,Heat
T21,3/3/18,Heat
T22,3/5/18,Heat
T22,3/6/18,Heat
T22,3/7/18,Heat
T23,3/8/18,Heat
T24,3/25/18,Recovery
T24,3/27/18,Recovery
T25,4/20/18,Recovery
