Time,Date,Spp,Colony,Fragment,Treatment,Replicate,YII,Sample
5,11/16/17,O.fav,6,6-6,Control,R1,0.457,6-6_2017-11-16
5,11/16/17,O.fav,6,6-83,Control,R1,0.446,6-83_2017-11-16
5,11/16/17,O.fav,6,6-112,Control,R1,0.494,6-112_2017-11-16
5,11/16/17,O.fav,20,20-14,Control,R1,0.498,20-14_2017-11-16
5,11/16/17,O.fav,20,20-19,Control,R1,0.523,20-19_2017-11-16
5,11/16/17,O.fav,20,20-30,Control,R1,0.47,20-30_2017-11-16
5,11/16/17,O.fav,31,31-34,Control,R1,0.576,31-34_2017-11-16
5,11/16/17,O.fav,31,31-41,Control,R1,0.576,31-41_2017-11-16
5,11/16/17,O.fav,31,31-45,Control,R1,0.576,31-45_2017-11-16
5,11/16/17,O.fav,34,34-20,Control,R1,0.485,34-20_2017-11-16
5,11/16/17,O.fav,34,34-36,Control,R1,0.506,34-36_2017-11-16
5,11/16/17,O.fav,34,34-49,Control,R1,0.521,34-49_2017-11-16
5,11/16/17,O.fav,6,6-9,N,R1,0.516,6-9_2017-11-16
5,11/16/17,O.fav,6,6-81,N,R1,0.554,6-81_2017-11-16
5,11/16/17,O.fav,6,6-96,N,R1,0.479,6-96_2017-11-16
5,11/16/17,O.fav,20,20-2,N,R1,0.504,20-2_2017-11-16
5,11/16/17,O.fav,20,20-28,N,R1,0.506,20-28_2017-11-16
5,11/16/17,O.fav,20,20-46,N,R1,0.483,20-46_2017-11-16
5,11/16/17,O.fav,31,31-25,N,R1,0.554,31-25_2017-11-16
5,11/16/17,O.fav,31,31-30,N,R1,0.564,31-30_2017-11-16
5,11/16/17,O.fav,31,31-43,N,R1,0.564,31-43_2017-11-16
5,11/16/17,O.fav,34,34-5,N,R1,0.494,34-5_2017-11-16
5,11/16/17,O.fav,34,34-38,N,R1,0.512,34-38_2017-11-16
5,11/16/17,O.fav,34,34-44,N,R1,0.524,34-44_2017-11-16
5,11/16/17,O.fav,6,6-61,NP,R1,0.541,6-61_2017-11-16
5,11/16/17,O.fav,6,6-86,NP,R1,0.523,6-86_2017-11-16
5,11/16/17,O.fav,6,6-115,NP,R1,0.504,6-115_2017-11-16
5,11/16/17,O.fav,20,20-17,NP,R1,0.472,20-17_2017-11-16
5,11/16/17,O.fav,20,20-34,NP,R1,0.45,20-34_2017-11-16
5,11/16/17,O.fav,20,20-40,NP,R1,0.533,20-40_2017-11-16
5,11/16/17,O.fav,31,31-17,NP,R1,0.558,31-17_2017-11-16
5,11/16/17,O.fav,31,31-39,NP,R1,0.504,31-39_2017-11-16
5,11/16/17,O.fav,31,31-40,NP,R1,0.539,31-40_2017-11-16
5,11/16/17,O.fav,34,34-4,NP,R1,0.528,34-4_2017-11-16
5,11/16/17,O.fav,34,34-9,NP,R1,0.514,34-9_2017-11-16
5,11/16/17,O.fav,34,34-22,NP,R1,0.475,34-22_2017-11-16
5,11/16/17,O.fav,6,6-40,Control,R2,0.557,6-40_2017-11-16
5,11/16/17,O.fav,6,6-85,Control,R2,0.471,6-85_2017-11-16
5,11/16/17,O.fav,6,6-116,Control,R2,0.53,6-116_2017-11-16
5,11/16/17,O.fav,20,20-3,Control,R2,0.496,20-3_2017-11-16
5,11/16/17,O.fav,20,20-4,Control,R2,0.548,20-4_2017-11-16
5,11/16/17,O.fav,20,20-21,Control,R2,0.456,20-21_2017-11-16
5,11/16/17,O.fav,31,31-13,Control,R2,0.504,31-13_2017-11-16
5,11/16/17,O.fav,31,31-24,Control,R2,0.504,31-24_2017-11-16
5,11/16/17,O.fav,31,31-46,Control,R2,0.504,31-46_2017-11-16
5,11/16/17,O.fav,34,34-8,Control,R2,0.49,34-8_2017-11-16
5,11/16/17,O.fav,34,34-11,Control,R2,0.446,34-11_2017-11-16
5,11/16/17,O.fav,34,34-23,Control,R2,0.52,34-23_2017-11-16
5,11/16/17,O.fav,6,6-12,N,R2,0.559,6-12_2017-11-16
5,11/16/17,O.fav,6,6-19,N,R2,0.506,6-19_2017-11-16
5,11/16/17,O.fav,6,6-118,N,R2,0.532,6-118_2017-11-16
