Genotype,Treatment,Rep,Frag,Date,ProK T=9,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample.Plate
F,Control,R1,137,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 1,Sample 1_Plate6.csv
F,Control,R1,291,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 2,Sample 2_Plate6.csv
Green,Control,R1,176,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 3,Sample 3_Plate6.csv
Green,Control,R1,182,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 4,Sample 4_Plate6.csv
Green,Control,R1,189,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 5,Sample 5_Plate6.csv
Green,Control,R1,281,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 6,Sample 6_Plate6.csv
Green,Control,R1,287,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 7,Sample 7_Plate6.csv
Green and Orange,Control,R1,116,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 8,Sample 8_Plate6.csv
Green and Orange,Control,R1,122,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 9,Sample 9_Plate6.csv
Green and Orange,Control,R1,129,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 10,Sample 10_Plate6.csv
Green and Orange,Control,R1,220,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 11,Sample 11_Plate6.csv
Green and Orange,Control,R1,226,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 12,Sample 12_Plate6.csv
Orange,Control,R1,149,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 13,Sample 13_Plate6.csv
Orange,Control,R1,157,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 14,Sample 14_Plate6.csv
Orange,Control,R1,248,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 15,Sample 15_Plate6.csv
Red and Orange,Control,R1,162,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 16,Sample 16_Plate6.csv
Red and Orange,Control,R1,169,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 17,Sample 17_Plate6.csv
Red and Orange,Control,R1,261,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 18,Sample 18_Plate6.csv
Red and Orange,Control,R1,267,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 19,Sample 19_Plate6.csv
Red and Orange,Control,R1,273,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 20,Sample 20_Plate6.csv
Red and Yellow,Control,R1,105,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate6,Sample 21,Sample 21_Plate6.csv
Red and Yellow,Control,R1,204,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate5,Sample 22,Sample 22_Plate6.csv
Yellow,Control,R1,143,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 1,Sample 1_Plate7.csv
F,Control,R2,139,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 2,Sample 2_Plate7.csv
F,Control,R2,192,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 3,Sample 3_Plate7.csv
F,Control,R2,241,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 4,Sample 4_Plate7.csv
Green,Control,R2,179,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 5,Sample 5_Plate7.csv
Green,Control,R2,186,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 6,Sample 6_Plate7.csv
Green,Control,R2,277,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 7,Sample 7_Plate7.csv
Green,Control,R2,284,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 8,Sample 8_Plate7.csv
Green,Control,R2,290,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 9,Sample 9_Plate7.csv
Green and Orange,Control,R2,119,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 10,Sample 10_Plate7.csv
Green and Orange,Control,R2,125,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 11,Sample 11_Plate7.csv
Green and Orange,Control,R2,217,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 12,Sample 12_Plate7.csv
Green and Orange,Control,R2,223,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 13,Sample 13_Plate7.csv
Orange,Control,R2,152,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 14,Sample 14_Plate7.csv
Orange,Control,R2,160,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 15,Sample 15_Plate7.csv
Red and Orange,Control,R2,166,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 16,Sample 16_Plate7.csv
Red and Orange,Control,R2,173,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 17,Sample 17_Plate7.csv
Red and Orange,Control,R2,264,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 18,Sample 18_Plate7.csv
Red and Orange,Control,R2,270,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 19,Sample 19_Plate7.csv
Red and Yellow,Control,R2,102,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 20,Sample 20_Plate7.csv
Red and Yellow,Control,R2,108,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 21,Sample 21_Plate7.csv
Yellow,Control,R2,231,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/24,"Acer, A",Plate7,Sample 22,Sample 22_Plate7.csv
F,N,R1,146,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate8,Sample 1,Sample 1_Plate8.csv
F,N,R1,239,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate8,Sample 2,Sample 2_Plate8.csv
Green,N,R1,177,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate8,Sample 3,Sample 3_Plate8.csv
