,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Users\INSTR-ADMIN\experiments\Ana\Nutrients\Acer_Nutrients_Plate16.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer_Nutrients_Plate16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-09 11:00:18 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Omit,Sample Name,Target Name,Task,Reporter,Quencher,C_,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,PRFLOW,NOISE,HIGHSD,SPIKE,DRNMIN,Tm1,NOAMP,Tm2,BADROX,Tm3,CTFAIL,Tm4
A1,0,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,36.053,,,,,,,,,0,0.2,1,3,39,No Amp,,0,Y,N,Y,N,N,N,N,N,60.001,Y,,N,,N,
A2,0,+,A,UNKNOWN,SYBR,None,24.892,24.882,0.014,,,,,,,,0,0.2,1,3,19,Amp,,0.978,N,Y,N,N,N,N,N,N,84.735,N,82.674,N,62.21,N,75.313
A3,0,Sample 7,Acer,UNKNOWN,SYBR,None,23.689,23.858,0.239,,,,,,,,0,0.2,1,3,19,Amp,,0.984,N,N,N,N,N,N,N,N,73.399,N,,N,,N,
A4,0,Sample 7,A,UNKNOWN,SYBR,None,23.541,23.488,0.075,,,,,,,,0,0.2,1,3,18,Amp,,0.956,N,N,N,N,N,N,N,N,85.177,N,,N,,N,
A5,0,Sample 7,Acer,UNKNOWN,SYBR,None,24.027,23.858,0.239,,,,,,,,0,0.2,1,3,18,Amp,,0.986,N,N,N,N,N,N,N,N,73.546,N,,N,,N,
A6,0,Sample 7,A,UNKNOWN,SYBR,None,23.435,23.488,0.075,,,,,,,,0,0.2,1,3,18,Amp,,0.983,N,N,N,N,N,N,N,N,85.029,N,,N,,N,
A7,0,Sample 15,Acer,UNKNOWN,SYBR,None,24.208,24.168,0.057,,,,,,,,0,0.2,1,3,18,Amp,,0.985,N,N,N,N,N,N,N,N,73.399,N,,N,,N,
A8,0,Sample 15,A,UNKNOWN,SYBR,None,24.904,24.854,0.071,,,,,,,,0,0.2,1,3,19,Amp,,0.989,N,N,N,N,N,N,N,N,85.177,N,,N,,N,
A9,0,Sample 15,Acer,UNKNOWN,SYBR,None,24.128,24.168,0.057,,,,,,,,0,0.2,1,3,19,Amp,,0.988,N,N,N,N,N,N,N,N,73.399,N,,N,,N,
A10,0,Sample 15,A,UNKNOWN,SYBR,None,24.804,24.854,0.071,,,,,,,,0,0.2,1,3,19,Amp,,0.989,N,N,N,N,N,N,N,N,85.029,N,,N,,N,
