Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate10a.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-30 14:25:02 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,SPIKE,NOSIGNAL,EXPFAIL
A1,NTC,Ofav,UNKNOWN,SYBR,None,15.4820728302,15.4820728302,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A2,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
A2,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
A3,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A4,Sample 7,Ofav,UNKNOWN,SYBR,None,20.766746521,20.7387161255,0.0396396182,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N
A5,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
A5,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,25.7968730927,25.7554168701,0.0586279519,,,,0,0.02,1,3,23,,N,N,Y,N,N,N,Y
A6,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,20.7106876373,20.7387161255,0.0396396182,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
A8,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
A8,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,25.7139606476,25.7554168701,0.0586279519,,,,0,0.02,1,3,23,,N,N,Y,N,N,N,Y
A9,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A10,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,15.4820728302,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A11,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A11,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A12,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,20.3750457764,20.0322360992,0.4848060906,,,,0,0.02,1,3,17,,N,N,N,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,27.1511669159,27.2105827332,0.0840280056,,,,0,0.02,1,3,25,,N,N,Y,N,N,N,Y
B3,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
B4,Sample 1,Ofav,UNKNOWN,SYBR,None,19.6894264221,20.0322360992,0.4848060906,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
B5,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
B5,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,27.2700004578,27.2105827332,0.0840280056,,,,0,0.02,1,3,25,,N,N,Y,N,N,N,Y
B6,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
B7,Sample 8,Ofav,UNKNOWN,SYBR,None,23.3429660797,23.6754684448,0.4702306986,,,,0,0.02,1,3,21,,N,N,N,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,N,N,N,Y
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,35.7216033936,35.2551879883,0.6596136689,,,,0,0.02,1,3,34,,N,Y,Y,N,N,N,Y
B9,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,34.7225608826,35.2510147095,0.7473492622,,,,0,0.02,1,3,32,,N,Y,N,N,N,N,N
B10,Sample 8,Ofav,UNKNOWN,SYBR,None,24.0079727173,23.6754684448,0.4702306986,,,,0,0.02,1,3,22,,N,N,N,N,N,N,N
B11,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,N,N,N,Y
B11,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,34.7887687683,35.2551879883,0.6596136689,,,,0,0.02,1,3,32,,N,Y,Y,N,N,N,Y
B12,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,35.7794723511,35.2510147095,0.7473492622,,,,0,0.02,1,3,34,,N,Y,N,N,N,N,N
C1,Sample 2,Ofav,UNKNOWN,SYBR,None,22.9964637756,22.8926544189,0.1468099505,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,N,N,N,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,36.2752723694,35.2975311279,1.3827376366,,,,0,0.02,1,3,34,,N,Y,Y,N,N,N,Y
C3,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,35.2678031921,35.6423797607,0.5297285914,,,,0,0.02,1,3,33,,N,Y,N,N,N,N,N
C4,Sample 2,Ofav,UNKNOWN,SYBR,None,22.7888431549,22.8926544189,0.1468099505,,,,0,0.02,1,3,22,,N,N,N,N,N,N,N
C5,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,N,N,N,Y
C5,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,34.3197860718,35.2975311279,1.3827376366,,,,0,0.02,1,3,32,,N,Y,Y,N,N,N,Y
C6,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,36.0169525146,35.6423797607,0.5297285914,,,,0,0.02,1,3,34,,N,Y,N,N,N,N,N
C7,Sample 9,Ofav,UNKNOWN,SYBR,None,23.4934768677,23.7209529877,0.3216998279,,,,0,0.02,1,3,21,,N,N,N,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,36.2546806335,36.0904884338,0.2322028428,,,,0,0.02,1,3,34,,N,N,Y,N,N,N,Y
C9,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,33.3861885071,34.188621521,1.134808898,,,,0,0.02,1,3,31,,N,Y,N,N,N,N,N
C10,Sample 9,Ofav,UNKNOWN,SYBR,None,23.9484291077,23.7209529877,0.3216998279,,,,0,0.02,1,3,22,,N,N,N,N,N,N,N
C11,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
C11,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,35.9262962341,36.0904884338,0.2322028428,,,,0,0.02,1,3,34,,N,N,Y,N,N,N,Y
C12,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,34.9910507202,34.188621521,1.134808898,,,,0,0.02,1,3,33,,N,Y,N,N,N,N,N
D1,Sample 3,Ofav,UNKNOWN,SYBR,None,25.5024738312,25.0324745178,0.6646794081,,,,0,0.02,1,3,24,,N,Y,N,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,34.4572029114,34.5102882385,0.0750739872,,,,0,0.02,1,3,32,,N,N,Y,N,N,N,Y
D3,Sample 3,B,UNKNOWN,FAM,NFQ-MGB,35.6436195374,35.8213272095,0.251316607,,,,0,0.02,1,3,34,,N,N,N,N,N,N,N
D4,Sample 3,Ofav,UNKNOWN,SYBR,None,24.5624752045,25.0324745178,0.6646794081,,,,0,0.02,1,3,23,,N,Y,N,N,N,N,N
D5,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
D5,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,34.5633735657,34.5102882385,0.0750739872,,,,0,0.02,1,3,32,,N,N,Y,N,N,N,Y
D6,Sample 3,B,UNKNOWN,FAM,NFQ-MGB,35.9990348816,35.8213272095,0.251316607,,,,0,0.02,1,3,34,,N,N,N,N,N,N,N
D7,Sample 10,Ofav,UNKNOWN,SYBR,None,21.8628482819,22.0598373413,0.2785845995,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,30.3153934479,30.0395240784,0.39013955,,,,0,0.02,1,3,28,,N,N,Y,N,N,N,Y
D9,Sample 10,B,UNKNOWN,FAM,NFQ-MGB,33.2422599792,33.7888069153,0.7729340792,,,,0,0.02,1,3,31,,N,Y,N,N,N,N,N
D10,Sample 10,Ofav,UNKNOWN,SYBR,None,22.2568264008,22.0598373413,0.2785845995,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
D11,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
D11,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,29.7636528015,30.0395240784,0.39013955,,,,0,0.02,1,3,27,,N,N,Y,N,N,N,Y
D12,Sample 10,B,UNKNOWN,FAM,NFQ-MGB,34.3353538513,33.7888069153,0.7729340792,,,,0,0.02,1,3,32,,N,Y,N,N,N,N,N
E1,Sample 4,Ofav,UNKNOWN,SYBR,None,26.0246391296,24.40675354,2.2880370617,,,,0,0.02,1,3,22,,N,Y,N,Y,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,N,N,N,Y
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,33.6954994202,33.2035751343,0.6956833005,,,,0,0.02,1,3,31,,N,Y,Y,N,N,N,Y
E3,Sample 4,B,UNKNOWN,FAM,NFQ-MGB,34.8384475708,35.4062995911,0.8030640483,,,,0,0.02,1,3,33,,N,Y,N,N,N,N,N
E4,Sample 4,Ofav,UNKNOWN,SYBR,None,22.7888660431,24.40675354,2.2880370617,,,,0,0.02,1,3,20,,N,Y,N,N,N,N,N
E5,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,N,N,N,Y
E5,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,32.7116546631,33.2035751343,0.6956833005,,,,0,0.02,1,3,30,,N,Y,Y,N,N,N,Y
E6,Sample 4,B,UNKNOWN,FAM,NFQ-MGB,35.9741516113,35.4062995911,0.8030640483,,,,0,0.02,1,3,34,,N,Y,N,N,N,N,N
E7,Sample 11,Ofav,UNKNOWN,SYBR,None,20.9049510956,21.070728302,0.2344443798,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
