Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate11.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-07 14:09:43 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
A1,,,,,,,,,,,,,,,,,,N,N,N,N
A2,,,,,,,,,,,,,,,,,,N,N,N,N
A3,NTC,Ofav,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A4,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,N,N
A4,NTC,D,NTC,FAM,NFQ-MGB,29.5987167358,,,,,,0,0.02,1,3,27,,Y,N,N,N
A5,NTC,Ofav,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A6,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,N,N
A6,NTC,D,NTC,FAM,NFQ-MGB,30.3267478943,,,,,,0,0.02,1,3,28,,Y,N,N,N
A7,-,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
A8,-,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
A8,-,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
A9,-,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
A10,-,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
