Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate12.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-07 11:26:31 AM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ofav,UNKNOWN,SYBR,None,16.8950080872,28.2520122528,16.0612297058,,,,0,0.02,1,3,39,,Y,N,Y
A2,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A2,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A3,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A4,Sample 7,Ofav,UNKNOWN,SYBR,None,25.9188747406,25.6229934692,0.4184406698,,,,0,0.02,1,3,25,,N,N,N
A5,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,37.3267860413,36.9014015198,0.6015845537,,,,0,0.02,1,3,32,,Y,N,N
A5,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,30.2894420624,29.9656486511,0.4579130411,,,,0,0.02,1,3,28,,Y,N,N
A6,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,25.3271102905,25.6229934692,0.4184406698,,,,0,0.02,1,3,24,,N,N,N
A8,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,36.4760169983,36.9014015198,0.6015845537,,,,0,0.02,1,3,32,,Y,N,N
A8,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,29.6418552399,29.9656486511,0.4579130411,,,,0,0.02,1,3,28,,Y,N,N
A9,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A10,NTC,Ofav,UNKNOWN,SYBR,None,39.6090164185,28.2520122528,16.0612297058,,,,0,0.02,1,3,22,,Y,N,N
A11,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A11,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A12,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,26.1595573425,24.3140640259,2.6099202633,,,,0,0.02,1,3,25,,Y,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,28.833530426,28.8726501465,0.0553249866,,,,0,0.02,1,3,27,,N,N,Y
B3,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
