Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate14.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-07 17:22:30 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,1,0.0878216681,1,3,39,,N,N,Y
A2,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0228472436,1,3,39,,N,Y,Y
A2,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.0945755828,1,3,39,,N,Y,Y
A3,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.0037887907,1,3,39,,N,N,Y
A4,Sample 7,Ofav,UNKNOWN,SYBR,None,22.0721111298,22.0150909424,0.0806400701,,,,1,0.0878216681,1,3,19,,N,N,N
A5,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0228472436,1,3,39,,N,N,Y
A5,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,31.222618103,31.5462226868,0.4576446414,,,,1,0.0945755828,1,3,27,,N,N,Y
A6,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.0037887907,1,3,39,,N,N,Y
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,21.9580688477,22.0150909424,0.0806400701,,,,1,0.0878216681,1,3,19,,N,N,N
A8,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0228472436,1,3,39,,N,N,Y
A8,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,31.8698253632,31.5462226868,0.4576446414,,,,1,0.0945755828,1,3,28,,N,N,Y
A9,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.0037887907,1,3,39,,N,N,Y
A10,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,1,0.0878216681,1,3,39,,N,N,Y
A11,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0228472436,1,3,39,,N,Y,Y
A11,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.0945755828,1,3,39,,N,Y,Y
A12,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.0037887907,1,3,39,,N,N,Y
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,20.7493839264,20.7969169617,0.0672232136,,,,1,0.0878216681,1,3,17,,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,37.0269737244,37.0269737244,,,,,1,0.0228472436,1,3,35,,N,N,N
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,30.3399620056,30.4442062378,0.1474222541,,,,1,0.0945755828,1,3,26,,N,N,N
B3,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.0037887907,1,3,39,,N,N,Y
B4,Sample 1,Ofav,UNKNOWN,SYBR,None,20.8444519043,20.7969169617,0.0672232136,,,,1,0.0878216681,1,3,18,,N,N,N
B5,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.0269737244,,,,,1,0.0228472436,1,3,39,,N,Y,Y
B5,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,30.5484485626,30.4442062378,0.1474222541,,,,1,0.0945755828,1,3,26,,N,Y,Y
B6,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.0037887907,1,3,39,,N,N,Y
B7,Sample 8,Ofav,UNKNOWN,SYBR,None,35.2436676025,31.4674949646,5.3403143883,,,,1,0.0878216681,1,3,32,,Y,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0228472436,1,3,39,,N,Y,Y
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,28.8574295044,28.84608078,0.0160481706,,,,1,0.0945755828,1,3,25,,N,Y,Y
B9,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.0037887907,1,3,39,,N,N,Y
B10,Sample 8,Ofav,UNKNOWN,SYBR,None,27.6913223267,31.4674949646,5.3403143883,,,,1,0.0878216681,1,3,25,,Y,N,N
B11,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0228472436,1,3,39,,N,N,Y
B11,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,28.834733963,28.84608078,0.0160481706,,,,1,0.0945755828,1,3,25,,N,N,Y
B12,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.0037887907,1,3,39,,N,N,Y
