Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\home\mcano\Dropbox\RSMAS\Projects\2017-Nutrients\Ofav qPCR\Ofav_Nut_Plate20.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ofav,UNKNOWN,SYBR,None,38.0833892822,34.3917427063,5.2207765579,,,,0,0.02,1,3,35,,Y,N,N
A2,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A2,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A3,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A4,Sample 7,Ofav,UNKNOWN,SYBR,None,20.5073337555,20.5623836517,0.0778523088,,,,0,0.02,1,3,19,,N,N,N
A5,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,31.3151950836,,,,,0,0.02,1,3,39,,N,Y,Y
A5,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,24.0003242493,24.0152664185,0.0211327672,,,,0,0.02,1,3,22,,N,Y,Y
A6,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,35.5261077881,34.5713310242,1.3502582312,,,,0,0.02,1,3,34,,Y,N,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,20.617433548,20.5623836517,0.0778523088,,,,0,0.02,1,3,19,,N,N,N
A8,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,31.3151950836,31.3151950836,,,,,0,0.02,1,3,26,,N,N,N
A8,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,24.030210495,24.0152664185,0.0211327672,,,,0,0.02,1,3,22,,N,N,N
A9,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,33.6165542603,34.5713310242,1.3502582312,,,,0,0.02,1,3,32,,Y,N,N
A10,NTC,Ofav,UNKNOWN,SYBR,None,30.7000961304,34.3917427063,5.2207765579,,,,0,0.02,1,3,29,,Y,N,N
A11,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A11,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A12,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,22.244468689,22.0309524536,0.3019562066,,,,0,0.02,1,3,21,,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,29.1845645905,29.4054260254,0.3123452365,,,,0,0.02,1,3,27,,N,N,Y
B3,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,29.0236339569,28.9082107544,0.1632317156,,,,0,0.02,1,3,27,,N,N,N
B4,Sample 1,Ofav,UNKNOWN,SYBR,None,21.8174381256,22.0309524536,0.3019562066,,,,0,0.02,1,3,20,,N,N,N
B5,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B5,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,29.6262874603,29.4054260254,0.3123452365,,,,0,0.02,1,3,28,,N,N,Y
B6,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,28.7927894592,28.9082107544,0.1632317156,,,,0,0.02,1,3,27,,N,N,N
B7,Sample 8,Ofav,UNKNOWN,SYBR,None,19.5310325623,19.5215873718,0.0133561678,,,,0,0.02,1,3,18,,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,24.4088344574,24.3813972473,0.0388034247,,,,0,0.02,1,3,23,,N,N,Y
B9,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,35.3833465576,35.3833465576,,,,,0,0.02,1,3,34,,N,N,N
B10,Sample 8,Ofav,UNKNOWN,SYBR,None,19.5121440887,19.5215873718,0.0133561678,,,,0,0.02,1,3,18,,N,N,N
B11,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B11,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,24.3539581299,24.3813972473,0.0388034247,,,,0,0.02,1,3,23,,N,Y,Y
B12,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.3833465576,,,,,0,0.02,1,3,39,,N,Y,Y
C1,Sample 2,Ofav,UNKNOWN,SYBR,None,23.1832103729,23.3304367065,0.2082094848,,,,0,0.02,1,3,22,,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,32.9771881104,33.5400772095,0.7960481048,,,,0,0.02,1,3,31,,Y,N,Y
C3,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,30.3370704651,30.3360061646,0.0015051482,,,,0,0.02,1,3,29,,N,N,N
C4,Sample 2,Ofav,UNKNOWN,SYBR,None,23.4776630402,23.3304367065,0.2082094848,,,,0,0.02,1,3,21,,N,N,N
C5,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,Y
C5,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,34.1029701233,33.5400772095,0.7960481048,,,,0,0.02,1,3,32,,Y,N,Y
C6,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,30.334941864,30.3360061646,0.0015051482,,,,0,0.02,1,3,29,,N,N,N
C7,Sample 9,Ofav,UNKNOWN,SYBR,None,20.5334854126,20.4436035156,0.1271121949,,,,0,0.02,1,3,18,,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,33.7962989807,,,,,0,0.02,1,3,39,,N,N,Y
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,24.6877346039,24.7213096619,0.0474823005,,,,0,0.02,1,3,23,,N,N,Y
