Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\home\mcano\Dropbox\RSMAS\Projects\2017-Nutrients\2. Ofav-Nutrients\qPCR\qPCR-Raw\Ofav_Nut_Plate23.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-10-24 15:35:31 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ofav,UNKNOWN,SYBR,None,37.5772628784,37.5772628784,,,,,0,0.02,1,3,35,,N,N,N
A2,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A2,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A3,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A4,Sample 7,Ofav,UNKNOWN,SYBR,None,22.5415802002,22.3480873108,0.2736416161,,,,0,0.02,1,3,20,,N,N,N
A5,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.9633827209,,,,,0,0.02,1,3,39,,Y,N,Y
A5,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,32.7484931946,32.2164382935,0.7524378896,,,,0,0.02,1,3,31,,Y,N,Y
A6,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,29.944940567,30.161781311,0.3066604733,,,,0,0.02,1,3,28,,N,N,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,22.154592514,22.3480873108,0.2736416161,,,,0,0.02,1,3,20,,N,N,N
A8,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,39.9633827209,39.9633827209,,,,,0,0.02,1,3,33,,Y,N,N
