Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate30.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-10-30 13:03:09 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,31.6466159821,,,,,0,0.02,1,3,39,,N,N,Y
A2,+,C,UNKNOWN,VIC,NFQ-MGB,14.5934753418,14.6199092865,0.0373832434,,,,0,0.02,1,3,12,,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,9.9495859146,9.9264354706,0.0327396728,,,,0,0.02,1,3,7,,N,N,N
A3,Sample 7,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,25.4922561646,25.4516792297,0.05738445,,,,0,0.02,1,3,24,,N,N,Y
A5,Sample 7,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,25.4111022949,25.4516792297,0.05738445,,,,0,0.02,1,3,23,,N,Y,Y
A7,Sample 15,Ofav,UNKNOWN,SYBR,None,21.0086841583,21.083442688,0.105725877,,,,0,0.02,1,3,19,,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,26.5803108215,26.3924808502,0.2656317055,,,,0,0.02,1,3,24,,N,N,Y
A9,Sample 15,Ofav,UNKNOWN,SYBR,None,21.158203125,21.083442688,0.105725877,,,,0,0.02,1,3,19,,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,26.2046508789,26.3924808502,0.2656317055,,,,0,0.02,1,3,24,,N,N,Y
A11,+,Ofav,UNKNOWN,SYBR,None,5.2062211037,5.7198114395,0.726326108,,,,0,0.02,1,3,4,,Y,N,N
A12,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A12,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,28.1355628967,28.0139656067,0.1719645411,,,,0,0.02,1,3,26,,N,N,Y
B3,Sample 1,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,27.8923683167,28.0139656067,0.1719645411,,,,0,0.02,1,3,26,,N,N,Y
B5,Sample 8,Ofav,UNKNOWN,SYBR,None,26.9269943237,26.5528831482,0.5290744305,,,,0,0.02,1,3,25,,Y,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,25.0782318115,25.0725250244,0.0080706161,,,,0,0.02,1,3,23,,N,N,Y
