Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\home\mcano\Dropbox\RSMAS\Projects\2017-Nutrients\2. Ofav-Nutrients\qPCR\qPCR-Raw\Ofav_Nut_Plate4.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-07 13:42:00 PM EST,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,79.4931793213,71.4496612549,91.8563690186,,N,N,Y,Y
A2,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.618686676,,,,N,Y,Y,N
A2,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,70.7048873901,,,,N,Y,Y,N
A3,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,76.213142395,,,,N,N,Y,N
A4,Sample 7,Ofav,UNKNOWN,SYBR,None,19.9803562164,20.0006713867,0.0287299901,,,,0,0.02,1,3,19,74.872177124,,,,N,N,N,N
A5,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,34.128692627,34.128692627,,,,,0,0.02,1,3,29,61.7608795166,,,,N,N,N,N
A5,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,27.5109062195,27.1614303589,0.4942348599,,,,0,0.02,1,3,25,73.3804016113,,,,N,N,N,N
A6,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,39.4193115234,39.1728897095,0.3484903872,,,,0,0.02,1,3,35,71.4438171387,,,,N,N,N,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,20.020986557,20.0006713867,0.0287299901,,,,0,0.02,1,3,18,74.871925354,,,,N,N,N,N
A8,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.128692627,,,,,0,0.02,1,3,39,61.9102325439,,,,N,N,Y,N
A8,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,26.8119525909,27.1614303589,0.4942348599,,,,0,0.02,1,3,25,71.7432403564,,,,N,N,Y,N
A9,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,38.9264717102,39.1728897095,0.3484903872,,,,0,0.02,1,3,35,70.7053375244,,,,N,N,N,N
A10,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,35,66.2361373901,87.0924072266,92.4554519653,,N,N,N,Y
A11,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.4285049438,,,,N,Y,Y,N
A11,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,70.7039794922,,,,N,Y,Y,N
A12,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.8754501343,,,,N,N,Y,N
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,19.5194377899,19.5654525757,0.0650733858,,,,0,0.02,1,3,17,74.7266464233,,,,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.618686676,,,,Y,Y,Y,N
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,26.483631134,26.8898735046,0.5745148063,,,,0,0.02,1,3,24,92.1542739868,,,,Y,Y,Y,N
B3,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.2761993408,,,,N,Y,Y,N
B4,Sample 1,Ofav,UNKNOWN,SYBR,None,19.6114654541,19.5654525757,0.0650733858,,,,0,0.02,1,3,18,74.7231826782,,,,N,N,N,N
B5,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.6119117737,,,,Y,N,Y,N
B5,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,27.2961177826,26.8898735046,0.5745148063,,,,0,0.02,1,3,25,76.0618286133,,,,Y,N,Y,N
B6,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.8907165527,,,,N,Y,Y,N
