Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\home\mcano\Dropbox\RSMAS\Projects\2017-Nutrients\2. Ofav-Nutrients\qPCR\qPCR-Raw\Ofav_Nut_Plate5.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-07 16:15:33 PM EST,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOAMP,NOSIGNAL,EXPFAIL,MTP
A1,NTC,Ofav,UNKNOWN,SYBR,None,32.6526298523,32.6220245361,0.043282453,,,,0,0.02,1,3,29,75.6162872314,71.5931549072,,,N,N,N,N,N,Y
A2,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.311832428,,,,N,N,Y,N,Y,N
A2,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,70.6991271973,,,,N,N,Y,N,Y,N
A3,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,75.0179824829,,,,N,N,N,N,Y,N
A4,Sample 7,Ofav,UNKNOWN,SYBR,None,19.9494571686,19.7086658478,0.3405303657,,,,0,0.02,1,3,18,74.7199935913,,,,N,N,N,N,N,N
A5,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,34.0364265442,34.3635215759,0.4625822306,,,,0,0.02,1,3,29,61.6073265076,,,,N,N,N,N,N,N
A5,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,27.1001586914,26.9122962952,0.2656788826,,,,0,0.02,1,3,25,71.2917938232,,,,N,N,N,N,N,N
A6,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.5266723633,,,,N,N,N,N,Y,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,19.467874527,19.7086658478,0.3405303657,,,,0,0.02,1,3,17,74.8693237305,,,,N,N,N,N,N,N
A8,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,34.6906166077,34.3635215759,0.4625822306,,,,0,0.02,1,3,29,61.6101150513,,,,N,N,N,N,N,N
A8,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,26.7244319916,26.9122962952,0.2656788826,,,,0,0.02,1,3,25,74.2734069824,,,,N,N,N,N,N,N
A9,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.8304595947,,,,N,N,N,N,Y,N
A10,NTC,Ofav,UNKNOWN,SYBR,None,32.59141922,32.6220245361,0.043282453,,,,0,0.02,1,3,32,72.4896240234,,,,N,N,N,N,N,N
A11,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,80.3645248413,,,,N,N,Y,N,Y,N
A11,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,70.813911438,,,,N,N,Y,N,Y,N
A12,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.2615966797,,,,N,N,N,N,Y,N
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,20.6866073608,20.824930191,0.1956180185,,,,0,0.02,1,3,18,74.7222595215,,,,N,N,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.6098403931,,,,N,N,Y,N,Y,N
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,26.9491386414,27.289855957,0.4818457067,,,,0,0.02,1,3,25,72.338180542,,,,N,N,Y,N,Y,N
B3,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.6340942383,,,,N,N,Y,N,Y,N
B4,Sample 1,Ofav,UNKNOWN,SYBR,None,20.9632530212,20.824930191,0.1956180185,,,,0,0.02,1,3,19,74.7199935913,,,,N,N,N,N,N,N
B5,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.7563209534,,,,N,N,Y,N,Y,N
B5,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,27.6305713654,27.289855957,0.4818457067,,,,0,0.02,1,3,25,74.4206237793,,,,N,N,Y,N,Y,N
B6,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.8877639771,,,,N,N,N,N,Y,N
B7,Sample 8,Ofav,UNKNOWN,SYBR,None,22.414888382,22.6396312714,0.3178344369,,,,0,0.02,1,3,21,74.5713653564,,,,N,N,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.759098053,,,,N,Y,Y,N,Y,N
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,35.7016906738,34.6671981812,1.462996006,,,,0,0.02,1,3,33,71.8897247314,,,,N,Y,Y,N,Y,N
B9,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.3835144043,,,,N,N,N,N,Y,N
B10,Sample 8,Ofav,UNKNOWN,SYBR,None,22.8643741608,22.6396312714,0.3178344369,,,,0,0.02,1,3,21,74.4263916016,,,,N,N,N,N,N,N
B11,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.7109832764,,,,N,Y,N,N,Y,N
B11,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,33.6327018738,34.6671981812,1.462996006,,,,0,0.02,1,3,31,75.8876724243,,,,N,Y,N,N,Y,N
B12,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.9477081299,,,,N,N,N,N,Y,N
C1,Sample 2,Ofav,UNKNOWN,SYBR,None,6.331143856,14.2716779709,11.2296104431,,,,0,0.02,1,3,34,83.2155303955,,,,Y,Y,N,Y,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.6098403931,,,,N,Y,Y,N,Y,N
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,32.4017753601,32.8269424438,0.6012797356,,,,0,0.02,1,3,30,73.3812103271,,,,N,Y,Y,N,Y,N
C3,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,39.5694999695,39.6071472168,0.0532412492,,,,0,0.02,1,3,35,71.7401428223,,,,N,N,N,N,N,N
C4,Sample 2,Ofav,UNKNOWN,SYBR,None,22.2122116089,14.2716779709,11.2296104431,,,,0,0.02,1,3,20,74.5709991455,,,,N,Y,N,N,N,N
C5,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.9053115845,,,,N,Y,Y,N,Y,N
C5,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,33.2521133423,32.8269424438,0.6012797356,,,,0,0.02,1,3,31,78.4434051514,,,,N,Y,Y,N,Y,N
C6,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,39.6447944641,39.6071472168,0.0532412492,,,,0,0.02,1,3,35,72.4837341309,,,,N,N,N,N,N,N
C7,Sample 9,Ofav,UNKNOWN,SYBR,None,21.8321590424,21.9455833435,0.1604048312,,,,0,0.02,1,3,20,74.42237854,,,,N,N,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.759098053,,,,N,Y,Y,N,Y,N
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,34.7608757019,34.0647926331,0.9844101071,,,,0,0.02,1,3,33,73.826461792,,,,N,Y,Y,N,Y,N
C9,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,38.8448295593,39.4154968262,0.8070427179,,,,0,0.02,1,3,35,71.4467468262,,,,N,Y,N,N,N,N
C10,Sample 9,Ofav,UNKNOWN,SYBR,None,22.0590057373,21.9455833435,0.1604048312,,,,0,0.02,1,3,19,74.4263916016,,,,N,N,N,N,N,N
C11,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.7109832764,,,,N,Y,Y,N,Y,N
C11,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,33.3687095642,34.0647926331,0.9844101071,,,,0,0.02,1,3,31,76.0369033813,,,,N,Y,Y,N,Y,N
C12,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,39.9861602783,39.4154968262,0.8070427179,,,,0,0.02,1,3,35,74.6938476563,,,,N,Y,N,N,N,N
D1,Sample 3,Ofav,UNKNOWN,SYBR,None,22.7562980652,22.616268158,0.1980308443,,,,0,0.02,1,3,20,74.5732498169,,,,N,N,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,81.4274673462,,,,N,N,Y,N,Y,N
