Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate7.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-05 14:13:10 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,SPIKE,NOSIGNAL,EXPFAIL,CTFAIL
A1,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
A2,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
A3,NTC,Ofav,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,N,N
A4,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,N,N
A4,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,N,N
A5,NTC,Ofav,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,N,N
A6,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,N,N
A6,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,N,N
A7,-,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y,N
A8,-,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
A8,-,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
A9,-,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y,N
A10,-,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
A10,-,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
A11,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
A12,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,20.712020874,20.6257209778,0.1220464855,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N,N
