Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate8.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-05 15:48:04 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,1,0.2210532461,1,3,39,,N,N,N,Y
A2,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0652341412,1,3,39,,N,Y,N,Y
A2,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.2042896058,1,3,39,,N,Y,N,Y
A3,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.0043125925,1,3,39,,N,N,N,Y
A4,Sample 7,Ofav,UNKNOWN,SYBR,None,22.073677063,22.0266571045,0.0664962605,,,,1,0.2210532461,1,3,17,,N,N,N,N
A5,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0652341412,1,3,39,,N,Y,N,Y
A5,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.2042896058,1,3,39,,N,Y,N,Y
A6,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,37.4715576172,37.4047393799,0.0944952592,,,,1,0.0043125925,1,3,35,,N,N,N,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,21.979637146,22.0266571045,0.0664962605,,,,1,0.2210532461,1,3,17,,N,N,N,N
A8,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0652341412,1,3,39,,N,Y,N,Y
A8,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.2042896058,1,3,39,,N,Y,N,Y
A9,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,37.3379211426,37.4047393799,0.0944952592,,,,1,0.0043125925,1,3,35,,N,N,N,N
A10,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,1,0.2210532461,1,3,39,,N,N,N,Y
A11,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0652341412,1,3,39,,N,Y,N,Y
A11,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.2042896058,1,3,39,,N,Y,N,Y
