Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Rerun2.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-11-05 19:26:44 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ofav,UNKNOWN,SYBR,None,29.6661453247,31.09349823,2.0185818672,,,,0,0.02,1,3,27,,Y,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,14.4896965027,14.5251045227,0.0500738285,,,,0,0.02,1,3,12,,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,9.8038473129,9.8850641251,0.1148579195,,,,0,0.02,1,3,7,,N,N,N
A3,Sample 7,Ofav,UNKNOWN,SYBR,None,21.0672588348,20.9570808411,0.1558138579,,,,0,0.02,1,3,19,,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,Y
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,36.3016853333,35.8097229004,0.6957399249,,,,0,0.02,1,3,34,,Y,N,Y
A5,Sample 7,Ofav,UNKNOWN,SYBR,None,20.8469047546,20.9570808411,0.1558138579,,,,0,0.02,1,3,19,,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,35.3177604675,35.8097229004,0.6957399249,,,,0,0.02,1,3,33,,Y,N,Y
A7,Sample 15,Ofav,UNKNOWN,SYBR,None,20.8355865479,20.9172668457,0.1155147329,,,,0,0.02,1,3,19,,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,34.6859512329,34.7989883423,0.1598586142,,,,0,0.02,1,3,33,,N,N,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,24.9495010376,24.9240036011,0.0360588208,,,,0,0.02,1,3,23,,N,N,N
A9,Sample 15,Ofav,UNKNOWN,SYBR,None,20.9989490509,20.9172668457,0.1155147329,,,,0,0.02,1,3,19,,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,34.9120254517,34.7989883423,0.1598586142,,,,0,0.02,1,3,34,,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,24.8985061646,24.9240036011,0.0360588208,,,,0,0.02,1,3,23,,N,N,N
A11,+,Ofav,UNKNOWN,SYBR,None,6.4508066177,7.4589247704,1.4256943464,,,,0,0.02,1,3,5,,Y,N,N
A12,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A12,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,26.2360363007,26.231010437,0.0071062958,,,,0,0.02,1,3,25,,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,21.4152240753,21.4147109985,0.0007269488,,,,0,0.02,1,3,19,,N,N,Y
B3,Sample 1,Ofav,UNKNOWN,SYBR,None,26.2259864807,26.231010437,0.0071062958,,,,0,0.02,1,3,24,,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,21.4141960144,21.4147109985,0.0007269488,,,,0,0.02,1,3,19,,N,N,Y
B5,Sample 8,Ofav,UNKNOWN,SYBR,None,23.6939563751,23.6143455505,0.1125853583,,,,0,0.02,1,3,21,,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,34.8453559875,34.8453559875,,,,,0,0.02,1,3,33,,N,N,Y
B7,Sample 8,Ofav,UNKNOWN,SYBR,None,23.5347366333,23.6143455505,0.1125853583,,,,0,0.02,1,3,22,,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.8453559875,,,,,0,0.02,1,3,39,,N,Y,Y
B9,Sample 16,Ofav,UNKNOWN,SYBR,None,23.1082553864,22.5742073059,0.7552567124,,,,0,0.02,1,3,21,,Y,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,38.8060722351,,,,,0,0.02,1,3,39,,N,N,Y
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,31.9865074158,32.168762207,0.2577444911,,,,0,0.02,1,3,30,,N,N,Y
B11,Sample 16,Ofav,UNKNOWN,SYBR,None,22.0401611328,22.5742073059,0.7552567124,,,,0,0.02,1,3,20,,Y,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,38.8060722351,38.8060722351,,,,,0,0.02,1,3,34,,N,N,N
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,32.3510131836,32.168762207,0.2577444911,,,,0,0.02,1,3,30,,N,N,N
C1,Sample 2,Ofav,UNKNOWN,SYBR,None,26.5041275024,26.535697937,0.0446486846,,,,0,0.02,1,3,25,,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,22.6177177429,22.608253479,0.0133831417,,,,0,0.02,1,3,21,,N,N,Y
