Spp,Colony,Core,Treatment,Rep,Date,ProK,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample_Plate
O. fav,20,20-14,Control,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 1,Sample 1_Plate2.csv
O. fav,20,20-19,Control,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 2,Sample 2_Plate2.csv
O. fav,20,20-30,Control,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 3,Sample 3_Plate2.csv
O. fav,34,34-20,Control,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 4,Sample 4_Plate2.csv
O. fav,34,34-36,Control,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 5,Sample 5_Plate2.csv
O. fav,34,34-49,Control,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 6,Sample 6_Plate2.csv
O. fav,20,20-2,N,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 7,Sample 7_Plate2.csv
O. fav,20,20-28,N,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 8,Sample 8_Plate2.csv
O. fav,20,20-46,N,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 9,Sample 9_Plate2.csv
O. fav,34,34-5,N,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 10,Sample 10_Plate2.csv
O. fav,34,34-38,N,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 11,Sample 11_Plate2.csv
O. fav,34,34-44,N,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 12,Sample 12_Plate2.csv
O. fav,20,20-17,NP,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 13,Sample 13_Plate2.csv
O. fav,20,20-34,NP,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 14,Sample 14_Plate2.csv
O. fav,20,20-40,NP,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 15,Sample 15_Plate2.csv
O. fav,34,34-4,NP,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 16,Sample 16_Plate2.csv
O. fav,34,34-9,NP,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 17,Sample 17_Plate2.csv
O. fav,34,34-22,NP,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate2,Sample 18,Sample 18_Plate2.csv
O. fav,20,20-3,Control,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 1,Sample 1_Plate3.csv
O. fav,20,20-4,Control,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 2,Sample 2_Plate3.csv
O. fav,20,20-21,Control,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 3,Sample 3_Plate3.csv
O. fav,34,34-8,Control,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 4,Sample 4_Plate3.csv
O. fav,34,34-11,Control,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 5,Sample 5_Plate3.csv
O. fav,34,34-23,Control,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 6,Sample 6_Plate3.csv
O. fav,20,20-29,N,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 7,Sample 7_Plate3.csv
O. fav,20,20-41,N,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 8,Sample 8_Plate3.csv
O. fav,20,20-45,N,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 9,Sample 9_Plate3.csv
O. fav,34,34-10,N,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 10,Sample 10_Plate3.csv
O. fav,34,34-24,N,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 11,Sample 11_Plate3.csv
O. fav,34,34-25,N,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 12,Sample 12_Plate3.csv
O. fav,20,20-11,NP,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 13,Sample 13_Plate3.csv
O. fav,20,20-43,NP,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 14,Sample 14_Plate3.csv
O. fav,20,20-50,NP,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 15,Sample 15_Plate3.csv
O. fav,34,34-7,NP,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 16,Sample 16_Plate3.csv
