"Treatment","Replicate","Fragment","Genotype","Date","Days","Time_Point","Phase","Sample","A.Acer","logA.SH"
"A","R1","Ac_105","Red and Yellow",2017-11-15,0,"T5","Baseline","105_T5",0.114430431012182,-0.941458466249159
"A","R1","Ac_116","Green and Orange",2017-11-15,0,"T5","Baseline","116_T5",0.406983629770169,-0.390423059186241
"A","R1","Ac_122","Green and Orange",2017-11-15,0,"T5","Baseline","122_T5",0.46669200929802,-0.330969635042605
"A","R1","Ac_129","Green and Orange",2017-11-15,0,"T5","Baseline","129_T5",0.303662922649904,-0.517608232354274
"A","R1","Ac_143","Yellow",2017-11-15,0,"T5","Baseline","143_T5",0.226965145880749,-0.644040830533146
"A","R1","Ac_149","Orange",2017-11-15,0,"T5","Baseline","149_T5",0.255260581193829,-0.5930162462681
"A","R1","Ac_162","Red and Orange",2017-11-15,0,"T5","Baseline","162_T5",0.11344324969223,-0.945221341194959
"A","R1","Ac_169","Red and Orange",2017-11-15,0,"T5","Baseline","169_T5",0.175743431114947,-0.755120898933154
"A","R1","Ac_176","Green",2017-11-15,0,"T5","Baseline","176_T5",0.310366052486853,-0.508125787490859
"A","R1","Ac_182","Green",2017-11-15,0,"T5","Baseline","182_T5",0.425149654558215,-0.371458169459411
"A","R1","Ac_189","Green",2017-11-15,0,"T5","Baseline","189_T5",0.427069469480569,-0.369501474487594
"A","R1","Ac_204","Red and Yellow",2017-11-15,0,"T5","Baseline","204_T5",0.0763114140820397,-1.11741049871476
"A","R1","Ac_220","Green and Orange",2017-11-15,0,"T5","Baseline","220_T5",0.232861279426904,-0.632902720693579
"A","R1","Ac_226","Green and Orange",2017-11-15,0,"T5","Baseline","226_T5",0.201806237389838,-0.695065414798191
"A","R1","Ac_248","Orange",2017-11-15,0,"T5","Baseline","248_T5",0.300001718655779,-0.522876257278394
"A","R1","Ac_261","Red and Orange",2017-11-15,0,"T5","Baseline","261_T5",0.114867507837329,-0.939802801273008
"A","R1","Ac_267","Red and Orange",2017-11-15,0,"T5","Baseline","267_T5",0.102773674535102,-0.988118115577077
"A","R1","Ac_273","Red and Orange",2017-11-15,0,"T5","Baseline","273_T5",0.0949651951237375,-1.02243553508277
"A","R1","Ac_281","Green",2017-11-15,0,"T5","Baseline","281_T5",0.173925656424154,-0.759636348868115
"A","R1","Ac_287","Green",2017-11-15,0,"T5","Baseline","287_T5",0.560405364345022,-0.251497716187313
"A","R1","Ac_291","F",2017-11-15,0,"T5","Baseline","291_T5",0.0774840229683132,-1.11078783881015
"A","R2","Ac_102","Red and Yellow",2017-11-15,0,"T5","Baseline","102_T5",0.193988451107999,-0.712224124551037
"A","R2","Ac_108","Red and Yellow",2017-11-15,0,"T5","Baseline","108_T5",0.374631124878494,-0.426396143668087
"A","R2","Ac_119","Green and Orange",2017-11-15,0,"T5","Baseline","119_T5",0.319091629886396,-0.496084587664299
"A","R2","Ac_125","Green and Orange",2017-11-15,0,"T5","Baseline","125_T5",0.169404331766311,-0.771075488703346
"A","R2","Ac_139","F",2017-11-15,0,"T5","Baseline","139_T5",0.241407544766733,-0.617249160919051
"A","R2","Ac_152","Orange",2017-11-15,0,"T5","Baseline","152_T5",0.367303021932878,-0.434975498544511
"A","R2","Ac_160","Orange",2017-11-15,0,"T5","Baseline","160_T5",0.11789240396475,-0.928514176435607
"A","R2","Ac_166","Red and Orange",2017-11-15,0,"T5","Baseline","166_T5",0.272729501276429,-0.564267881682191
"A","R2","Ac_173","Red and Orange",2017-11-15,0,"T5","Baseline","173_T5",0.11482770469049,-0.939953316270839
"A","R2","Ac_179","Green",2017-11-15,0,"T5","Baseline","179_T5",0.243423890395612,-0.613636800971083
"A","R2","Ac_186","Green",2017-11-15,0,"T5","Baseline","186_T5",0.577159779243223,-0.238703941371596
"A","R2","Ac_192","F",2017-11-15,0,"T5","Baseline","192_T5",0.0308741380659296,-1.51040515805408
"A","R2","Ac_217","Green and Orange",2017-11-15,0,"T5","Baseline","217_T5",0.394758619009687,-0.403668378995457
"A","R2","Ac_223","Green and Orange",2017-11-15,0,"T5","Baseline","223_T5",0.344611480716178,-0.462670258145596
"A","R2","Ac_231","Yellow",2017-11-15,0,"T5","Baseline","231_T5",0.149533711234739,-0.825260887922863
"A","R2","Ac_241","F",2017-11-15,0,"T5","Baseline","241_T5",0.115586328427006,-0.937093531312031
"A","R2","Ac_264","Red and Orange",2017-11-15,0,"T5","Baseline","264_T5",0.359619378866786,-0.444156913412263
"A","R2","Ac_270","Red and Orange",2017-11-15,0,"T5","Baseline","270_T5",0.239740021049723,-0.62025946087569
"A","R2","Ac_277","Green",2017-11-15,0,"T5","Baseline","277_T5",0.712292976939409,-0.147341337687576
"A","R2","Ac_284","Green",2017-11-15,0,"T5","Baseline","284_T5",0.499668325038112,-0.301318180469703
"A","R2","Ac_290","Green",2017-11-15,0,"T5","Baseline","290_T5",0.321756828332264,-0.492472227716332
"N","R1","Ac_106","Red and Yellow",2017-11-15,0,"T5","Baseline","106_T5",0.193518402593131,-0.713277729535862
"N","R1","Ac_117","Green and Orange",2017-11-15,0,"T5","Baseline","117_T5",0.0722200220402959,-1.14134238337004
"N","R1","Ac_123","Green and Orange",2017-11-15,0,"T5","Baseline","123_T5",0.138412166836429,-0.858825732439396
"N","R1","Ac_130","Green and Orange",2017-11-15,0,"T5","Baseline","130_T5",0.315900619365541,-0.500449522601426
"N","R1","Ac_144","Yellow",2017-11-15,0,"T5","Baseline","144_T5",0.217719520780827,-0.662102630272984
"N","R1","Ac_146","F",2017-11-15,0,"T5","Baseline","146_T5",0.0807184717803625,-1.09302706906597
"N","R1","Ac_150","Orange",2017-11-15,0,"T5","Baseline","150_T5",0.0513690310326297,-1.28929862623889
"N","R1","Ac_158","Orange",2017-11-15,0,"T5","Baseline","158_T5",0.200899053304691,-0.697022109770006
"N","R1","Ac_164","Red and Orange",2017-11-15,0,"T5","Baseline","164_T5",0.541879010418286,-0.266097670977017
"N","R1","Ac_170","Red and Orange",2017-11-15,0,"T5","Baseline","170_T5",0.28391730115438,-0.546808141933679
"N","R1","Ac_177","Green",2017-11-15,0,"T5","Baseline","177_T5",0.346047663962707,-0.460864078171615
"N","R1","Ac_183","Green",2017-11-15,0,"T5","Baseline","183_T5",0.22688649938446,-0.644191345530978
"N","R1","Ac_190","Green",2017-11-15,0,"T5","Baseline","190_T5",0.126353950004027,-0.89841117686921
"N","R1","Ac_206","Red and Yellow",2017-11-15,0,"T5","Baseline","206_T5",0.122898794596501,-0.910452376695769
"N","R1","Ac_221","Green and Orange",2017-11-15,0,"T5","Baseline","221_T5",0.355653106666228,-0.448973393342885
"N","R1","Ac_227","Green and Orange",2017-11-15,0,"T5","Baseline","227_T5",0.172963876880728,-0.762044588833426
"N","R1","Ac_239","F",2017-11-15,0,"T5","Baseline","239_T5",0.0813644655130945,-1.08956522411584
"N","R1","Ac_249","Orange",2017-11-15,0,"T5","Baseline","249_T5",0.0568791088017051,-1.24504721687628
"N","R1","Ac_262","Red and Orange",2017-11-15,0,"T5","Baseline","262_T5",0.301669902332044,-0.520468017313081
"N","R1","Ac_268","Red and Orange",2017-11-15,0,"T5","Baseline","268_T5",0.422212931379412,-0.37446846941605
"N","R1","Ac_274","Red and Orange",2017-11-15,0,"T5","Baseline","274_T5",0.105809617455687,-0.975474855759189
"N","R1","Ac_282","Green",2017-11-15,0,"T5","Baseline","282_T5",0.206475523099665,-0.685131424941279
"N","R1","Ac_288","Green",2017-11-15,0,"T5","Baseline","288_T5",0.193250314989944,-0.71387978952719
"N","R2","Ac_103","Red and Yellow",2017-11-15,0,"T5","Baseline","103_T5",0.337051901819096,-0.472303218006844
"N","R2","Ac_109","Red and Yellow",2017-11-15,0,"T5","Baseline","109_T5",0.112737756709208,-0.947930611155935
