C.CT.mean,D.CT.mean,Ssid.CT.mean,C.CT.sd,D.CT.sd,Ssid.CT.sd,C.reps,D.reps,C.Ssid,D.Ssid,TotalSH,logC.SH,logD.SH,logSH,Treatment,Rep,Core,Date,,Sample.Name,File.Name
31.206,28.654,19.777,0.320,0.281,0.107,2,2,8.76E-04,5.14E-03,0.00601,-3.057,-2.289,-2.221,NP,R2,20-36,2017-12-14,605,Sample 6,Plate9.csv
31.756,29.141,16.646,0.274,0.239,0.191,2,2,6.83E-05,4.18E-04,0.00049,-4.166,-3.378,-3.313,NP,R2,20-36,2017-12-14,255,Sample 1,Plate22.csv
30.757,29.509,19.029,0.103,0.064,0.301,2,2,7.12E-04,1.69E-03,0.00240,-3.148,-2.772,-2.619,NP,R2,20-36,2018-02-01,136,Sample 13,Plate16.csv
31.088,29.701,16.811,0.172,0.084,0.001,2,2,1.22E-04,3.18E-04,0.00044,-3.915,-3.497,-3.356,NP,R2,20-36,2018-02-01,265,Sample 2,Plate22.csv
38.628,31.793,20.177,1.408,0.059,0.171,2,2,6.74E-06,7.70E-04,0.00078,-5.171,-3.114,-3.110,NP,R2,20-36,2018-02-05,199,Sample 10,Plate19.csv
29.400,30.863,19.102,0.468,0.244,0.289,2,2,1.92E-03,6.96E-04,0.00261,-2.717,-3.158,-2.583,NP,R2,20-36,2018-02-05,269,Sample 3,Plate22.csv
39.810,29.255,20.364,NA,0.210,0.025,1,2,0.00E+00,5.09E-03,0.00509,NA,-2.293,-2.293,N,R2,22-36,2018-02-01,113,Sample 12,Plate15.csv
NA,29.458,18.365,NA,0.082,0.049,0,2,0.00E+00,1.11E-03,0.00111,NA,-2.956,-2.956,N,R2,22-36,2018-02-01,271,Sample 5,Plate22.csv
28.798,30.440,19.117,0.014,0.092,0.237,2,2,2.94E-03,9.43E-04,0.00389,-2.531,-3.025,-2.410,N,R2,22-36,2018-02-05,207,Sample 4,Plate19.csv
36.970,32.789,20.543,NA,0.590,0.090,1,2,0.00E+00,4.98E-04,0.00050,NA,-3.303,-3.303,N,R2,22-36,2018-02-05,272,Sample 6,Plate22.csv
31.813,25.738,22.589,NA,0.176,0.004,1,2,0.00E+00,2.72E-01,0.27248,NA,-0.565,-0.565,Control,R1,23-54,2017-12-14,460,Sample 10,Plate3.csv
NA,27.656,18.609,NA,0.610,0.139,0,2,0.00E+00,4.57E-03,0.00457,NA,-2.340,-2.340,Control,R1,23-54,2017-12-14,273,Sample 7,Plate22.csv
NA,27.918,20.290,NA,0.420,0.070,0,2,0.00E+00,1.22E-02,0.01221,NA,-1.913,-1.913,Control,R1,23-54,2018-02-01,9,Sample 17,Plate10.csv
NA,28.089,17.510,NA,0.557,0.062,0,2,0.00E+00,1.58E-03,0.00158,NA,-2.801,-2.801,Control,R1,23-54,2018-02-01,274,Sample 8,Plate22.csv
35.448,29.284,19.850,1.206,0.833,0.215,2,2,4.87E-05,3.49E-03,0.00354,-4.313,-2.457,-2.451,Control,R1,23-54,2018-02-05,164,Sample 19,Plate17.csv
36.138,29.680,19.695,0.696,0.584,0.154,2,2,2.71E-05,2.38E-03,0.00241,-4.567,-2.623,-2.618,Control,R1,23-54,2018-02-05,275,Sample 9,Plate22.csv
25.776,31.071,19.938,0.272,0.835,0.331,2,2,4.22E-02,1.08E-03,0.04331,-1.374,-2.968,-1.363,N,R2,24-17,2017-12-14,570,Sample 11,Plate8.csv
26.768,32.900,16.562,0.028,0.794,0.057,2,2,2.05E-03,2.92E-05,0.00207,-2.689,-4.535,-2.683,N,R2,24-17,2017-12-14,256,Sample 10,Plate22.csv
28.068,NA,19.979,0.541,NA,0.369,2,0,8.87E-03,0.00E+00,0.00887,-2.052,NA,-2.052,N,R2,24-17,2018-02-01,119,Sample 18,Plate15.csv
28.563,NA,18.127,0.100,NA,0.358,2,0,1.74E-03,0.00E+00,0.00174,-2.759,NA,-2.759,N,R2,24-17,2018-02-01,257,Sample 11,Plate22.csv
34.078,27.491,20.740,0.896,0.228,0.102,2,2,2.33E-04,2.24E-02,0.02265,-3.632,-1.649,-1.645,Control,R2,27-57,2017-12-14,567,Sample 9,Plate7.csv
35.076,28.160,16.665,0.977,0.314,0.163,2,2,6.93E-06,8.37E-04,0.00084,-5.159,-3.077,-3.074,Control,R2,27-57,2017-12-14,259,Sample 13,Plate22.csv
31.706,26.484,21.219,0.017,0.357,0.196,2,2,1.68E-03,6.28E-02,0.06450,-2.774,-1.202,-1.190,Control,R2,27-57,2018-02-01,96,Sample 16,Plate14.csv
35.352,27.464,17.656,1.866,0.474,0.001,2,2,1.14E-05,2.70E-03,0.00271,-4.944,-2.569,-2.568,Control,R2,27-57,2018-02-01,260,Sample 14,Plate22.csv
34.392,29.556,17.869,0.327,0.227,0.180,2,2,2.57E-05,7.33E-04,0.00076,-4.591,-3.135,-3.120,Control,R2,27-57,2018-02-23,261,Sample 15,Plate22.csv
33.376,27.940,16.911,0.286,0.592,0.241,2,2,2.67E-05,1.16E-03,0.00118,-4.573,-2.937,-2.927,Control,R2,27-57,2018-02-23,313,Sample 3,Plate24.csv
30.853,27.226,21.489,0.530,0.172,0.039,2,2,3.67E-03,4.53E-02,0.04895,-2.436,-1.344,-1.310,N,R1,28-3,2017-12-14,520,Sample 5,Plate5.csv
31.961,28.195,17.796,0.831,0.706,0.063,2,2,1.32E-04,1.79E-03,0.00192,-3.881,-2.747,-2.717,N,R1,28-3,2017-12-14,262,Sample 16,Plate22.csv
33.248,29.217,23.776,0.723,0.622,0.264,2,2,3.40E-03,5.56E-02,0.05901,-2.468,-1.255,-1.229,N,R1,28-3,2018-02-01,48,Sample 12,Plate12.csv
