"","Treatment","DaysF","emmean","SE","df","lower.CL","upper.CL",".group"
"10","Control","111",-2.65508645380764,0.132905502383388,18.928896429094,-2.933331607314,-2.37684130030128," 1       "
"11","N","111",-2.65453912200719,0.132063310650111,18.4611483336359,-2.93149788945347,-2.37758035456091," 1       "
"12","NP","111",-2.4964167294609,0.141138144837731,23.9362624205941,-2.7877525962137,-2.2050808627081," 12      "
"7","Control","100",-2.32747593951239,0.131070882038561,17.9288027874782,-2.60292404851109,-2.05202783051369," 123     "
"9","NP","100",-2.12575856770563,0.138508008577099,22.2431656059244,-2.41282463666876,-1.8386924987425,"  23     "
"8","N","100",-1.93722572118846,0.129498596012014,17.0960553989251,-2.21032698537884,-1.66412445699808,"   34    "
"3","NP","0",-1.65694267202294,0.128246313647881,16.4459295703794,-1.92821482051356,-1.38567052353232,"    45   "
"2","N","0",-1.48833805375773,0.122913396025779,13.9100257585676,-1.75212113414336,-1.22455497337211,"     56  "
"1","Control","0",-1.40953882979673,0.123397120006426,14.1268567863817,-1.6739765391635,-1.14510112042996,"     567 "
"6","NP","78",-1.23270156985863,0.122395608933112,13.6806917183042,-1.49579002666793,-0.969613113049322,"      678"
"4","Control","78",-1.07876761041652,0.122904963691882,13.9052187255855,-1.34254120880291,-0.81499401203014,"       78"
"5","N","78",-1.02882031488989,0.121944827392179,13.4820911243587,-1.29131169513109,-0.766328934648678,"        8"
