Treatment,Replicate,Fragment,Genotype,Date,Days,Time_Point,Phase,Sample,C.Ssid,D.Ssid,TotalSH,logC.SH,logD.SH,logSH,D.Prp,Community
A,R1,Ss_22-16,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-16_T5,0,0.026571363392388,0.026571363392388,NA,-1.57558616111099,-1.57558616111099,1,D
A,R1,Ss_22-2,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-2_T5,0,0.033967737439938,0.033967737439938,NA,-1.46893338012658,-1.46893338012658,1,D
A,R1,Ss_22-21,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-21_T5,0,0.023931745702182,0.023931745702182,NA,-1.6210256206021,-1.6210256206021,1,D
A,R1,Ss_22-8,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-8_T5,0,0.02808819138954,0.02808819138954,NA,-1.55147622430253,-1.55147622430253,1,D
A,R1,Ss_23-54,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-54_T5,0,1.02654443659913,1.02654443659913,NA,0.011377753659942,0.011377753659942,1,D
A,R1,Ss_23-57,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-57_T5,0,0.341141130073255,0.341141130073255,NA,-0.467065916221447,-0.467065916221447,1,D
A,R1,Ss_23-60,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-60_T5,0,0.075252153790662,0.075252153790662,NA,-1.12348106562098,-1.12348106562098,1,D
A,R1,Ss_23-65,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-65_T5,0,0.041623603146895,0.041623603146895,NA,-1.38066032779853,-1.38066032779853,1,D
A,R1,Ss_27-19,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-19_T5,0,0.013382993188527,0.013382993188527,NA,-1.87344674307929,-1.87344674307929,1,D
A,R1,Ss_27-28,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-28_T5,0.000972011828101,0.012217040582057,0.013189052410158,-3.01232845025101,-1.91303398349922,-1.8797864059565,0.926301617593677,D
A,R1,Ss_27-3,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-3_T5,0,0.00832375807661,0.00832375807661,NA,-2.07968055069975,-2.07968055069975,1,D
A,R1,Ss_28-2,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-2_T5,0.00126807434797,0.032567010712039,0.033835085060009,-2.8968552827582,-1.48722210299012,-1.47063272738071,0.962521910445291,D
A,R1,Ss_28-5,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-5_T5,0.006653806268105,0.01346028755019,0.020114093818295,-2.1769298481798,-1.8709456622423,-1.69649952852046,0.669196816510157,D
A,R1,Ss_28-8,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-8_T5,0.003675189072497,0.011233502209537,0.014908691282034,-2.43472031344242,-1.94948482493566,-1.82656047820606,0.753486808266961,D
A,R1,Ss_24-12,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-12_T5,0.030085686772521,0.00016831434067,0.03025400111319,-1.5216400703245,-3.77387887981525,-1.51921718145874,0.005563374577793,C3
A,R1,Ss_24-2,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-2_T5,0.044887995642074,1.67E-05,0.044904741932877,-1.34786978646784,-4.77608137142665,-1.34770779515386,0.00037292922936,C3
A,R1,Ss_24-9,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-9_T5,0.037536199181854,0.002936233687111,0.040472432868966,-1.42554970502091,-2.53220938302566,-1.3928406886203,0.072548979119137,C3
A,R1,Ss_30-1,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-1_T5,0.017560052539484,0,0.017560052539484,-1.75547418902367,NA,-1.75547418902367,0,C3
A,R1,Ss_30-12,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-12_T5,0.00924078141138,0,0.00924078141138,-2.03429130277321,NA,-2.03429130277321,0,C3
A,R1,Ss_30-4,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-4_T5,0.012498200740393,0,0.012498200740393,-1.90315250417295,NA,-1.90315250417295,0,C3
A,R1,Ss_30-8,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-8_T5,0.016011229740893,0,0.016011229740893,-1.79557531085561,NA,-1.79557531085561,0,C3
A,R1,Ss_20-1,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-1_T5,0.005300947912283,0.000235562063081,0.005536509975364,-2.27564646317959,-3.62789465073264,-2.25676391326127,0.042547031275833,C1
A,R1,Ss_20-13,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-13_T5,0.004791443193919,0,0.004791443193919,-2.3195336563655,NA,-2.3195336563655,0,C1
A,R1,Ss_20-19,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-19_T5,0.012648553318184,0,0.012648553318184,-1.8979591442003,NA,-1.8979591442003,0,C1
A,R1,Ss_20-4,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-4_T5,0.023190051742105,0,0.023190051742105,-1.63469828235445,NA,-1.63469828235445,0,C1
A,R2,Ss_22-26,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-26_T5,0,0.01004993476109,0.01004993476109,NA,-1.99783675744654,-1.99783675744654,1,D
