"","DaysF","Community","Treatment","Sy_mean","Sy_sd"
"1","78","C1","A",0.0393330111523249,0.0368835937192812
"2","78","C1","N",0.0337307476477627,0.0242149119153718
"3","78","C1","N+P",0.0428411929795325,0.0365722163325735
"4","78","C3","A",0.177860669714724,0.142164586641126
"5","78","C3","N",0.25443795527317,0.160842857673196
"6","78","C3","N+P",0.184197521956116,0.183186086972941
"7","78","D","A",0.123603021995414,0.0764444426414603
"8","78","D","N",0.145614238765578,0.135390427795553
"9","78","D","N+P",0.148726522745104,0.14249907928585
"10","100","C1","A",0.00305848680063267,0.00227730765177095
"11","100","C1","N",0.00629594537794386,0.00295415217444229
"12","100","C1","N+P",0.00402638682229862,0.00130347081630265
"13","100","C3","A",0.0083441336007436,0.0072936085575171
"14","100","C3","N",0.0197724900408936,0.0254623380943766
"15","100","C3","N+P",0.0107698944296202,0.0106062310016874
"16","100","D","A",0.00734104247252482,0.00466759608903717
"17","100","D","N",0.0208801851432598,0.0158448062725694
"18","100","D","N+P",0.0135314419522412,0.0072103249298544
"19","111","C1","A",0.002396448993545,0.00181521588493735
"20","111","C1","N",0.00208972318870271,0.0026852751153436
"21","111","C1","N+P",0.00428034232338033,0.00460397746157039
"22","111","C3","A",0.000183939105012833,0.000124804935832502
"23","111","C3","N",0.000563393038832,0.00031386637517358
"24","111","C3","N+P",0.0007362156523004,0.00080862559629781
"25","111","D","A",0.0095851597801173,0.00654766059221931
"26","111","D","N",0.00857020562374016,0.0092351004342705
"27","111","D","N+P",0.0150011141506162,0.00974193549861322
