"","Treatment","DaysF","Community","emmean","SE","df","lower.CL","upper.CL",".group"
"1","A","0","C1",-1.91537090827582,0.286504107231617,9.70416988874745,-2.55638956013413,-1.27435225641751,"        890ABCDEF     "
"2","N","0","C1",-1.98819870655119,0.287256608832917,9.80448884234809,-2.62998057251018,-1.34641684059219,"     567890ABCDEF     "
"3","N+P","0","C1",-2.14938671066861,0.289012159607899,10.0564065953016,-2.79285666927673,-1.5059167520605,"     567890ABCD       "
"13","A","0","C3",-0.451344477216027,0.291092805166903,10.0148778181333,-1.09980908400688,0.197120129574825,"                   IJ "
"14","N","0","C3",-0.524172275491397,0.291320199497256,10.0485439929663,-1.17284933146368,0.124504780480889,"                  HIJ "
"15","N+P","0","C3",-0.685360279608823,0.293284571772344,10.3122635135149,-1.33616671922561,-0.0345538399920404,"                 GHI  "
"25","A","0","D",-1.75298222104877,0.2660031495408,7.31549664334005,-2.37652216499284,-1.1294422771047,"           A CDEF     "
"26","N","0","D",-1.82581001932414,0.265249320184408,7.23252064124645,-2.44896033715379,-1.20265970149449,"         9 ABCDEF     "
"27","N+P","0","D",-1.98699802344157,0.266941003056736,7.42041918356689,-2.61103527397073,-1.3629607729124,"       7890ABCD       "
"4","A","78","C1",-1.7305330157208,0.283610368686399,9.3339800293095,-2.36862190558033,-1.09244412586126,"          0A CDEF     "
"5","N","78","C1",-1.70541767568978,0.283632570366878,9.33362024776715,-2.3435601166225,-1.06727523475706,"          0A CDEF     "
"6","N+P","78","C1",-1.87933322559577,0.281053161019226,9.00918762142688,-2.51502082471605,-1.24364562647549,"        890ABCDEF     "
"16","A","78","C3",0.0892413273260353,0.290448747914437,9.93149266858406,-0.558524425601936,0.737007080254007,"                     K"
"17","N","78","C3",0.114356667357053,0.28902110053187,9.743546285039,-0.531927402396038,0.760640737110144,"                     K"
"18","N+P","78","C3",-0.0595588825489363,0.290073593952067,9.87820623665628,-0.706964927299379,0.587847162201506,"                    JK"
"28","A","78","D",-1.46038226353399,0.264942724502208,7.20118916290498,-2.08334146729344,-0.837423059774541,"               EFG    "
"29","N","78","D",-1.43526692350297,0.265157074016433,7.22266832227128,-2.05836648247004,-0.812167364535903,"               EFG    "
"30","N+P","78","D",-1.60918247340896,0.265941565806944,7.308757537584,-2.23268885490436,-0.98567609191356,"              DEF     "
"7","A","100","C1",-2.7935584460569,0.285023732134967,9.53491074566246,-3.43285496927533,-2.15426192283846," 1 3                  "
"8","N","100","C1",-2.378508251695,0.285585273264697,9.6222964252149,-3.01823387475825,-1.73878262863175,"  2 456789  B         "
"9","N+P","100","C1",-2.58941817536865,0.28723364065597,9.8306816027164,-3.23091190612646,-1.94792444461084," 1234567              "
"19","A","100","C3",-1.45947115358935,0.295230008104681,10.6149342833299,-2.11215554857944,-0.806786758599251,"            BCDE      "
"20","N","100","C3",-1.04442095922745,0.296708975738657,10.7934023399926,-1.6990013491503,-0.389840569304589,"                FGH   "
"21","N+P","100","C3",-1.2553308829011,0.296968460111319,10.8667715278295,-1.90993308799036,-0.600728677811848,"              DEF     "
"31","A","100","D",-2.60688693952204,0.270490015357579,7.82470897352112,-3.23307868688394,-1.98069519216014," 12  5                "
"32","N","100","D",-2.19183674516014,0.268164551601719,7.56967074448371,-2.81639826406368,-1.5672752262566,"   34 67890ABC        "
"33","N+P","100","D",-2.4027466688338,0.273884663818207,8.22610058861713,-3.03131691472006,-1.77417642294754," 12345678             "
"10","A","111","C1",-3.07934332960278,0.291001364962678,10.3017453004616,-3.72516965789769,-2.43351700130788," 1                    "
"11","N","111","C1",-3.06012016653239,0.289438749536623,10.1611933959256,-3.70364583225816,-2.41659450080662," 1                    "
"12","N+P","111","C1",-2.83139742276446,0.289541688611644,10.1535139216554,-3.47521680334617,-2.18757804218275," 1234                 "
"22","A","111","C3",-2.79792071413717,0.306866925227784,12.413240575044,-3.46406600228616,-2.13177542598818," 12345678             "
"23","N","111","C3",-2.77869755106678,0.318693770384997,14.1989889497585,-3.46133011347678,-2.09606498865678," 12345678             "
"24","N+P","111","C3",-2.54997480729885,0.312263963484957,13.207301207408,-3.22350530483919,-1.8764443097585," 1234567890A          "
"34","A","111","D",-2.6015950237609,0.267786849459979,7.54116729309028,-3.22571407210407,-1.97747597541774," 123456               "
"35","N","111","D",-2.58237186069051,0.264073663038623,7.15482723018414,-3.20407803705355,-1.96066568432747," 123456               "
"36","N+P","111","D",-2.35364911692258,0.271414176351618,7.96650665757474,-2.97998965249871,-1.72730858134645," 12345678 0           "
