Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plat10b_CD.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-10 12:00:12 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,29.4892463684,,,,,,0,0.02,1,3,28,,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,27.7805404663,,,,,,0,0.02,1,3,26,,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,18.8538227081,18.7012748718,0.2157338709,,,,0,0.02,1,3,18,,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,25.4819030762,25.6293716431,0.2085533887,,,,0,0.02,1,3,24,,N,N,Y
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,18.5487289429,18.7012748718,0.2157338709,,,,0,0.02,1,3,16,,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,25.7768421173,25.6293716431,0.2085533887,,,,0,0.02,1,3,24,,N,N,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,21.1768379211,21.2459125519,0.0976862833,,,,0,0.02,1,3,20,,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,33.2850456238,32.4733390808,1.1479264498,,,,0,0.02,1,3,30,,Y,N,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,26.9741439819,26.9079666138,0.0935902819,,,,0,0.02,1,3,25,,Y,N,N
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,21.3149871826,21.2459125519,0.0976862833,,,,0,0.02,1,3,20,,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,31.6616325378,32.4733390808,1.1479264498,,,,0,0.02,1,3,29,,Y,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,26.8417873383,26.9079666138,0.0935902819,,,,0,0.02,1,3,25,,Y,N,N
A11,+,Ssid,UNKNOWN,SYBR,None,20.65965271,,,,,,0,0.02,1,3,19,,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,19.0048618317,19.1212348938,0.1645763665,,,,0,0.02,1,3,18,,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,Y,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,25.4372615814,26.0942726135,0.9291525483,,,,0,0.02,1,3,24,,Y,Y,Y
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,19.2376079559,19.1212348938,0.1645763665,,,,0,0.02,1,3,18,,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,Y,Y
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,26.7512817383,26.0942726135,0.9291525483,,,,0,0.02,1,3,25,,Y,Y,Y
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,17.8108501434,18.2041702271,0.5562399626,,,,0,0.02,1,3,16,,Y,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,26.2258052826,26.40782547,0.2574140728,,,,0,0.02,1,3,24,,N,Y,Y
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,18.597492218,18.2041702271,0.5562399626,,,,0,0.02,1,3,17,,Y,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,26.58984375,26.40782547,0.2574140728,,,,0,0.02,1,3,25,,N,Y,Y
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B9,Sample 16,Ssid,UNKNOWN,SYBR,None,20.3715934753,20.4095001221,0.053609442,,,,0,0.02,1,3,19,,N,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,39.7972640991,35.6118469238,5.9190735817,,,,0,0.02,1,3,39,,Y,N,Y
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,25.9755382538,26.0847263336,0.1544152647,,,,0,0.02,1,3,24,,Y,N,Y
B11,Sample 16,Ssid,UNKNOWN,SYBR,None,20.4474086761,20.4095001221,0.053609442,,,,0,0.02,1,3,18,,N,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,31.4264297485,35.6118469238,5.9190735817,,,,0,0.02,1,3,28,,Y,N,N
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,26.1939144135,26.0847263336,0.1544152647,,,,0,0.02,1,3,24,,Y,N,N
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,19.7897701263,19.4268856049,0.5131962299,,,,0,0.02,1,3,19,,Y,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
