Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\home\mcano\Dropbox\RSMAS\Projects\2017-Nutrients\3.Ssid-Nutrients\qPCR\qPCR-Raw\Ssid_Plate11_CD.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-09 19:38:40 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,30.0493011475,,,,,,0,0.02,1,3,28,,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,28.2699489594,,,,,,0,0.02,1,3,26,,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,22.4826374054,22.5296993256,0.0665556043,,,,0,0.02,1,3,20,,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,32.7290344238,33.3567581177,0.887738049,,,,0,0.02,1,3,31,,Y,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,29.0036468506,29.4885864258,0.6858094931,,,,0,0.02,1,3,27,,Y,N,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,22.5767612457,22.5296993256,0.0665556043,,,,0,0.02,1,3,21,,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,33.9844856262,33.3567581177,0.887738049,,,,0,0.02,1,3,32,,Y,N,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,29.9735279083,29.4885864258,0.6858094931,,,,0,0.02,1,3,28,,Y,N,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,21.0914554596,21.0389595032,0.0742418393,,,,0,0.02,1,3,19,,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,30.0221309662,29.8875579834,0.1903149337,,,,0,0.02,1,3,28,,N,N,Y
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.7891044617,,,,,0,0.02,1,3,39,,N,N,Y
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,20.9864616394,21.0389595032,0.0742418393,,,,0,0.02,1,3,19,,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,29.7529850006,29.8875579834,0.1903149337,,,,0,0.02,1,3,28,,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,35.7891044617,35.7891044617,,,,,0,0.02,1,3,34,,N,N,N
A11,+,Ssid,UNKNOWN,SYBR,None,20.848192215,,,,,,0,0.02,1,3,19,,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,21.8135852814,22.0152645111,0.2852174938,,,,0,0.02,1,3,19,,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,26.6554412842,26.7111034393,0.078718178,,,,0,0.02,1,3,25,,N,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,22.2169437408,22.0152645111,0.2852174938,,,,0,0.02,1,3,20,,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,26.7667655945,26.7111034393,0.078718178,,,,0,0.02,1,3,24,,N,Y,Y
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,21.8924388885,21.9221572876,0.0420281626,,,,0,0.02,1,3,20,,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,31.9906482697,31.9346160889,0.0792428181,,,,0,0.02,1,3,30,,N,N,N
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,30.997674942,30.7697601318,0.3223188818,,,,0,0.02,1,3,29,,N,N,N
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,21.9518756866,21.9221572876,0.0420281626,,,,0,0.02,1,3,20,,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,31.8785820007,31.9346160889,0.0792428181,,,,0,0.02,1,3,30,,N,N,N
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,30.541847229,30.7697601318,0.3223188818,,,,0,0.02,1,3,28,,N,N,N
B9,Sample 16,Ssid,UNKNOWN,SYBR,None,22.1960277557,21.7425689697,0.6412875652,,,,0,0.02,1,3,19,,Y,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,30.5287857056,30.6760673523,0.208289057,,,,0,0.02,1,3,29,,N,Y,Y
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B11,Sample 16,Ssid,UNKNOWN,SYBR,None,21.2891101837,21.7425689697,0.6412875652,,,,0,0.02,1,3,20,,Y,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,30.8233509064,30.6760673523,0.208289057,,,,0,0.02,1,3,29,,N,N,Y
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,22.0998859406,22.5119895935,0.5828012228,,,,0,0.02,1,3,20,,Y,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,26.3226928711,26.1520080566,0.2413847744,,,,0,0.02,1,3,24,,N,N,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.0233764648,,,,,0,0.02,1,3,38,,N,N,Y
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,22.9240913391,22.5119895935,0.5828012228,,,,0,0.02,1,3,21,,Y,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,25.9813232422,26.1520080566,0.2413847744,,,,0,0.02,1,3,24,,N,N,N
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,38.0233764648,38.0233764648,,,,,0,0.02,1,3,35,,N,N,N
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,23.2450027466,23.125869751,0.1684795022,,,,0,0.02,1,3,21,,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,30.7507457733,30.5757198334,0.2475240529,,,,0,0.02,1,3,29,,N,N,N
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,29.5933914185,29.6687068939,0.1065121666,,,,0,0.02,1,3,28,,N,N,N
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,23.0067367554,23.125869751,0.1684795022,,,,0,0.02,1,3,21,,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,30.4006938934,30.5757198334,0.2475240529,,,,0,0.02,1,3,29,,N,N,N
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,29.7440223694,29.6687068939,0.1065121666,,,,0,0.02,1,3,28,,N,N,N
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,20.9946060181,21.1274375916,0.1878535599,,,,0,0.02,1,3,19,,N,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,28.4617061615,28.61759758,0.2204637527,,,,0,0.02,1,3,26,,N,Y,Y
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.5367927551,,,,,0,0.02,1,3,39,,N,Y,Y
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,21.2602710724,21.1274375916,0.1878535599,,,,0,0.02,1,3,20,,N,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,28.7734889984,28.61759758,0.2204637527,,,,0,0.02,1,3,27,,N,N,N
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,37.5367927551,37.5367927551,,,,,0,0.02,1,3,35,,N,N,N
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,20.8058242798,20.9529075623,0.2080058306,,,,0,0.02,1,3,18,,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,35.9529190063,35.9529190063,,,,,0,0.02,1,3,35,,N,N,N
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,28.1501808167,28.3554763794,0.2903317809,,,,0,0.02,1,3,26,,N,N,N
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,21.0999889374,20.9529075623,0.2080058306,,,,0,0.02,1,3,19,,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.9529190063,,,,,0,0.02,1,3,39,,N,N,Y
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,28.5607719421,28.3554763794,0.2903317809,,,,0,0.02,1,3,27,,N,N,Y
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,19.914812088,20.0228157043,0.1527415216,,,,0,0.02,1,3,18,,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,27.3697452545,27.2107219696,0.2248928845,,,,0,0.02,1,3,26,,N,N,Y
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,20.130821228,20.0228157043,0.1527415216,,,,0,0.02,1,3,18,,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,27.0516986847,27.2107219696,0.2248928845,,,,0,0.02,1,3,25,,N,Y,Y
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
D9,Sample 18,Ssid,UNKNOWN,SYBR,None,22.240398407,22.2104988098,0.0422830656,,,,0,0.02,1,3,20,,N,N,N
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,33.9441680908,36.687877655,3.8801913261,,,,0,0.02,1,3,33,,Y,N,N
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,27.6001167297,27.7270126343,0.1794579029,,,,0,0.02,1,3,26,,Y,N,N
D11,Sample 18,Ssid,UNKNOWN,SYBR,None,22.18060112,22.2104988098,0.0422830656,,,,0,0.02,1,3,20,,N,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,39.4315872192,36.687877655,3.8801913261,,,,0,0.02,1,3,39,,Y,N,Y
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,27.8539085388,27.7270126343,0.1794579029,,,,0,0.02,1,3,26,,Y,N,Y
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,21.5149040222,21.7881126404,0.3863766789,,,,0,0.02,1,3,19,,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,30.2355709076,30.1267032623,0.1539621055,,,,0,0.02,1,3,28,,N,Y,Y
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,22.0613231659,21.7881126404,0.3863766789,,,,0,0.02,1,3,20,,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,30.0178356171,30.1267032623,0.1539621055,,,,0,0.02,1,3,28,,N,Y,Y
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,19.9282436371,20.1809806824,0.3574255109,,,,0,0.02,1,3,18,,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,26.3047561646,26.3047657013,0.000013487,,,,0,0.02,1,3,24,,N,N,Y
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,20.433719635,20.1809806824,0.3574255109,,,,0,0.02,1,3,18,,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,26.304775238,26.3047657013,0.000013487,,,,0,0.02,1,3,24,,N,Y,Y
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
E9,Sample 19,Ssid,UNKNOWN,SYBR,None,21.9081230164,22.3576126099,0.6356729269,,,,0,0.02,1,3,20,,Y,N,N
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,39.8152961731,37.8136672974,2.8307306767,,,,0,0.02,1,3,39,,Y,N,Y
E10,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,27.0304946899,27.2654972076,0.3323437572,,,,0,0.02,1,3,25,,Y,N,Y
E11,Sample 19,Ssid,UNKNOWN,SYBR,None,22.807100296,22.3576126099,0.6356729269,,,,0,0.02,1,3,20,,Y,N,N
E12,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,35.8120384216,37.8136672974,2.8307306767,,,,0,0.02,1,3,29,,Y,N,N
E12,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,27.5004997253,27.2654972076,0.3323437572,,,,0,0.02,1,3,26,,Y,N,N
