Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate12_CD.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-10 14:19:00 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL,MTP
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,90.8120040894,70.3848342896,,,N,N,N,N,Y
A2,+,C,UNKNOWN,VIC,NFQ-MGB,29.5462932587,29.6964530945,0.2123594284,,,,0,0.02,1,3,28,92.3030395508,,,,N,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,27.828420639,27.9750595093,0.2073773295,,,,0,0.02,1,3,26,72.1740722656,,,,N,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,20.5292224884,20.4371013641,0.130278945,,,,0,0.02,1,3,18,76.1944580078,,,,N,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,26.328540802,26.2572212219,0.1008597687,,,,0,0.02,1,3,25,61.7288017273,,,,N,N,N,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,34.0048980713,34.205783844,0.2840953767,,,,0,0.02,1,3,32,71.8696746826,,,,N,N,N,N,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,20.3449802399,20.4371013641,0.130278945,,,,0,0.02,1,3,18,76.1942214966,,,,N,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,26.1859035492,26.2572212219,0.1008597687,,,,0,0.02,1,3,24,93.1925964355,,,,N,N,N,N,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,34.4066696167,34.205783844,0.2840953767,,,,0,0.02,1,3,33,72.3173980713,,,,N,N,N,N,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,20.2206668854,20.2709960938,0.0711762458,,,,0,0.02,1,3,18,76.3393707275,,,,N,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,25.0346374512,25.0925502777,0.0819011033,,,,0,0.02,1,3,23,61.8722991943,,,,N,N,N,Y,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.3564682007,,,,N,N,N,Y,N
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,20.3213253021,20.2709960938,0.0711762458,,,,0,0.02,1,3,18,76.1907501221,,,,N,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,25.1504631042,25.0925502777,0.0819011033,,,,0,0.02,1,3,23,61.5784454346,,,,N,N,N,Y,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.357749939,,,,N,N,N,Y,N
A11,+,Ssid,UNKNOWN,SYBR,None,20.8431720734,20.8859882355,0.0605511963,,,,0,0.02,1,3,18,76.191986084,,,,N,N,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.5764465332,,,,N,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.7618103027,,,,N,N,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,22.3579597473,22.3857460022,0.0392956994,,,,0,0.02,1,3,20,76.1998672485,,,,N,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.4386291504,,,,N,N,Y,Y,N
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,26.6592941284,26.6652488708,0.0084226262,,,,0,0.02,1,3,25,72.3231811523,,,,N,N,Y,Y,N
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,22.4135322571,22.3857460022,0.0392956994,,,,0,0.02,1,3,21,76.1944580078,,,,N,N,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,65.9044570923,,,,N,N,Y,Y,N
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,26.6712055206,26.6652488708,0.0084226262,,,,0,0.02,1,3,25,68.8870697021,,,,N,N,Y,Y,N
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,20.7361946106,20.8635978699,0.1801767647,,,,0,0.02,1,3,18,76.1942214966,,,,N,N,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.1342506409,,,,N,N,N,Y,N
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,26.2563152313,26.1769275665,0.1122711152,,,,0,0.02,1,3,24,69.9316558838,,,,N,N,N,Y,N
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,20.9910030365,20.8635978699,0.1801767647,,,,0,0.02,1,3,19,76.1902236938,,,,N,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,66.4957962036,,,,N,N,N,Y,N
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,26.0975399017,26.1769275665,0.1122711152,,,,0,0.02,1,3,24,68.434677124,,,,N,N,N,Y,N
B9,Sample 16,Ssid,UNKNOWN,SYBR,None,21.152469635,21.1720046997,0.0276281014,,,,0,0.02,1,3,19,76.0416412354,,,,N,N,N,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,26.4075565338,26.7024345398,0.4170191288,,,,0,0.02,1,3,25,61.4293403625,,,,N,N,N,Y,Y
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,89.31199646,73.0595397949,67.3935470581,,N,N,N,Y,Y
B11,Sample 16,Ssid,UNKNOWN,SYBR,None,21.1915416718,21.1720046997,0.0276281014,,,,0,0.02,1,3,19,76.0428466797,,,,N,N,N,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,26.9973106384,26.7024345398,0.4170191288,,,,0,0.02,1,3,25,73.2092285156,,,,N,N,N,Y,N
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.7618103027,,,,N,N,N,Y,N
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,22.581237793,22.474697113,0.1506726295,,,,0,0.02,1,3,20,76.0507659912,,,,N,N,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,60.991317749,,,,N,N,Y,Y,N
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,26.9808197021,27.2351989746,0.3597479761,,,,0,0.02,1,3,25,71.1303482056,,,,N,N,Y,Y,N
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,22.3681545258,22.474697113,0.1506726295,,,,0,0.02,1,3,20,76.1944580078,,,,N,N,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,66.3518447876,,,,N,N,Y,Y,N
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,27.4895801544,27.2351989746,0.3597479761,,,,0,0.02,1,3,25,71.2731552124,,,,N,N,Y,Y,N
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,22.4118824005,22.1914100647,0.3117963076,,,,0,0.02,1,3,21,76.0451126099,,,,N,N,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.4318466187,,,,,0,0.02,1,3,39,65.6075057983,,,,N,N,N,Y,N
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,26.6969871521,26.8142623901,0.1658535749,,,,0,0.02,1,3,25,72.9138336182,,,,N,N,N,Y,N
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,21.9709358215,22.1914100647,0.3117963076,,,,0,0.02,1,3,20,76.1902236938,,,,N,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,35.4318466187,35.4318466187,,,,,0,0.02,1,3,35,65.8992156982,,,,N,N,N,N,N
