Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate13_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-10 16:05:30 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,29.5524463654,29.5377426147,0.0207928941,,,,0,0.02,1,3,28,,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,27.9636306763,28.0372714996,0.1041438505,,,,0,0.02,1,3,26,,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,21.8162593842,21.7742023468,0.059477631,,,,0,0.02,1,3,20,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,27.155046463,27.5812892914,0.6027984023,,,,0,0.02,1,3,25,,N,Y,N,Y
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,21.7321453094,21.7742023468,0.059477631,,,,0,0.02,1,3,20,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,28.0075321198,27.5812892914,0.6027984023,,,,0,0.02,1,3,26,,N,Y,Y,Y
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,21.5821895599,21.6968002319,0.1620853096,,,,0,0.02,1,3,20,,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,35.7230453491,34.6125068665,1.57053864,,,,0,0.02,1,3,35,,N,Y,N,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,27.9649467468,28.065032959,0.1415419281,,,,0,0.02,1,3,26,,N,Y,N,N
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,21.8114128113,21.6968002319,0.1620853096,,,,0,0.02,1,3,20,,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,33.5019683838,34.6125068665,1.57053864,,,,0,0.02,1,3,30,,N,Y,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,28.1651172638,28.065032959,0.1415419281,,,,0,0.02,1,3,26,,N,Y,N,N
A11,+,Ssid,UNKNOWN,SYBR,None,20.9086551666,20.9481620789,0.0558698624,,,,0,0.02,1,3,18,,N,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,22.723859787,22.6733112335,0.0714864507,,,,0,0.02,1,3,20,,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,27.2543640137,27.2794876099,0.0355287828,,,,0,0.02,1,3,25,,N,N,Y,Y
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,22.6227626801,22.6733112335,0.0714864507,,,,0,0.02,1,3,20,,N,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,27.3046092987,27.2794876099,0.0355287828,,,,0,0.02,1,3,25,,N,N,Y,Y
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,21.3167953491,21.1024856567,0.3030783236,,,,0,0.02,1,3,19,,N,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,34.6920089722,33.6634254456,1.4546368122,,,,0,0.02,1,3,34,,N,Y,N,N
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,26.236749649,25.9820365906,0.360217303,,,,0,0.02,1,3,24,,N,Y,N,N
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,20.8881778717,21.1024856567,0.3030783236,,,,0,0.02,1,3,19,,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,32.6348419189,33.6634254456,1.4546368122,,,,0,0.02,1,3,31,,N,Y,N,N
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,25.7273254395,25.9820365906,0.360217303,,,,0,0.02,1,3,24,,N,Y,N,N
B9,Sample 16,Ssid,UNKNOWN,SYBR,None,21.6359634399,21.3252944946,0.4393508732,,,,0,0.02,1,3,20,,N,N,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,29.6736698151,29.8935394287,0.3109425902,,,,0,0.02,1,3,28,,N,Y,N,N
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,31.2573432922,31.6607341766,0.5704808831,,,,0,0.02,1,3,29,,N,Y,N,N
B11,Sample 16,Ssid,UNKNOWN,SYBR,None,21.0146274567,21.3252944946,0.4393508732,,,,0,0.02,1,3,20,,N,N,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,30.1134090424,29.8935394287,0.3109425902,,,,0,0.02,1,3,28,,N,Y,N,N
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,32.064125061,31.6607341766,0.5704808831,,,,0,0.02,1,3,30,,N,Y,N,N
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,22.1904754639,22.0672645569,0.1742478907,,,,0,0.02,1,3,21,,N,N,N,N
