Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Pllate17_CD.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-22 10:41:41 AM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,61.4124908447,88.2434616089,83.4735107422,,N,N,N,Y
A2,+,C,UNKNOWN,VIC,NFQ-MGB,30.3468227386,30.4315719604,0.1198534966,,,,0,0.02,1,3,29,92.8643493652,,,,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,28.4123973846,28.6466598511,0.3312971592,,,,0,0.02,1,3,26,72.7411193848,,,,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,18.1468391418,18.0172462463,0.1832706779,,,,0,0.02,1,3,16,77.2094421387,,,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.5578651428,,,,N,N,Y,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,27.5176086426,27.6033935547,0.1213168353,,,,0,0.02,1,3,25,71.2469406128,,,,N,N,Y,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,17.8876552582,18.0172462463,0.1832706779,,,,0,0.02,1,3,16,77.2112045288,,,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,67.5211257935,,,,N,Y,Y,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,27.6891765594,27.6033935547,0.1213168353,,,,0,0.02,1,3,26,71.5462341309,,,,N,Y,Y,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,17.5318145752,17.5817756653,0.0706569999,,,,0,0.02,1,3,14,77.3488922119,,,,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,28.6866168976,28.6550140381,0.0446931943,,,,0,0.02,1,3,27,72.5764465332,,,,N,N,Y,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.8307495117,,,,N,N,Y,N
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,17.6317386627,17.5817756653,0.0706569999,,,,0,0.02,1,3,15,77.0557098389,,,,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,28.6234111786,28.6550140381,0.0446931943,,,,0,0.02,1,3,27,72.8798217773,,,,N,N,Y,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.8798217773,,,,N,N,Y,N
A11,+,Ssid,UNKNOWN,SYBR,None,18.3940238953,18.2787837982,0.1629741043,,,,0,0.02,1,3,16,77.0531463623,,,,N,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.2469062805,,,,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.2814483643,,,,N,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,17.5578422546,17.4693279266,0.1251781583,,,,0,0.02,1,3,16,77.2129516602,,,,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,34.068649292,34.5517349243,0.683186233,,,,0,0.02,1,3,33,67.3749237061,,,,Y,N,N,N
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,26.5989131927,26.5923194885,0.0093235569,,,,0,0.02,1,3,24,72.4430007935,,,,Y,N,N,N
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,17.3808135986,17.4693279266,0.1251781583,,,,0,0.02,1,3,16,77.2094421387,,,,N,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,35.0348205566,34.5517349243,0.683186233,,,,0,0.02,1,3,34,64.9863052368,,,,Y,N,N,N
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,26.5857276917,26.5923194885,0.0093235569,,,,0,0.02,1,3,24,71.0978775024,,,,Y,N,N,N
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,17.4052581787,17.5046138763,0.1405101717,,,,0,0.02,1,3,16,77.2112045288,,,,N,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,34.1943397522,34.1943397522,,,,,0,0.02,1,3,34,61.4089241028,,,,N,N,N,N
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,26.959646225,27.2142677307,0.3600878417,,,,0,0.02,1,3,25,72.2916259766,,,,N,N,N,N
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,17.603969574,17.5046138763,0.1405101717,,,,0,0.02,1,3,16,77.1997528076,,,,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.1943397522,,,,,0,0.02,1,3,39,68.1022720337,,,,N,N,Y,N
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,27.4688873291,27.2142677307,0.3600878417,,,,0,0.02,1,3,25,70.1902160645,,,,N,N,Y,N
B9,Sample 16,Ssid,UNKNOWN,SYBR,None,16.0091876984,16.2486534119,0.3386556506,,,,0,0.02,1,3,15,77.2048492432,,,,N,N,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,39.8105773926,36.2709007263,5.0058588982,,,,0,0.02,1,3,39,66.3177032471,,,,Y,N,Y,N
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,26.734910965,26.9775028229,0.3430767059,,,,0,0.02,1,3,25,70.9410095215,,,,Y,N,Y,N
B11,Sample 16,Ssid,UNKNOWN,SYBR,None,16.4881191254,16.2486534119,0.3386556506,,,,0,0.02,1,3,15,77.202255249,,,,N,N,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,32.7312240601,36.2709007263,5.0058588982,,,,0,0.02,1,3,30,67.8079833984,,,,Y,N,N,N
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,27.2200946808,26.9775028229,0.3430767059,,,,0,0.02,1,3,25,72.7287979126,,,,Y,N,N,N
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,18.5686531067,18.2367153168,0.4694309235,,,,0,0.02,1,3,17,77.0638885498,,,,N,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,26.7359580994,26.7806510925,0.0632067844,,,,0,0.02,1,3,25,77.8091888428,,,,N,Y,Y,N
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.5486297607,,,,N,Y,Y,N
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,17.9047775269,18.2367153168,0.4694309235,,,,0,0.02,1,3,16,77.2094421387,,,,N,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,26.825345993,26.7806510925,0.0632067844,,,,0,0.02,1,3,25,77.9547576904,,,,N,N,Y,N
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.8431854248,,,,N,N,Y,N
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,17.6504688263,17.5520439148,0.1391951889,,,,0,0.02,1,3,16,77.0621261597,,,,N,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,65.583114624,,,,N,N,Y,N
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,27.3017196655,27.3350944519,0.0471990742,,,,0,0.02,1,3,25,72.738861084,,,,N,N,Y,N
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,17.4536170959,17.5520439148,0.1391951889,,,,0,0.02,1,3,16,77.1997528076,,,,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,66.0143280029,,,,N,N,Y,N
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,27.3684692383,27.3350944519,0.0471990742,,,,0,0.02,1,3,25,71.8307495117,,,,N,N,Y,N
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,18.7475395203,18.5939483643,0.2172106951,,,,0,0.02,1,3,17,77.2048492432,,,,N,N,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,28.5122699738,28.8558673859,0.4859201312,,,,0,0.02,1,3,27,76.1608810425,,,,N,N,N,N
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,36.0232925415,36.0232925415,,,,,0,0.02,1,3,34,75.2660446167,,,,N,N,N,N
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,18.4403572083,18.5939483643,0.2172106951,,,,0,0.02,1,3,17,77.202255249,,,,N,N,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,29.199464798,28.8558673859,0.4859201312,,,,0,0.02,1,3,27,71.8341064453,,,,N,N,Y,N
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.0232925415,,,,,0,0.02,1,3,39,71.983215332,,,,N,N,Y,N
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,18.436580658,18.4145946503,0.0310929101,,,,0,0.02,1,3,17,77.0638885498,,,,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,27.0805091858,27.2500572205,0.239778474,,,,0,0.02,1,3,25,66.0333786011,,,,Y,N,N,N
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,31.3715057373,32.0315933228,0.9335021377,,,,0,0.02,1,3,29,72.7411193848,,,,Y,N,N,N
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,18.3926086426,18.4145946503,0.0310929101,,,,0,0.02,1,3,17,77.2094421387,,,,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,27.4196071625,27.2500572205,0.239778474,,,,0,0.02,1,3,26,61.5578651428,,,,Y,N,N,N
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,32.6916770935,32.0315933228,0.9335021377,,,,0,0.02,1,3,30,71.8431854248,,,,Y,N,N,N
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,17.9992198944,17.9587364197,0.057253629,,,,0,0.02,1,3,16,77.0621261597,,,,N,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,29.0359592438,29.1733474731,0.1942976415,,,,0,0.02,1,3,27,65.8812713623,,,,Y,N,N,N
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,30.8180675507,31.2063789368,0.5491538644,,,,0,0.02,1,3,29,73.4842529297,,,,Y,N,N,N
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,17.9182510376,17.9587364197,0.057253629,,,,0,0.02,1,3,16,77.1997528076,,,,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,29.3107376099,29.1733474731,0.1942976415,,,,0,0.02,1,3,28,67.5057144165,,,,Y,N,N,N
