Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate19_CD.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-23 13:33:52 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,NTC,Ssid,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,61.4244346619,87.9494171143,,,N,N,Y,Y
A2,+,C,UNKNOWN,VIC,NFQ-MGB,29.6584663391,29.7355995178,0.1090814397,,,,0,0.02,1,3,28,93.0159835815,,,,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,27.8165855408,27.842420578,0.0365362614,,,,0,0.02,1,3,26,72.451675415,,,,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,20.2480182648,20.035358429,0.30074507,,,,0,0.02,1,3,18,77.2161026001,,,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,36.7144813538,36.3989257813,0.4462656677,,,,0,0.02,1,3,34,61.5647468567,,,,Y,N,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,30.0824699402,29.6800994873,0.5690377355,,,,0,0.02,1,3,28,70.6574401855,,,,Y,N,N,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,19.8227005005,20.035358429,0.30074507,,,,0,0.02,1,3,18,77.2191467285,,,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,36.083366394,36.3989257813,0.4462656677,,,,0,0.02,1,3,35,61.2715950012,,,,Y,N,N,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,29.2777290344,29.6800994873,0.5690377355,,,,0,0.02,1,3,27,72.0026550293,,,,Y,N,N,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,17.8467521667,18.1976737976,0.4962767959,,,,0,0.02,1,3,16,77.3675079346,,,,N,N,N,N
