Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate20_CD.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-23 16:20:37 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL,MTP
A1,NTC,Ssid,NTC,SYBR,None,14.0623455048,,,,,,0,0.02,1,3,39,61.1361885071,82.8997116089,,,Y,N,N,N,Y
A2,+,C,UNKNOWN,VIC,NFQ-MGB,30.0956840515,30.5205116272,0.6007969379,,,,0,0.02,1,3,28,91.6945648193,,,,N,Y,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,28.5903453827,28.7276687622,0.1942045838,,,,0,0.02,1,3,26,70.5272979736,,,,N,Y,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,18.4166927338,18.3955020905,0.0299680959,,,,0,0.02,1,3,16,77.2336273193,,,,N,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,67.2459106445,,,,N,N,N,Y,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,28.3399562836,28.3117866516,0.0398365259,,,,0,0.02,1,3,26,70.9726715088,,,,N,N,N,Y,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,18.3743114471,18.3955020905,0.0299680959,,,,0,0.02,1,3,16,77.2334136963,,,,N,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,68.2889862061,,,,N,N,N,Y,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,28.283618927,28.3117866516,0.0398365259,,,,0,0.02,1,3,26,69.6306533813,,,,N,N,N,Y,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,18.2727603912,18.3351707458,0.0882615671,,,,0,0.02,1,3,16,77.2331771851,,,,N,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,32.4143714905,32.4338111877,0.0274918843,,,,0,0.02,1,3,30,91.6929626465,,,,N,Y,N,N,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,29.1942768097,29.5538024902,0.5084474683,,,,0,0.02,1,3,27,71.5685195923,,,,N,Y,N,N,N
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,18.3975811005,18.3351707458,0.0882615671,,,,0,0.02,1,3,16,77.0835723877,,,,N,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,32.453250885,32.4338111877,0.0274918843,,,,0,0.02,1,3,31,92.5861816406,,,,N,Y,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,29.9133300781,29.5538024902,0.5084474683,,,,0,0.02,1,3,28,72.0154190063,,,,N,Y,N,N,N
A11,+,Ssid,UNKNOWN,SYBR,None,18.536272049,18.5836315155,0.0669763982,,,,0,0.02,1,3,15,77.085723877,,,,N,N,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.2832565308,,,,N,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.4206848145,,,,N,N,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,18.7234745026,18.3054962158,0.5911105871,,,,0,0.02,1,3,16,76.9371032715,,,,N,Y,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,31.0029621124,31.3168754578,0.4439391494,,,,0,0.02,1,3,29,75.7445831299,,,,N,N,N,Y,N
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.4651489258,,,,N,N,N,Y,N
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,17.8875179291,18.3054962158,0.5911105871,,,,0,0.02,1,3,16,77.0845565796,,,,N,Y,N,N,N
