Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate23_CD.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-10 14:59:56 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOAMP,NOSIGNAL,EXPFAIL,MTP
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,61.5759811401,87.2131347656,91.9828338623,,N,N,N,N,N,Y
A2,+,C,UNKNOWN,VIC,NFQ-MGB,30.4671649933,30.6240730286,0.2219001204,,,,0,0.02,1,3,29,90.6413574219,,,,N,N,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,28.2451705933,28.3496227264,0.1477176249,,,,0,0.02,1,3,26,70.5191726685,,,,N,N,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,18.7292900085,18.5588588715,0.241026029,,,,0,0.02,1,3,17,77.2235183716,,,,N,N,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,36.1125221252,36.6644859314,0.7805947065,,,,0,0.02,1,3,34,61.4218788147,,,,N,Y,N,N,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,29.3089771271,29.2884578705,0.0290186107,,,,0,0.02,1,3,27,71.4097137451,,,,N,Y,N,N,N,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,18.3884277344,18.5588588715,0.241026029,,,,0,0.02,1,3,16,77.2199707031,,,,N,N,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,37.2164497375,36.6644859314,0.7805947065,,,,0,0.02,1,3,35,69.0211257935,,,,N,Y,N,N,N,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,29.2679386139,29.2884578705,0.0290186107,,,,0,0.02,1,3,27,70.5118255615,,,,N,Y,N,N,N,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,17.6252803802,17.6439094543,0.0263454895,,,,0,0.02,1,3,15,77.3729858398,,,,N,N,N,N,N,N
