Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate26_CD.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-17 17:26:37 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ssid,UNKNOWN,SYBR,None,Undetermined,,,,,,1,1.945077334,1,3,39,,N,N,Y
A2,+,C,UNKNOWN,VIC,NFQ-MGB,30.394777298,30.8994140625,0.7136641741,,,,1,0.0297751837,1,3,28,,Y,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,27.6522216797,28.0821819305,0.6080555916,,,,1,0.015846283,1,3,26,,Y,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,24.9636230469,25.1282234192,0.232778728,,,,1,1.945077334,1,3,17,,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,32.0744094849,32.5309295654,0.6456142068,,,,1,0.0297751837,1,3,30,,Y,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,30.9914779663,30.9797515869,0.0165836047,,,,1,0.015846283,1,3,29,,Y,N,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,25.2928218842,25.1282234192,0.232778728,,,,1,1.945077334,1,3,17,,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,32.9874458313,32.5309295654,0.6456142068,,,,1,0.0297751837,1,3,31,,Y,N,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,30.9680252075,30.9797515869,0.0165836047,,,,1,0.015846283,1,3,29,,Y,N,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,23.4434604645,23.3921508789,0.0725613609,,,,1,1.945077334,1,3,16,,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,34.4563522339,34.6024131775,0.2065613717,,,,1,0.0297751837,1,3,32,,N,N,Y
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.015846283,1,3,39,,N,N,Y
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,23.3408432007,23.3921508789,0.0725613609,,,,1,1.945077334,1,3,15,,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,34.7484741211,34.6024131775,0.2065613717,,,,1,0.0297751837,1,3,33,,N,N,Y
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.015846283,1,3,39,,N,N,Y
A11,+,Ssid,UNKNOWN,SYBR,None,23.6057472229,23.7485160828,0.2019043118,,,,1,1.945077334,1,3,16,,N,N,N
A12,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,Y,Y
A12,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.015846283,1,3,39,,N,Y,Y
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,24.2291622162,24.2330913544,0.0055566407,,,,1,1.945077334,1,3,16,,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.0612068176,,,,,1,0.0297751837,1,3,38,,N,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,27.1737823486,27.3999385834,0.3198332191,,,,1,0.015846283,1,3,25,,N,N,Y
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,24.2370204926,24.2330913544,0.0055566407,,,,1,1.945077334,1,3,16,,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,37.0612068176,37.0612068176,,,,,1,0.0297751837,1,3,35,,N,N,N
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,27.6260948181,27.3999385834,0.3198332191,,,,1,0.015846283,1,3,26,,N,N,N
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,24.939863205,24.8809833527,0.0832686871,,,,1,1.945077334,1,3,17,,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,36.8080978394,36.7618942261,0.0653444752,,,,1,0.0297751837,1,3,35,,N,N,N
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,33.5364341736,33.2185668945,0.4495322108,,,,1,0.015846283,1,3,32,,N,N,N
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,24.8221035004,24.8809833527,0.0832686871,,,,1,1.945077334,1,3,17,,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,36.7156867981,36.7618942261,0.0653444752,,,,1,0.0297751837,1,3,35,,N,N,N
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,32.9006996155,33.2185668945,0.4495322108,,,,1,0.015846283,1,3,31,,N,N,N
B9,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,35,,N,Y,Y
B9,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.015846283,1,3,39,,N,Y,Y
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,Y,Y
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.015846283,1,3,39,,N,Y,Y
B11,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.3357582092,,,,,1,0.0297751837,1,3,39,,N,Y,Y
B11,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.015846283,1,3,39,,N,Y,Y
B12,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,39.3357582092,39.3357582092,,,,,1,0.0297751837,1,3,35,,N,N,Y
B12,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.015846283,1,3,39,,N,N,Y
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,23.8328437805,23.4186286926,0.5857886076,,,,1,1.945077334,1,3,16,,Y,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,Y,N,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,27.351266861,27.8550415039,0.7124449611,,,,1,0.015846283,1,3,26,,Y,N,Y
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,23.0044136047,23.4186286926,0.5857886076,,,,1,1.945077334,1,3,15,,Y,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,Y,N,Y
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,28.3588161469,27.8550415039,0.7124449611,,,,1,0.015846283,1,3,27,,Y,N,Y
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,24.1370048523,24.324432373,0.2650638819,,,,1,1.945077334,1,3,17,,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,N,Y
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,28.2351150513,28.5037212372,0.3798665106,,,,1,0.015846283,1,3,27,,N,N,Y
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,24.5118618011,24.324432373,0.2650638819,,,,1,1.945077334,1,3,17,,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,N,Y
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,28.7723274231,28.5037212372,0.3798665106,,,,1,0.015846283,1,3,27,,N,N,Y
C9,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,39.5252952576,39.5901527405,0.0917223319,,,,1,0.0297751837,1,3,35,,N,Y,Y
C9,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.015846283,1,3,39,,N,Y,Y
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,39.6550102234,39.5901527405,0.0917223319,,,,1,0.0297751837,1,3,35,,N,Y,Y
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.015846283,1,3,39,,N,Y,Y
C11,Sample 23,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,Y,Y
C11,Sample 23,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.2815093994,,,,,1,0.015846283,1,3,39,,N,Y,Y
C12,Sample 23,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,Y,Y
C12,Sample 23,D,UNKNOWN,FAM,NFQ-MGB,39.2815093994,39.2815093994,,,,,1,0.015846283,1,3,35,,N,Y,Y
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,23.949426651,23.8576488495,0.1297934055,,,,1,1.945077334,1,3,16,,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,N,Y
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,27.2891807556,27.2854614258,0.0052585779,,,,1,0.015846283,1,3,26,,N,N,Y
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,23.765871048,23.8576488495,0.1297934055,,,,1,1.945077334,1,3,16,,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,N,Y
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,27.2817440033,27.2854614258,0.0052585779,,,,1,0.015846283,1,3,25,,N,N,Y
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,23.5641498566,23.5971050262,0.0466056466,,,,1,1.945077334,1,3,16,,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,35.4934043884,35.4211578369,0.1021720544,,,,1,0.0297751837,1,3,30,,N,N,N
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,26.835395813,27.1757392883,0.4813183546,,,,1,0.015846283,1,3,25,,N,N,N
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,23.6300601959,23.5971050262,0.0466056466,,,,1,1.945077334,1,3,15,,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,35.3489112854,35.4211578369,0.1021720544,,,,1,0.0297751837,1,3,30,,N,N,N
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,27.5160827637,27.1757392883,0.4813183546,,,,1,0.015846283,1,3,26,,N,N,N
D9,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,38.5223274231,,,,,1,0.0297751837,1,3,39,,N,Y,Y
D9,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.6072425842,,,,,1,0.015846283,1,3,39,,N,Y,Y
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,38.5223274231,38.5223274231,,,,,1,0.0297751837,1,3,35,,N,N,N
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,36.6072425842,36.6072425842,,,,,1,0.015846283,1,3,35,,N,N,N
D11,Sample 24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,Y,Y
D11,Sample 24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.1087913513,,,,,1,0.015846283,1,3,39,,N,Y,Y
D12,Sample 24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,Y,Y
D12,Sample 24,D,UNKNOWN,FAM,NFQ-MGB,37.1087913513,37.1087913513,,,,,1,0.015846283,1,3,35,,N,Y,Y
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,24.4614963531,24.4395179749,0.0310834702,,,,1,1.945077334,1,3,17,,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,29.5665588379,29.7858886719,0.3101792336,,,,1,0.0297751837,1,3,28,,N,N,N
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,33.1648597717,32.9861221313,0.2527704835,,,,1,0.015846283,1,3,31,,N,N,N
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,24.4175376892,24.4395179749,0.0310834702,,,,1,1.945077334,1,3,16,,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,30.0052185059,29.7858886719,0.3101792336,,,,1,0.0297751837,1,3,28,,N,N,N
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,32.8073883057,32.9861221313,0.2527704835,,,,1,0.015846283,1,3,31,,N,N,N
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,24.9145259857,24.8288440704,0.121172525,,,,1,1.945077334,1,3,17,,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,Y,Y
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,28.3639278412,28.6894168854,0.4603110254,,,,1,0.015846283,1,3,27,,N,Y,Y
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,24.7431621552,24.8288440704,0.121172525,,,,1,1.945077334,1,3,17,,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,N,Y
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,29.0149059296,28.6894168854,0.4603110254,,,,1,0.015846283,1,3,27,,N,N,Y
E9,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,Y,Y
E9,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,35.6623458862,35.6623458862,,,,,1,0.015846283,1,3,34,,N,Y,Y
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,Y,Y
E10,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.6623458862,,,,,1,0.015846283,1,3,39,,N,Y,Y
E11,Sample 25,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,Y,Y
E11,Sample 25,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.015846283,1,3,39,,N,Y,Y
E12,Sample 25,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0297751837,1,3,39,,N,Y,Y
E12,Sample 25,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.015846283,1,3,39,,N,Y,Y
F1,Sample 5,Ssid,UNKNOWN,SYBR,None,25.6150913239,25.5358390808,0.112079598,,,,1,1.945077334,1,3,17,,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,29.6468048096,29.9749259949,0.4640334249,,,,1,0.0297751837,1,3,27,,N,N,N
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,28.5185966492,28.674041748,0.2198312134,,,,1,0.015846283,1,3,27,,N,N,N
F3,Sample 5,Ssid,UNKNOWN,SYBR,None,25.4565868378,25.5358390808,0.112079598,,,,1,1.945077334,1,3,17,,N,N,N
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,30.3030471802,29.9749259949,0.4640334249,,,,1,0.0297751837,1,3,28,,N,N,N
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,28.8294849396,28.674041748,0.2198312134,,,,1,0.015846283,1,3,27,,N,N,N
F5,Sample 12,Ssid,UNKNOWN,SYBR,None,25.4370956421,25.4557151794,0.0263306536,,,,1,1.945077334,1,3,18,,N,N,N
F6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,35.1253852844,34.0248947144,1.5563313961,,,,1,0.0297751837,1,3,33,,Y,N,N
F6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,34.850605011,34.0299682617,1.1605529785,,,,1,0.015846283,1,3,33,,Y,N,N
