Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plated27_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-13 06:39:14 AM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,29.9885406494,29.7277488708,0.3688166142,,,,0,0.02,1,3,28,,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,28.2296848297,27.9823188782,0.349829644,,,,0,0.02,1,3,26,,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,19.2204227448,19.2018356323,0.0262874961,,,,0,0.02,1,3,17,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,28.0200576782,28.1331596375,0.1599489748,,,,0,0.02,1,3,26,,N,N,N,Y
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,19.1832466125,19.2018356323,0.0262874961,,,,0,0.02,1,3,17,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,28.2462596893,28.1331596375,0.1599489748,,,,0,0.02,1,3,26,,N,N,N,Y
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,18.3464679718,18.4968795776,0.2127154768,,,,0,0.02,1,3,16,,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,32.6700782776,32.8544845581,0.2607898712,,,,0,0.02,1,3,31,,N,Y,N,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,28.6284656525,29.088344574,0.6503656507,,,,0,0.02,1,3,27,,N,Y,N,N
