Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate28_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-18 13:14:46 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,18.4118022919,,,,,,0,0.02,1,3,39,,Y,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,32.3464851379,31.1706008911,1.6629527807,,,,0,0.02,1,3,31,,N,Y,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,29.9376049042,29.0383071899,1.2717989683,,,,0,0.02,1,3,28,,N,Y,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,19.7545642853,19.8048820496,0.0711600631,,,,0,0.02,1,3,17,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,39.7924575806,39.7924575806,,,,,0,0.02,1,3,39,,N,N,N,Y
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,30.4114265442,30.6930427551,0.3982641101,,,,0,0.02,1,3,28,,N,N,N,Y
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,19.8551998138,19.8048820496,0.0711600631,,,,0,0.02,1,3,18,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.7924575806,,,,,0,0.02,1,3,39,,N,N,N,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,30.9746570587,30.6930427551,0.3982641101,,,,0,0.02,1,3,29,,N,N,N,Y
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,19.1791114807,19.0223999023,0.2216236442,,,,0,0.02,1,3,17,,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,36.6699066162,35.7344970703,1.322868824,,,,0,0.02,1,3,34,,N,Y,N,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,31.2231044769,30.9263000488,0.4197461903,,,,0,0.02,1,3,29,,N,Y,N,N
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,18.865688324,19.0223999023,0.2216236442,,,,0,0.02,1,3,17,,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,34.7990875244,35.7344970703,1.322868824,,,,0,0.02,1,3,33,,N,Y,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,30.6294937134,30.9263000488,0.4197461903,,,,0,0.02,1,3,28,,N,Y,N,N
A11,+,Ssid,UNKNOWN,SYBR,None,18.6399421692,18.1935768127,0.6312546134,,,,0,0.02,1,3,15,,N,Y,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,18.881269455,18.6695289612,0.2994476259,,,,0,0.02,1,3,17,,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,32.566608429,32.728515625,0.2289713472,,,,0,0.02,1,3,31,,N,N,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,18.4577865601,18.6695289612,0.2994476259,,,,0,0.02,1,3,17,,N,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,32.890422821,32.728515625,0.2289713472,,,,0,0.02,1,3,31,,N,N,Y,Y
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,18.6768779755,18.7105979919,0.0476859547,,,,0,0.02,1,3,17,,N,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,38.1346702576,37.892578125,0.3423672915,,,,0,0.02,1,3,35,,N,Y,N,N
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,35.7027778625,35.313999176,0.549816072,,,,0,0.02,1,3,34,,N,Y,N,N
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,18.7443161011,18.7105979919,0.0476859547,,,,0,0.02,1,3,17,,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,37.6504898071,37.892578125,0.3423672915,,,,0,0.02,1,3,35,,N,Y,N,N
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,34.9252204895,35.313999176,0.549816072,,,,0,0.02,1,3,33,,N,Y,N,N
B9,Sample 16,Ssid,UNKNOWN,SYBR,None,17.3787879944,17.1744270325,0.2890100479,,,,0,0.02,1,3,15,,N,N,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,36.8458137512,36.8458137512,,,,,0,0.02,1,3,35,,N,N,Y,Y
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
B11,Sample 16,Ssid,UNKNOWN,SYBR,None,16.9700660706,17.1744270325,0.2890100479,,,,0,0.02,1,3,13,,N,N,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.8458137512,,,,,0,0.02,1,3,39,,N,N,N,Y
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,18.3709659576,18.4363250732,0.092433095,,,,0,0.02,1,3,17,,N,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,38.2718276978,37.7063217163,0.7997488976,,,,0,0.02,1,3,35,,N,Y,N,N
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,34.7467803955,33.8726196289,1.2362500429,,,,0,0.02,1,3,33,,N,Y,N,N
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,18.5016860962,18.4363250732,0.092433095,,,,0,0.02,1,3,17,,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,37.1408119202,37.7063217163,0.7997488976,,,,0,0.02,1,3,35,,N,Y,N,N
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,32.9984588623,33.8726196289,1.2362500429,,,,0,0.02,1,3,31,,N,Y,N,N
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,18.9559803009,18.912071228,0.0620954558,,,,0,0.02,1,3,17,,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,35.108833313,34.7826461792,0.4612955749,,,,0,0.02,1,3,31,,N,N,N,N
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,28.500038147,28.7278385162,0.3221583664,,,,0,0.02,1,3,26,,N,N,N,N
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,18.8681640625,18.912071228,0.0620954558,,,,0,0.02,1,3,17,,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,34.4564628601,34.7826461792,0.4612955749,,,,0,0.02,1,3,32,,N,N,N,N
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,28.9556388855,28.7278385162,0.3221583664,,,,0,0.02,1,3,27,,N,N,N,N
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,17.5414447784,17.5485515594,0.0100505063,,,,0,0.02,1,3,16,,N,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,35.7101974487,34.9358100891,1.0951491594,,,,0,0.02,1,3,34,,N,Y,N,N
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,32.6755256653,32.0639038086,0.8649612069,,,,0,0.02,1,3,31,,N,Y,N,N
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,17.5556583405,17.5485515594,0.0100505063,,,,0,0.02,1,3,16,,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,34.1614227295,34.9358100891,1.0951491594,,,,0,0.02,1,3,32,,N,Y,N,N
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,31.4522857666,32.0639038086,0.8649612069,,,,0,0.02,1,3,29,,N,Y,N,N
D9,Sample 18,Ssid,UNKNOWN,SYBR,None,17.3353118896,17.2166290283,0.1678442657,,,,0,0.02,1,3,14,,N,N,N,N
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,33.7100601196,35.1242828369,2.0000157356,,,,0,0.02,1,3,32,,N,Y,Y,Y
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,Y
D11,Sample 18,Ssid,UNKNOWN,SYBR,None,17.0979442596,17.2166290283,0.1678442657,,,,0,0.02,1,3,15,,N,N,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,36.5385093689,35.1242828369,2.0000157356,,,,0,0.02,1,3,35,,N,Y,N,Y
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,19.2031955719,19.176399231,0.0378944017,,,,0,0.02,1,3,17,,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.7203483582,,,,,0,0.02,1,3,39,,N,N,Y,Y
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,31.4097137451,31.129989624,0.3955896497,,,,0,0.02,1,3,29,,N,N,Y,Y
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,19.1496047974,19.176399231,0.0378944017,,,,0,0.02,1,3,18,,N,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,37.7203483582,37.7203483582,,,,,0,0.02,1,3,33,,N,N,N,N
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,30.8502655029,31.129989624,0.3955896497,,,,0,0.02,1,3,29,,N,N,N,N
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,19.8610858917,19.7130641937,0.209334299,,,,0,0.02,1,3,18,,N,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,38.3815231323,37.4919395447,1.2580611706,,,,0,0.02,1,3,33,,N,Y,N,N
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,30.8090858459,30.6595134735,0.2115272731,,,,0,0.02,1,3,29,,N,Y,N,N
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,19.5650424957,19.7130641937,0.209334299,,,,0,0.02,1,3,18,,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,36.602355957,37.4919395447,1.2580611706,,,,0,0.02,1,3,33,,N,Y,N,N
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,30.5099411011,30.6595134735,0.2115272731,,,,0,0.02,1,3,29,,N,Y,N,N
E9,Sample 19,Ssid,UNKNOWN,SYBR,None,18.4138793945,18.4017486572,0.0171568021,,,,0,0.02,1,3,17,,N,N,N,N
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,33.8304634094,35.2266540527,1.9745144844,,,,0,0.02,1,3,32,,N,Y,Y,Y
E10,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,Y
E11,Sample 19,Ssid,UNKNOWN,SYBR,None,18.3896160126,18.4017486572,0.0171568021,,,,0,0.02,1,3,16,,N,N,N,N
E12,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,36.6228485107,35.2266540527,1.9745144844,,,,0,0.02,1,3,35,,N,Y,N,Y
