Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate30_CD.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-13 11:44:41 AM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,33.7167205811,34.4347190857,1.0154032707,,,,0,0.02,1,3,32,,Y,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,31.6409835815,32.5115661621,1.2311897278,,,,0,0.02,1,3,30,,Y,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,19.2240982056,19.4574127197,0.3299565613,,,,0,0.02,1,3,17,,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,33.3927459717,34.3168945313,1.3069434166,,,,0,0.02,1,3,31,,Y,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,32.4976043701,33.4346542358,1.3251913786,,,,0,0.02,1,3,30,,Y,N,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,19.6907272339,19.4574127197,0.3299565613,,,,0,0.02,1,3,17,,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,35.2410430908,34.3168945313,1.3069434166,,,,0,0.02,1,3,34,,Y,N,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,34.3717079163,33.4346542358,1.3251913786,,,,0,0.02,1,3,32,,Y,N,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,20.4631252289,20.4283866882,0.0491277166,,,,0,0.02,1,3,17,,N,N,N
