Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate37_CD.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-28 16:30:23 PM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,30.7592830658,30.7151069641,0.0624744408,,,,0,0.02,1,3,29,,N,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,28.5188999176,28.4427680969,0.1076680049,,,,0,0.02,1,3,26,,N,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,21.0066738129,21.1622409821,0.2200051993,,,,0,0.02,1,3,19,,N,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,26.3597698212,26.6248435974,0.3748709261,,,,0,0.02,1,3,25,,N,N,N,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,30.3357200623,30.2683639526,0.0952545777,,,,0,0.02,1,3,29,,N,N,N,N,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,21.3178081512,21.1622409821,0.2200051993,,,,0,0.02,1,3,19,,N,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,26.8899173737,26.6248435974,0.3748709261,,,,0,0.02,1,3,25,,N,N,N,N,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,30.2010097504,30.2683639526,0.0952545777,,,,0,0.02,1,3,28,,N,N,N,N,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,22.7797927856,22.5413742065,0.3371734321,,,,0,0.02,1,3,21,,N,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,30.270740509,30.7344303131,0.6557564139,,,,0,0.02,1,3,29,,N,Y,N,N,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,30.281835556,30.6718521118,0.5515680313,,,,0,0.02,1,3,28,,N,Y,N,N,N
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,22.3029575348,22.5413742065,0.3371734321,,,,0,0.02,1,3,19,,N,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,31.1981201172,30.7344303131,0.6557564139,,,,0,0.02,1,3,29,,N,Y,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,31.061870575,30.6718521118,0.5515680313,,,,0,0.02,1,3,29,,N,Y,N,N,N
A11,+,Ssid,UNKNOWN,SYBR,None,20.1001110077,20.1939048767,0.1326432079,,,,0,0.02,1,3,18,,N,N,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,23.2535591125,23.181684494,0.1016460583,,,,0,0.02,1,3,21,,N,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.5366744995,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,27.634141922,27.5835170746,0.0715943426,,,,0,0.02,1,3,25,,N,N,Y,N,Y
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,23.1098098755,23.181684494,0.1016460583,,,,0,0.02,1,3,21,,N,N,N,N,N
