Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate38_CD.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-30 10:16:59 AM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,30.19414711,30.0453033447,0.2104982138,,,,0,0.02,1,3,29,,N,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,28.1267471313,27.8849544525,0.3419464827,,,,0,0.02,1,3,26,,N,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,21.1680717468,20.9461135864,0.3138948977,,,,0,0.02,1,3,18,,N,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,27.9323577881,28.2389450073,0.4335811436,,,,0,0.02,1,3,26,,N,N,Y,N,Y
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,20.7241573334,20.9461135864,0.3138948977,,,,0,0.02,1,3,19,,N,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,28.5455341339,28.2389450073,0.4335811436,,,,0,0.02,1,3,27,,N,N,Y,N,Y
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,23.6464195251,23.2341270447,0.5830682516,,,,0,0.02,1,3,23,,N,Y,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.0361328125,,,,,0,0.02,1,3,39,,N,N,N,N,Y
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,28.4083862305,28.4638957977,0.0785023794,,,,0,0.02,1,3,26,,N,N,N,N,Y
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,22.8218364716,23.2341270447,0.5830682516,,,,0,0.02,1,3,22,,N,Y,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,35.0361328125,35.0361328125,,,,,0,0.02,1,3,34,,N,N,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,28.519405365,28.4638957977,0.0785023794,,,,0,0.02,1,3,27,,N,N,N,N,N
A11,+,Ssid,UNKNOWN,SYBR,None,23.0072689056,21.6251869202,1.9545590878,,,,0,0.02,1,3,18,,N,Y,N,Y,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,19.3990421295,19.8520889282,0.6407063007,,,,0,0.02,1,3,17,,N,Y,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,31.1697635651,31.0043640137,0.2339116335,,,,0,0.02,1,3,30,,N,N,N,N,N
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,32.4054641724,32.4424362183,0.0522836708,,,,0,0.02,1,3,30,,N,N,N,N,N
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,20.3051376343,19.8520889282,0.6407063007,,,,0,0.02,1,3,19,,N,Y,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,30.8389625549,31.0043640137,0.2339116335,,,,0,0.02,1,3,29,,N,N,N,N,N
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,32.4794044495,32.4424362183,0.0522836708,,,,0,0.02,1,3,30,,N,N,N,N,N
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,22.6254749298,22.2597503662,0.517211318,,,,0,0.02,1,3,21,,N,Y,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.1103210449,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,27.2277832031,27.2627830505,0.0494959094,,,,0,0.02,1,3,25,,N,N,Y,N,Y
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,21.89402771,22.2597503662,0.517211318,,,,0,0.02,1,3,20,,N,Y,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,39.1103210449,39.1103210449,,,,,0,0.02,1,3,38,,N,N,N,N,Y
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,27.2977809906,27.2627830505,0.0494959094,,,,0,0.02,1,3,25,,N,N,N,N,Y
