Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate39_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-29 10:34:04 AM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,30.5613918304,30.1930999756,0.520844698,,,,0,0.02,1,3,29,,Y,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,28.3564949036,28.2694454193,0.1231065616,,,,0,0.02,1,3,26,,Y,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,23.3768672943,25.2326393127,2.6244580746,,,,0,0.02,1,3,22,,Y,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,30.7836265564,31.226064682,0.6257020235,,,,0,0.02,1,3,29,,Y,N,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,39.9422874451,39.9422874451,,,,,0,0.02,1,3,35,,Y,N,N,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,27.0884113312,25.2326393127,2.6244580746,,,,0,0.02,1,3,22,,Y,N,Y,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,31.6685028076,31.226064682,0.6257020235,,,,0,0.02,1,3,30,,Y,N,N,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.9422874451,,,,,0,0.02,1,3,39,,Y,N,N,Y
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,21.1274719238,21.1646080017,0.052519694,,,,0,0.02,1,3,20,,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,34.2517242432,34.3829193115,0.185540542,,,,0,0.02,1,3,29,,Y,N,N,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,27.3366374969,27.7555198669,0.5923891068,,,,0,0.02,1,3,25,,Y,N,N,N
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,21.2017459869,21.1646080017,0.052519694,,,,0,0.02,1,3,20,,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,34.5141181946,34.3829193115,0.185540542,,,,0,0.02,1,3,31,,Y,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,28.1744022369,27.7555198669,0.5923891068,,,,0,0.02,1,3,26,,Y,N,N,N
A11,+,Ssid,UNKNOWN,SYBR,None,20.0527420044,19.914478302,0.1955344081,,,,0,0.02,1,3,19,,N,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,23.7511844635,23.6760540009,0.1062505171,,,,0,0.02,1,3,23,,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,27.5453586578,27.492855072,0.0742499381,,,,0,0.02,1,3,26,,N,N,N,N
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,38.2011108398,38.2011108398,,,,,0,0.02,1,3,35,,N,N,N,N
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,23.6009235382,23.6760540009,0.1062505171,,,,0,0.02,1,3,22,,N,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,27.4403533936,27.492855072,0.0742499381,,,,0,0.02,1,3,26,,N,Y,N,Y
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.2011108398,,,,,0,0.02,1,3,39,,N,Y,N,Y
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,24.6559867859,23.7687091827,1.254799962,,,,0,0.02,1,3,21,,Y,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.1657943726,,,,,0,0.02,1,3,39,,N,Y,N,Y
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,26.7969703674,26.9305915833,0.1889675856,,,,0,0.02,1,3,25,,N,Y,N,Y
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,22.8814315796,23.7687091827,1.254799962,,,,0,0.02,1,3,21,,Y,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,34.1657943726,34.1657943726,,,,,0,0.02,1,3,29,,N,N,N,N
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,27.0642108917,26.9305915833,0.1889675856,,,,0,0.02,1,3,25,,N,N,N,N
B9,Sample 16,Ssid,UNKNOWN,SYBR,None,19.6505947113,20.8103694916,1.6401692629,,,,0,0.02,1,3,18,,Y,N,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,27.2952690125,27.636844635,0.4830622375,,,,0,0.02,1,3,26,,N,N,N,N
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,33.3045768738,33.3301544189,0.0361721106,,,,0,0.02,1,3,31,,N,N,N,N
B11,Sample 16,Ssid,UNKNOWN,SYBR,None,21.9701442719,20.8103694916,1.6401692629,,,,0,0.02,1,3,18,,Y,N,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,27.9784221649,27.636844635,0.4830622375,,,,0,0.02,1,3,26,,N,N,N,N
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,33.3557319641,33.3301544189,0.0361721106,,,,0,0.02,1,3,32,,N,N,N,N
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,20.1972503662,20.264383316,0.0949403271,,,,0,0.02,1,3,18,,N,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,26.9563503265,27.0432395935,0.1228786334,,,,0,0.02,1,3,25,,N,N,N,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,20.3315162659,20.264383316,0.0949403271,,,,0,0.02,1,3,20,,N,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,27.1301269531,27.0432395935,0.1228786334,,,,0,0.02,1,3,25,,N,N,N,Y
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,22.9333972931,23.2922210693,0.5074521303,,,,0,0.02,1,3,22,,Y,N,N,N
