Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate7_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-01-25 12:51:59 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,12.8486776352,,,,,,0,0.02,1,3,39,,Y,N,N,N
A2,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A2,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,20.3285293579,20.124797821,0.2881199121,,,,0,0.02,1,3,19,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,26.3250656128,26.4046821594,0.1125947982,,,,0,0.02,1,3,24,,N,Y,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,32.827960968,32.175868988,0.9221986532,,,,0,0.02,1,3,31,,N,Y,N,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,19.9210662842,20.124797821,0.2881199121,,,,0,0.02,1,3,17,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,26.4842987061,26.4046821594,0.1125947982,,,,0,0.02,1,3,25,,N,Y,N,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,31.5237751007,32.175868988,0.9221986532,,,,0,0.02,1,3,29,,N,Y,N,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,20.4991664886,20.478313446,0.0294893067,,,,0,0.02,1,3,19,,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,29.4815292358,29.6141471863,0.1875487566,,,,0,0.02,1,3,27,,N,N,N,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,31.6159610748,31.6760292053,0.0849505141,,,,0,0.02,1,3,29,,N,N,N,N
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,20.4574623108,20.478313446,0.0294893067,,,,0,0.02,1,3,18,,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,29.7467632294,29.6141471863,0.1875487566,,,,0,0.02,1,3,28,,N,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,31.7360992432,31.6760292053,0.0849505141,,,,0,0.02,1,3,29,,N,N,N,N
A11,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,21.1732654572,20.1825942993,1.4010206461,,,,0,0.02,1,3,20,,N,Y,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,26.6730251312,26.6641464233,0.0125550404,,,,0,0.02,1,3,25,,N,N,Y,Y
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,19.1919231415,20.1825942993,1.4010206461,,,,0,0.02,1,3,16,,N,Y,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,26.6552696228,26.6641464233,0.0125550404,,,,0,0.02,1,3,25,,N,N,Y,Y
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,20.3360385895,20.0691947937,0.3773754537,,,,0,0.02,1,3,19,,N,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,26.012928009,26.2384376526,0.3189187944,,,,0,0.02,1,3,24,,N,N,N,N
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,33.09167099,33.1753234863,0.1182997972,,,,0,0.02,1,3,31,,N,N,N,N
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,19.8023490906,20.0691947937,0.3773754537,,,,0,0.02,1,3,18,,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,26.4639472961,26.2384376526,0.3189187944,,,,0,0.02,1,3,25,,N,N,N,N
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,33.258972168,33.1753234863,0.1182997972,,,,0,0.02,1,3,31,,N,N,N,N
B9,Sample 16,Ssid,UNKNOWN,SYBR,None,20.8869667053,21.0722141266,0.2619794011,,,,0,0.02,1,3,19,,N,N,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,29.3450202942,29.5446472168,0.2823164463,,,,0,0.02,1,3,27,,N,N,N,N
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,30.162853241,30.4329452515,0.3819691241,,,,0,0.02,1,3,28,,N,N,N,N
B11,Sample 16,Ssid,UNKNOWN,SYBR,None,21.2574615479,21.0722141266,0.2619794011,,,,0,0.02,1,3,20,,N,N,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,29.7442760468,29.5446472168,0.2823164463,,,,0,0.02,1,3,28,,N,N,N,N
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,30.7030391693,30.4329452515,0.3819691241,,,,0,0.02,1,3,29,,N,N,N,N
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,20.4168186188,20.4582939148,0.0586535782,,,,0,0.02,1,3,19,,N,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,26.9147415161,27.0320396423,0.1658859551,,,,0,0.02,1,3,25,,N,N,N,Y
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,20.4997673035,20.4582939148,0.0586535782,,,,0,0.02,1,3,19,,N,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,27.1493396759,27.0320396423,0.1658859551,,,,0,0.02,1,3,25,,N,N,Y,Y
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,20.811750412,20.7399559021,0.1015327722,,,,0,0.02,1,3,20,,N,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,34.7121353149,34.0784912109,0.8961080909,,,,0,0.02,1,3,34,,N,Y,N,N
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,27.3304042816,27.4914474487,0.2277480811,,,,0,0.02,1,3,25,,N,Y,N,N
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,20.6681613922,20.7399559021,0.1015327722,,,,0,0.02,1,3,19,,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,33.4448471069,34.0784912109,0.8961080909,,,,0,0.02,1,3,32,,N,Y,N,N
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,27.6524887085,27.4914474487,0.2277480811,,,,0,0.02,1,3,26,,N,Y,N,N
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,18.6764259338,18.9215927124,0.3467195332,,,,0,0.02,1,3,17,,N,N,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,25.9852275848,26.0999908447,0.1623011082,,,,0,0.02,1,3,24,,N,N,Y,Y
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,19.1667613983,18.9215927124,0.3467195332,,,,0,0.02,1,3,17,,N,N,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,26.214756012,26.0999908447,0.1623011082,,,,0,0.02,1,3,24,,N,N,N,Y
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,22.1385955811,22.306180954,0.2370015085,,,,0,0.02,1,3,21,,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,33.8660812378,35.4000701904,2.1693880558,,,,0,0.02,1,3,32,,N,Y,N,N
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,28.8508739471,28.9330558777,0.1162227988,,,,0,0.02,1,3,27,,N,Y,N,N
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,22.4737663269,22.306180954,0.2370015085,,,,0,0.02,1,3,20,,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,36.9340591431,35.4000701904,2.1693880558,,,,0,0.02,1,3,35,,N,Y,N,N
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,29.0152378082,28.9330558777,0.1162227988,,,,0,0.02,1,3,27,,N,Y,N,N
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,20.2491168976,20.070098877,0.2531697154,,,,0,0.02,1,3,18,,N,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,34.2679977417,37.0307884216,3.9071760178,,,,0,0.02,1,3,34,,N,Y,N,N
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,26.8919525146,29.0758266449,3.0884644985,,,,0,0.02,1,3,25,,N,Y,N,N
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,19.8910808563,20.070098877,0.2531697154,,,,0,0.02,1,3,17,,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,39.7935791016,37.0307884216,3.9071760178,,,,0,0.02,1,3,39,,N,Y,N,Y
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,31.2597007751,29.0758266449,3.0884644985,,,,0,0.02,1,3,29,,N,Y,N,Y
D9,Sample 18,Ssid,UNKNOWN,SYBR,None,19.6905174255,19.6359825134,0.0771253631,,,,0,0.02,1,3,18,,N,N,N,N
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,28.0051555634,28.2495040894,0.3455596566,,,,0,0.02,1,3,26,,N,N,N,Y
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
D11,Sample 18,Ssid,UNKNOWN,SYBR,None,19.581445694,19.6359825134,0.0771253631,,,,0,0.02,1,3,17,,N,N,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,28.493850708,28.2495040894,0.3455596566,,,,0,0.02,1,3,27,,N,N,N,Y
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,20.4148025513,20.5503406525,0.1916798204,,,,0,0.02,1,3,19,,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,36.6722984314,36.6722984314,,,,,0,0.02,1,3,35,,N,N,N,N
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,28.4361209869,28.3692398071,0.0945829228,,,,0,0.02,1,3,26,,N,N,N,N
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,20.6858787537,20.5503406525,0.1916798204,,,,0,0.02,1,3,19,,N,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.6722984314,,,,,0,0.02,1,3,39,,N,N,Y,Y
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,28.3023605347,28.3692398071,0.0945829228,,,,0,0.02,1,3,26,,N,N,Y,Y
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,19.838727951,19.8859367371,0.0667646527,,,,0,0.02,1,3,18,,N,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,38.9568099976,,,,,0,0.02,1,3,39,,N,N,Y,Y
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,27.8078422546,27.6196804047,0.2661010325,,,,0,0.02,1,3,26,,N,N,Y,Y
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,19.9331474304,19.8859367371,0.0667646527,,,,0,0.02,1,3,18,,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,38.9568099976,38.9568099976,,,,,0,0.02,1,3,39,,N,N,N,Y
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,27.4315185547,27.6196804047,0.2661010325,,,,0,0.02,1,3,25,,N,N,N,Y
E9,Sample 19,Ssid,UNKNOWN,SYBR,None,19.5221672058,19.3288650513,0.2733691931,,,,0,0.02,1,3,17,,N,N,N,N
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,26.561674118,26.8034496307,0.3419222236,,,,0,0.02,1,3,25,,N,N,N,Y
