Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate9_CD.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-01-26 18:49:47 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N
A2,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N
A2,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,19.6563625336,19.4886932373,0.2371188402,,,,0,0.02,1,3,17,,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,26.2288208008,26.5866317749,0.506021142,,,,0,0.02,1,3,24,,Y,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,31.8762016296,32.1840744019,0.4353978634,,,,0,0.02,1,3,30,,Y,N,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,19.3210258484,19.4886932373,0.2371188402,,,,0,0.02,1,3,17,,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,26.944442749,26.5866317749,0.506021142,,,,0,0.02,1,3,25,,Y,N,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,32.4919471741,32.1840744019,0.4353978634,,,,0,0.02,1,3,31,,Y,N,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,20.3658542633,20.5181713104,0.2154088318,,,,0,0.02,1,3,19,,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,35.6097450256,34.2807693481,1.8794580698,,,,0,0.02,1,3,30,,Y,N,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,27.9360160828,27.7278423309,0.2944021523,,,,0,0.02,1,3,26,,Y,N,N
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,20.6704883575,20.5181713104,0.2154088318,,,,0,0.02,1,3,19,,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,32.951789856,34.2807693481,1.8794580698,,,,0,0.02,1,3,30,,Y,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,27.5196685791,27.7278423309,0.2944021523,,,,0,0.02,1,3,25,,Y,N,N
A11,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,19.3360557556,19.190322876,0.2060974091,,,,0,0.02,1,3,17,,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,25.8639373779,25.8318347931,0.0453999117,,,,0,0.02,1,3,24,,N,Y,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,19.0445899963,19.190322876,0.2060974091,,,,0,0.02,1,3,17,,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,25.7997322083,25.8318347931,0.0453999117,,,,0,0.02,1,3,24,,N,Y,Y
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,20.3582611084,20.0717658997,0.4051654041,,,,0,0.02,1,3,18,,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,29.2643566132,29.3105716705,0.0653579608,,,,0,0.02,1,3,28,,N,N,N
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,35.2747192383,35.3067245483,0.0452623442,,,,0,0.02,1,3,33,,N,N,N
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,19.7852706909,20.0717658997,0.4051654041,,,,0,0.02,1,3,18,,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,29.3567867279,29.3105716705,0.0653579608,,,,0,0.02,1,3,28,,N,N,N
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,35.3387298584,35.3067245483,0.0452623442,,,,0,0.02,1,3,33,,N,N,N
B9,Sample 16,Ssid,UNKNOWN,SYBR,None,20.0929775238,20.1448402405,0.0733463094,,,,0,0.02,1,3,18,,N,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,33.2330970764,32.8960494995,0.4766599536,,,,0,0.02,1,3,32,,N,N,N
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,26.6423301697,26.9675750732,0.4599657655,,,,0,0.02,1,3,25,,N,N,N
B11,Sample 16,Ssid,UNKNOWN,SYBR,None,20.1967048645,20.1448402405,0.0733463094,,,,0,0.02,1,3,19,,N,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,32.5589981079,32.8960494995,0.4766599536,,,,0,0.02,1,3,29,,N,N,N
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,27.2928199768,26.9675750732,0.4599657655,,,,0,0.02,1,3,25,,N,N,N
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,19.2717132568,19.4420051575,0.2408304662,,,,0,0.02,1,3,17,,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,24.7604827881,24.838558197,0.1104139537,,,,0,0.02,1,3,22,,N,N,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,19.6122989655,19.4420051575,0.2408304662,,,,0,0.02,1,3,17,,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,24.9166316986,24.838558197,0.1104139537,,,,0,0.02,1,3,23,,N,N,Y
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,20.3291912079,20.3401584625,0.0155100403,,,,0,0.02,1,3,19,,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,32.1576385498,,,,,0,0.02,1,3,39,,N,N,Y
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,25.7084789276,25.8194618225,0.1569548696,,,,0,0.02,1,3,24,,N,N,Y
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,20.3511257172,20.3401584625,0.0155100403,,,,0,0.02,1,3,19,,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,32.1576385498,32.1576385498,,,,,0,0.02,1,3,28,,N,N,N
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,25.9304466248,25.8194618225,0.1569548696,,,,0,0.02,1,3,24,,N,N,N
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,20.2882843018,20.2513332367,0.0522566959,,,,0,0.02,1,3,19,,N,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,26.0893096924,26.3915958405,0.4274971783,,,,0,0.02,1,3,24,,N,N,N
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,31.8482379913,32.074848175,0.3204738498,,,,0,0.02,1,3,30,,N,N,N
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,20.2143821716,20.2513332367,0.0522566959,,,,0,0.02,1,3,18,,N,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,26.6938819885,26.3915958405,0.4274971783,,,,0,0.02,1,3,25,,N,N,N
