"","Sample","Treatment","Replicate","Genotype","Fragment","Date","Days","A.Acer","logA.SH","Colony","DaysF","Colony_Day","Control.A.H","Control_A.Acer"
"226","240_2018-02-05","NP","R1","F",240,2018-02-05,82,0.873687158676794,-0.05864404743668,"F","82","F_82",NA,NA
"227","283_2018-02-05","NP","R1","Green",283,2018-02-05,82,0.126235421550267,-0.898818765334852,"Green","82","Green_82",0.628371080958378,-0.502135659408111
"228","159_2018-02-05","NP","R1","Orange",159,2018-02-05,82,0.108569343218981,-0.964292789391766,"Orange","82","Orange_82",0.0821092570195847,0.0264600861993966
"229","269_2018-02-05","NP","R1","Red and Orange",269,2018-02-05,82,0.607597858959038,-0.216383765164606,"Red and Orange","82","Red and Orange_82",0.247867879686341,0.359729979272697
"230","290_2018-02-05","Control","R2","Green",290,2018-02-05,82,0.628371080958378,-0.201783810374902,"Green","82","Green_82",0.628371080958378,0
"231","223_2018-02-05","Control","R2","Green and Orange",223,2018-02-05,82,0.329805803594135,-0.481741706342404,"Green and Orange","82","Green and Orange_82",0.204682946047573,0.125122857546563
"232","270_2018-02-05","Control","R2","Red and Orange",270,2018-02-05,82,0.0674372114209867,-1.17110039641292,"Red and Orange","82","Red and Orange_82",0.247867879686341,-0.180430668265354
"233","180_2018-02-05","N","R2","Green",180,2018-02-05,82,0.160338044713271,-0.794963416830777,"Green","82","Green_82",0.628371080958378,-0.468033036245107
"234","218_2018-02-05","N","R2","Green and Orange",218,2018-02-05,82,0.153062066849362,-0.815132426540264,"Green and Orange","82","Green and Orange_82",0.204682946047573,-0.0516208791982112
"235","246_2018-02-05","N","R2","Orange",246,2018-02-05,82,0.0372062472081297,-1.42938413269262,"Orange","82","Orange_82",0.0821092570195847,-0.044903009811455
"236","129_2018-02-05","Control","R1","Green and Orange",129,2018-02-05,82,0.0795600885010101,-1.09930474244706,"Green and Orange","82","Green and Orange_82",0.204682946047573,-0.125122857546563
"237","149_2018-02-05","Control","R1","Orange",149,2018-02-05,82,0.0821092570195847,-1.08560787764435,"Orange","82","Orange_82",0.0821092570195847,0
"238","267_2018-02-05","Control","R1","Red and Orange",267,2018-02-05,82,0.428298547951695,-0.368253397977083,"Red and Orange","82","Red and Orange_82",0.247867879686341,0.180430668265354
"239","183_2018-02-05","N","R1","Green",183,2018-02-05,82,0.71632623762605,-0.14488914119441,"Green","82","Green_82",0.628371080958378,0.087955156667672
"240","227_2018-02-05","N","R1","Green and Orange",227,2018-02-05,82,0.876112895070457,-0.0574399274540226,"Green and Orange","82","Green and Orange_82",0.204682946047573,0.671429949022885
"241","158_2018-02-05","N","R1","Orange",158,2018-02-05,82,0.60173020862185,-0.220598185103902,"Orange","82","Orange_82",0.0821092570195847,0.519620951602266
"242","268_2018-02-05","N","R1","Red and Orange",268,2018-02-05,82,0.0520733377043393,-1.28338458479559,"Red and Orange","82","Red and Orange_82",0.247867879686341,-0.195794541982002
"243","234_2018-02-05","N","R2","Yellow",234,2018-02-05,82,0.203300925956245,-0.691860643315863,"Yellow","82","Yellow_82",NA,NA
"255","121_2018-02-05","NP","R2","Green and Orange",121,2018-02-05,82,0.518598051667894,-0.285169119173825,"Green and Orange","82","Green and Orange_82",0.204682946047573,0.313915105620321
"256","266_2018-02-05","NP","R2","Red and Orange",266,2018-02-05,82,0.206997993907092,-0.684033863428599,"Red and Orange","82","Red and Orange_82",0.247867879686341,-0.0408698857792492
"426","265_2018-02-05","N","R2","Red and Orange",265,2018-02-05,82,0.104110587175442,-0.982505104129438,"Red and Orange","82","Red and Orange_82",0.247867879686341,-0.143757292510899
