"","Sample","Treatment","Replicate","Genotype","Fragment","Date","Days","A.Acer","logA.SH","Colony","DaysF","Colony_Day","Control.A.H","Control_A.Acer"
"1","234_2017-12-14","N","R2","Yellow",234,2017-12-14,29,0.0292999633606715,-1.53313292272671,"Yellow","29","Yellow_29",0.21663192180289,-0.187331958442218
"2","118_2017-12-14","NP","R1","Green and Orange",118,2017-12-14,29,0.0414507688143585,-1.38246740989689,"Green and Orange","29","Green and Orange_29",0.0961645252561028,-0.0547137564417443
"3","124_2017-12-14","NP","R1","Green and Orange",124,2017-12-14,29,0.088421601243879,-1.05344162463616,"Green and Orange","29","Green and Orange_29",0.0961645252561028,-0.00774292401222375
"4","216_2017-12-14","NP","R1","Green and Orange",216,2017-12-14,29,0.0589462019823748,-1.22954417209959,"Green and Orange","29","Green and Orange_29",0.0961645252561028,-0.037218323273728
"5","222_2017-12-14","NP","R1","Green and Orange",222,2017-12-14,29,0.115586328427005,-0.937093531312032,"Green and Orange","29","Green and Orange_29",0.0961645252561028,0.0194218031709027
"6","228_2017-12-14","NP","R1","Green and Orange",228,2017-12-14,29,0.0708073370787419,-1.14992173824647,"Green and Orange","29","Green and Orange_29",0.0961645252561028,-0.0253571881773608
"7","151_2017-12-14","NP","R1","Orange",151,2017-12-14,29,0.0613855402860075,-1.21193391735325,"Orange","29","Orange_29",0.0752477451956641,-0.0138622049096566
"8","159_2017-12-14","NP","R1","Orange",159,2017-12-14,29,0.0358481547773835,-1.4455331939885,"Orange","29","Orange_29",0.0752477451956641,-0.0393995904182806
"9","250_2017-12-14","NP","R1","Orange",250,2017-12-14,29,0.0517084070252806,-1.28643884128008,"Orange","29","Orange_29",0.0752477451956641,-0.0235393381703836
"10","165_2017-12-14","NP","R1","Red and Orange",165,2017-12-14,29,0.042778884417585,-1.36877054509418,"Red and Orange","29","Red and Orange_29",0.0719885226058894,-0.0292096381883044
"11","171_2017-12-14","NP","R1","Red and Orange",171,2017-12-14,29,0.0542039827533576,-1.26596880157493,"Red and Orange","29","Red and Orange_29",0.0719885226058894,-0.0177845398525318
"12","138_2017-12-14","NP","R1","F",138,2017-12-14,29,0.0298948891327022,-1.52440305285246,"F","29","F_29",0.0809820559993821,-0.0510871668666799
"13","263_2017-12-14","NP","R1","Red and Orange",263,2017-12-14,29,0.0460084502211373,-1.33716239554946,"Red and Orange","29","Red and Orange_29",0.0719885226058894,-0.0259800723847521
"14","269_2017-12-14","NP","R1","Red and Orange",269,2017-12-14,29,0.0449212745098001,-1.34754793039987,"Red and Orange","29","Red and Orange_29",0.0719885226058894,-0.0270672480960893
"15","101_2017-12-14","NP","R1","Red and Yellow",101,2017-12-14,29,0.0400665658639896,-1.39721787968443,"Red and Yellow","29","Red and Yellow_29",0.0876554263317874,-0.0475888604677979
"16","191_2017-12-14","NP","R1","F",191,2017-12-14,29,0.0305759825606694,-1.51461957799338,"F","29","F_29",0.0809820559993821,-0.0504060734387127
"17","240_2017-12-14","NP","R1","F",240,2017-12-14,29,0.0457857565234402,-1.33926960551911,"F","29","F_29",0.0809820559993821,-0.0351962994759419
"18","178_2017-12-14","NP","R1","Green",178,2017-12-14,29,0.0451710628683136,-1.34513969043456,"Green","29","Green_29",0.098239578397409,-0.0530685155290954
"19","276_2017-12-14","NP","R1","Green",276,2017-12-14,29,0.104461459491053,-0.981043910678972,"Green","29","Green_29",0.098239578397409,0.00622188109364392
