"","Sample","Treatment","Replicate","Genotype","Fragment","Date","Days","A.Acer","logA.SH"
"1","234_2017-12-14","N","R2","Yellow",234,2017-12-14,29,0.0292999633606715,-1.53313292272671
"2","118_2017-12-14","NP","R1","Green and Orange",118,2017-12-14,29,0.0414507688143585,-1.38246740989689
"3","124_2017-12-14","NP","R1","Green and Orange",124,2017-12-14,29,0.088421601243879,-1.05344162463616
"4","216_2017-12-14","NP","R1","Green and Orange",216,2017-12-14,29,0.0589462019823748,-1.22954417209959
"5","222_2017-12-14","NP","R1","Green and Orange",222,2017-12-14,29,0.115586328427005,-0.937093531312032
"6","228_2017-12-14","NP","R1","Green and Orange",228,2017-12-14,29,0.0708073370787419,-1.14992173824647
"7","151_2017-12-14","NP","R1","Orange",151,2017-12-14,29,0.0613855402860075,-1.21193391735325
"8","159_2017-12-14","NP","R1","Orange",159,2017-12-14,29,0.0358481547773835,-1.4455331939885
"9","250_2017-12-14","NP","R1","Orange",250,2017-12-14,29,0.0517084070252806,-1.28643884128008
"10","165_2017-12-14","NP","R1","Red and Orange",165,2017-12-14,29,0.042778884417585,-1.36877054509418
"11","171_2017-12-14","NP","R1","Red and Orange",171,2017-12-14,29,0.0542039827533576,-1.26596880157493
"12","138_2017-12-14","NP","R1","F",138,2017-12-14,29,0.0298948891327022,-1.52440305285246
"13","263_2017-12-14","NP","R1","Red and Orange",263,2017-12-14,29,0.0460084502211373,-1.33716239554946
"14","269_2017-12-14","NP","R1","Red and Orange",269,2017-12-14,29,0.0449212745098001,-1.34754793039987
"15","101_2017-12-14","NP","R1","Red and Yellow",101,2017-12-14,29,0.0400665658639896,-1.39721787968443
"16","191_2017-12-14","NP","R1","F",191,2017-12-14,29,0.0305759825606694,-1.51461957799338
"17","240_2017-12-14","NP","R1","F",240,2017-12-14,29,0.0457857565234402,-1.33926960551911
"18","178_2017-12-14","NP","R1","Green",178,2017-12-14,29,0.0451710628683136,-1.34513969043456
"19","276_2017-12-14","NP","R1","Green",276,2017-12-14,29,0.104461459491053,-0.981043910678972
"20","283_2017-12-14","NP","R1","Green",283,2017-12-14,29,0.0673603138613933,-1.17159589793427
"21","289_2017-12-14","NP","R1","Green",289,2017-12-14,29,0.0659054996958216,-1.18107834279769
"22","107_2017-12-14","NP","R1","Red and Yellow",107,2017-12-14,29,0.0308848400812167,-1.51025464305625
"23","121_2017-12-14","NP","R2","Green and Orange",121,2017-12-14,29,0.0288565506919946,-1.53975558263132
"24","128_2017-12-14","NP","R2","Green and Orange",128,2017-12-14,29,0.0437838512583899,-1.35868604023944
"25","219_2017-12-14","NP","R2","Green and Orange",219,2017-12-14,29,0.00661080956190715,-2.17974535341295
"26","225_2017-12-14","NP","R2","Green and Orange",225,2017-12-14,29,0.0387017515432876,-1.41226937946763
"27","229_2017-12-14","NP","R2","Green and Orange",229,2017-12-14,29,0.0264340753075188,-1.57783587708281
"28","155_2017-12-14","NP","R2","Orange",155,2017-12-14,29,0.0167411526250012,-1.77621464422538
"29","247_2017-12-14","NP","R2","Orange",247,2017-12-14,29,0.00415349827558353,-2.38158596550565
"30","168_2017-12-14","NP","R2","Red and Orange",168,2017-12-14,29,0.0262787902167171,-1.58039463204596
"31","175_2017-12-14","NP","R2","Red and Orange",175,2017-12-14,29,0.0315994371338486,-1.50032065319934
"32","266_2017-12-14","NP","R2","Red and Orange",266,2017-12-14,29,0.0102200259577784,-1.99054800113813
"33","300_2017-12-14","NP","R1","Red and Yellow",300,2017-12-14,29,0.0414076939858323,-1.38291895489039
"34","272_2017-12-14","NP","R2","Red and Orange",272,2017-12-14,29,0.0282137583633712,-1.5495390574904
"35","104_2017-12-14","NP","R2","Red and Yellow",104,2017-12-14,29,0.0310028073712854,-1.5085989780801
"36","110_2017-12-14","NP","R2","Red and Yellow",110,2017-12-14,29,0.024081059374601,-1.61832441149962
"37","145_2017-12-14","NP","R1","Yellow",145,2017-12-14,29,0.0547515140611012,-1.2616038666378
"38","140_2017-12-14","NP","R2","F",140,2017-12-14,29,0.0210146999919518,-1.67747680564759
"39","237_2017-12-14","NP","R2","F",237,2017-12-14,29,0.0267103496310223,-1.57332042714786
"40","181_2017-12-14","NP","R2","Green",181,2017-12-14,29,0.013112100892536,-1.88232771769693
"41","188_2017-12-14","NP","R2","Green",188,2017-12-14,29,0.0116910042400497,-1.93214818197932
"42","280_2017-12-14","NP","R2","Green",280,2017-12-14,29,0.0405555359659922,-1.39194985476031
"43","286_2017-12-14","NP","R2","Green",286,2017-12-14,29,0.0349768134872892,-1.45621975883457
"44","137_2018-01-29","Control","R1","F",137,2018-01-29,75,0.069086262261322,-1.16060830309254
"45","129_2018-01-29","Control","R1","Green and Orange",129,2018-01-29,75,0.394211746512861,-0.404270438986785
"46","220_2018-01-29","Control","R1","Green and Orange",220,2018-01-29,75,0.349906815489626,-0.456047598240989
"47","226_2018-01-29","Control","R1","Green and Orange",226,2018-01-29,75,0.294133430272416,-0.531455612154816
"48","149_2018-01-29","Control","R1","Orange",149,2018-01-29,75,0.165745622246786,-0.78055793356676
"49","157_2018-01-29","Control","R1","Orange",157,2018-01-29,75,0.139665023090281,-0.854912342495765
"50","248_2018-01-29","Control","R1","Orange",248,2018-01-29,75,0.146862978630319,-0.833087667810127
"51","162_2018-01-29","Control","R1","Red and Orange",162,2018-01-29,75,0.209140253444475,-0.679562370021495
"52","169_2018-01-29","Control","R1","Red and Orange",169,2018-01-29,75,0.219461940363553,-0.658640785322849
"53","261_2018-01-29","Control","R1","Red and Orange",261,2018-01-29,75,0.280785953499047,-0.551624621864304
"54","267_2018-01-29","Control","R1","Red and Orange",267,2018-01-29,75,0.360118262904026,-0.443554853420934
"55","291_2018-01-29","Control","R1","F",291,2018-01-29,75,0.144289944810806,-0.840763932699558
"56","273_2018-01-29","Control","R1","Red and Orange",273,2018-01-29,75,0.147935753171273,-0.829926852855653
"57","105_2018-01-29","Control","R1","Red and Yellow",105,2018-01-29,75,0.0455483521334621,-1.34152733048659
"58","204_2018-01-29","Control","R1","Red and Yellow",204,2018-01-29,75,0.050908228389566,-1.29321201618252
"59","176_2018-01-29","Control","R1","Green",176,2018-01-29,75,0.240655728579043,-0.61860379589954
"60","182_2018-01-29","Control","R1","Green",182,2018-01-29,75,0.232538688802757,-0.633504780684906
"61","189_2018-01-29","Control","R1","Green",189,2018-01-29,75,0.345568272403161,-0.461466138162941
"62","281_2018-01-29","Control","R1","Green",281,2018-01-29,75,0.359619378866788,-0.444156913412261
"63","287_2018-01-29","Control","R1","Green",287,2018-01-29,75,0.383564916010866,-0.416161123815512
"64","116_2018-01-29","Control","R1","Green and Orange",116,2018-01-29,75,0.21839968352229,-0.660747995292495
"65","122_2018-01-29","Control","R1","Green and Orange",122,2018-01-29,75,0.401380565872757,-0.396443659099522
"66","143_2018-01-29","Control","R1","Yellow",143,2018-01-29,75,0.0554004947637961,-1.25648635671152
"67","130_2018-01-29","N","R1","Green and Orange",130,2018-01-29,75,0.360867886909357,-0.442651763433941
"68","221_2018-01-29","N","R1","Green and Orange",221,2018-01-29,75,0.265271698721803,-0.576309081508751
"69","227_2018-01-29","N","R1","Green and Orange",227,2018-01-29,75,0.126924516617725,-0.896454481897394
"70","150_2018-01-29","N","R1","Orange",150,2018-01-29,75,0.140490323479436,-0.852353587532621
"71","158_2018-01-29","N","R1","Orange",158,2018-01-29,75,0.113246837747666,-0.94597391618412
"72","249_2018-01-29","N","R1","Orange",249,2018-01-29,75,0.22949627953804,-0.639224350602522
"73","164_2018-01-29","N","R1","Red and Orange",164,2018-01-29,75,0.0305442085973994,-1.51507112298688
"74","170_2018-01-29","N","R1","Red and Orange",170,2018-01-29,75,0.16893529375178,-0.772279608686001
"75","262_2018-01-29","N","R1","Red and Orange",262,2018-01-29,75,0.0822148418703288,-1.08504977418088
"76","268_2018-01-29","N","R1","Red and Orange",268,2018-01-29,75,0.127984647917792,-0.892842121949426
"77","146_2018-01-29","N","R1","F",146,2018-01-29,75,0.0611307751373906,-1.21374009732723
"78","274_2018-01-29","N","R1","Red and Orange",274,2018-01-29,75,0.0964578638470134,-1.01566236018033
"79","106_2018-01-29","N","R1","Red and Yellow",106,2018-01-29,75,0.0503467572817589,-1.29802849611314
"80","144_2018-01-29","N","R1","Yellow",144,2018-01-29,75,0.0630457386721443,-1.20034426252018
"81","177_2018-01-29","N","R1","Green",177,2018-01-29,75,0.191716002786886,-0.717341634477326
"82","183_2018-01-29","N","R1","Green",183,2018-01-29,75,0.299067422469478,-0.52423089225888
"83","190_2018-01-29","N","R1","Green",190,2018-01-29,75,0.213386775025801,-0.67083250014724
"84","282_2018-01-29","N","R1","Green",282,2018-01-29,75,0.130176656547162,-0.885466887055659
"85","288_2018-01-29","N","R1","Green",288,2018-01-29,75,0.230293032904462,-0.637719200624202
"86","117_2018-01-29","N","R1","Green and Orange",117,2018-01-29,75,0.234318484213026,-0.630193450732603
"87","123_2018-01-29","N","R1","Green and Orange",123,2018-01-29,75,0.299378530785363,-0.523779347265385
"88","138_2018-01-29","NP","R1","F",138,2018-01-29,75,0.00606424043855032,-2.21722358787311
"89","216_2018-01-29","NP","R1","Green and Orange",216,2018-01-29,75,0.151989405743777,-0.818186683024758
"90","222_2018-01-29","NP","R1","Green and Orange",222,2018-01-29,75,0.131628397145928,-0.880650407125035
"91","228_2018-01-29","NP","R1","Green and Orange",228,2018-01-29,75,0.214127600243944,-0.66932735016892
"92","151_2018-01-29","NP","R1","Orange",151,2018-01-29,75,0.0518340046924932,-1.28538523629526
"93","159_2018-01-29","NP","R1","Orange",159,2018-01-29,75,0.053960318379345,-1.26792549654675
"94","165_2018-01-29","NP","R1","Red and Orange",165,2018-01-29,75,0.0725712872585016,-1.13923517340039
"95","171_2018-01-29","NP","R1","Red and Orange",171,2018-01-29,75,0.0682296521233224,-1.16602684301449
"96","263_2018-01-29","NP","R1","Red and Orange",263,2018-01-29,75,0.159159223509847,-0.798168188313104
"97","269_2018-01-29","NP","R1","Red and Orange",269,2018-01-29,75,0.0344474898830476,-1.46284241873918
"98","240_2018-01-29","NP","R1","F",240,2018-01-29,75,0.0342332641581927,-1.46555168870015
"99","101_2018-01-29","NP","R1","Red and Yellow",101,2018-01-29,75,0.00878368888459959,-2.05632305519071
"100","107_2018-01-29","NP","R1","Red and Yellow",107,2018-01-29,75,0.0231883290079791,-1.63473054626331
"101","145_2018-01-29","NP","R1","Yellow",145,2018-01-29,75,0.0397622352420608,-1.40052920963673
"102","178_2018-01-29","NP","R1","Green",178,2018-01-29,75,0.152887532654383,-0.815627928061614
"103","276_2018-01-29","NP","R1","Green",276,2018-01-29,75,0.188749230875315,-0.724114809379765
"104","283_2018-01-29","NP","R1","Green",283,2018-01-29,75,0.242077797340814,-0.616045040936396
"105","289_2018-01-29","NP","R1","Green",289,2018-01-29,75,0.151148929966555,-0.82059492299007
"106","118_2018-01-29","NP","R1","Green and Orange",118,2018-01-29,75,0.242665794697125,-0.614991435951573
"107","124_2018-01-29","NP","R1","Green and Orange",124,2018-01-29,75,0.219309873646747,-0.658941815318512
"108","139_2018-01-29","Control","R2","F",139,2018-01-29,75,0.0778069409843635,-1.10898165883616
"109","125_2018-01-29","Control","R2","Green and Orange",125,2018-01-29,75,0.377891158854564,-0.422633268722288
"110","217_2018-01-29","Control","R2","Green and Orange",217,2018-01-29,75,0.465399856428275,-0.332173755025261
"111","223_2018-01-29","Control","R2","Green and Orange",223,2018-01-29,75,0.311983723816534,-0.505868062523379
"112","166_2018-01-29","Control","R2","Red and Orange",166,2018-01-29,75,0.368322815229547,-0.433771378561855
"113","173_2018-01-29","Control","R2","Red and Orange",173,2018-01-29,75,0.335536744878686,-0.474259912978661
"114","264_2018-01-29","Control","R2","Red and Orange",264,2018-01-29,75,0.384363346688403,-0.41525803382852
"115","270_2018-01-29","Control","R2","Red and Orange",270,2018-01-29,75,0.250094055371679,-0.601896631140187
