Spp,Colony,Core,Treatment,Rep,Date,Chl_a,Sym/cm2,Sym/cm2_2
O. fav,6,6-6,Control,R1,2018-02-05,4.67,1993392.75696565,1993392.75696565
O. fav,20,20-14,Control,R1,2018-02-05,4.12,2445835.77316337,2445835.77316337
O. fav,31,31-34,Control,R1,2018-02-05,3.28,1946378.12182167,1946378.12182167
O. fav,34,34-36,Control,R1,2018-02-05,3.26,1579015.2101057,1579015.2101057
O. fav,6,6-81,N,R1,2018-02-05,9.14,2957276.54957277,2957276.54957277
O. fav,20,20-28,N,R1,2018-02-05,5.62,2160286.78042849,2160286.78042849
O. fav,31,31-30,N,R1,2018-02-05,3.66,1214018.55450845,1214018.55450845
O. fav,34,34-38,N,R1,2018-02-05,4.69,2902562.36362564,2902562.36362564
O. fav,6,6-86,NP,R1,2018-02-05,6.97,2336355.66253264,2336355.66253264
O. fav,20,20-40,NP,R1,2018-02-05,7.14,1753953.45501488,1753953.45501488
O. fav,31,31-40,NP,R1,2018-02-05,5.35,1959711.6746042,1959711.6746042
O. fav,34,34-4,NP,R1,2018-02-05,4.64,1655771.63466464,1655771.63466464
O. fav,6,6-40,Control,R2,2018-02-05,4.3,1766029.45100798,1766029.45100798
O. fav,20,20-21,Control,R2,2018-02-05,5.93,3180022.47726731,3180022.47726731
O. fav,31,31-24,Control,R2,2018-02-05,3.03,1392709.76616231,1392709.76616231
O. fav,34,34-11,Control,R2,2018-02-05,2.47,986103.110599078,986103.110599078
O. fav,6,6-118,N,R2,2018-02-05,5.52,2558152.99507725,2558152.99507725
O. fav,20,20-45,N,R2,2018-02-05,6.62,1532388.95508896,1532388.95508896
O. fav,31,31-8,N,R2,2018-02-05,5.84,1704621.98078477,1704621.98078477
O. fav,34,34-10,N,R2,2018-02-05,4.45,1716387.99816766,1716387.99816766
O. fav,6,6-82,NP,R2,2018-02-05,7.59,3097935.91224018,3097935.91224018
O. fav,20,20-43,NP,R2,2018-02-05,8.26,2529296.875,2529296.875
O. fav,31,31-2,NP,R2,2018-02-05,3.71,1741231.89195077,1741231.89195077
O. fav,34,34-7,NP,R2,2018-02-05,3.55,1446535.74187415,1446535.74187415
O. fav,6,6-112,Control,R1,2018-03-08,2.82,903263.829911852,903263.829911852
O. fav,20,20-19,Control,R1,2018-03-08,3.35,790985.792561703,790985.792561703
O. fav,34,34-20,Control,R1,2018-03-08,1.77,714304.100491647,714304.100491647
O. fav,6,6-96,N,R1,2018-03-08,2.12,802213.732858814,802213.732858814
O. fav,20,20-2,N,R1,2018-03-08,1.77,640556.368960469,640556.368960469
O. fav,34,34-44,N,R1,2018-03-08,2.5,549800.11700468,549800.11700468
