"Sample.Name","File.Name","A.CT.mean","Acer.CT.mean","A.CT.sd","Acer.CT.sd","A.reps","Acer.reps","A.Acer","Sample.Plate","Treatment","Replicate","Fragment","Genotype","Date","Days","qPCR_Date","Sample","logA.SH","RanA","RanB"
"Sample 1","Plate10.csv",23.0685,19.873,0.120915259582899,0.186676190233248,2,2,0.0292999633606715,"Sample 1_Plate10.csv","N","R2",234,"Yellow",2017-12-14,29,2018-04-25,"234_2017-12-14",-1.53313292272671,1,1
"Sample 10","Plate10.csv",22.031,19.336,0.0509116882454308,0.00141421356237231,2,2,0.0414507688143585,"Sample 10_Plate10.csv","NP","R1",118,"Green and Orange",2017-12-14,29,2018-04-25,"118_2017-12-14",-1.38246740989689,1,1
"Sample 11","Plate10.csv",22.3485,20.7465,0.0685893577750935,0.318905158315133,2,2,0.088421601243879,"Sample 11_Plate10.csv","NP","R1",124,"Green and Orange",2017-12-14,29,2018-04-25,"124_2017-12-14",-1.05344162463616,1,1
"Sample 12","Plate10.csv",22.107,19.92,0.0311126983722084,0.00141421356237231,2,2,0.0589462019823748,"Sample 12_Plate10.csv","NP","R1",216,"Green and Orange",2017-12-14,29,2018-04-25,"216_2017-12-14",-1.22954417209959,1,1
"Sample 13","Plate10.csv",23.2345,22.019,0.0629325035256018,0.00424264068711945,2,2,0.115586328427005,"Sample 13_Plate10.csv","NP","R1",222,"Green and Orange",2017-12-14,29,2018-04-25,"222_2017-12-14",-0.937093531312032,1,1
"Sample 14","Plate10.csv",21.674,19.7515,0.257386868351904,0.195868578388674,2,2,0.0708073370787419,"Sample 14_Plate10.csv","NP","R1",228,"Green and Orange",2017-12-14,29,2018-04-25,"228_2017-12-14",-1.14992173824647,1,1
"Sample 15","Plate10.csv",22.4675,20.339,0.0756604255869601,0.207889393668845,2,2,0.0613855402860075,"Sample 15_Plate10.csv","NP","R1",151,"Orange",2017-12-14,29,2018-04-25,"151_2017-12-14",-1.21193391735325,1,1
"Sample 16","Plate10.csv",22.6755,19.771,0.101116269709677,0.494974746830583,2,2,0.0358481547773835,"Sample 16_Plate10.csv","NP","R1",159,"Orange",2017-12-14,29,2018-04-25,"159_2017-12-14",-1.4455331939885,1,1
"Sample 17","Plate10.csv",22.8485,20.4725,0.405172185619892,0.22698127676088,2,2,0.0517084070252806,"Sample 17_Plate10.csv","NP","R1",250,"Orange",2017-12-14,29,2018-04-25,"250_2017-12-14",-1.28643884128008,1,1
"Sample 18","Plate10.csv",21.6135,18.964,0.0516187950266157,0.294156420973604,2,2,0.042778884417585,"Sample 18_Plate10.csv","NP","R1",165,"Red and Orange",2017-12-14,29,2018-04-25,"165_2017-12-14",-1.36877054509418,1,1
"Sample 19","Plate10.csv",21.765,19.457,0.0098994949366112,0.0339411254969556,2,2,0.0542039827533576,"Sample 19_Plate10.csv","NP","R1",171,"Red and Orange",2017-12-14,29,2018-04-25,"171_2017-12-14",-1.26596880157493,1,1
"Sample 2","Plate10.csv",23.048,19.8815,0.107480230740353,0.113844191771035,2,2,0.0298948891327022,"Sample 2_Plate10.csv","NP","R1",138,"F",2017-12-14,29,2018-04-25,"138_2017-12-14",-1.52440305285246,1,1
"Sample 20","Plate10.csv",22.5295,19.985,0.280721392131061,0.356381817718018,2,2,0.0460084502211373,"Sample 20_Plate10.csv","NP","R1",263,"Red and Orange",2017-12-14,29,2018-04-25,"263_2017-12-14",-1.33716239554946,1,1
"Sample 21","Plate10.csv",22.323,19.744,0.015556349186103,0.0565685424949226,2,2,0.0449212745098001,"Sample 21_Plate10.csv","NP","R1",269,"Red and Orange",2017-12-14,29,2018-04-25,"269_2017-12-14",-1.34754793039987,1,1
"Sample 22","Plate10.csv",22.7065,19.9625,0.0657609306503489,0.0261629509039041,2,2,0.0400665658639896,"Sample 22_Plate10.csv","NP","R1",101,"Red and Yellow",2017-12-14,29,2018-04-25,"101_2017-12-14",-1.39721787968443,1,1
"Sample 3","Plate10.csv",26.7445,23.6105,0.0261629509039041,0.0148492424049155,2,2,0.0305759825606694,"Sample 3_Plate10.csv","NP","R1",191,"F",2017-12-14,29,2018-04-25,"191_2017-12-14",-1.51461957799338,1,1
"Sample 4","Plate10.csv",22.851,20.2995,0.226274169979695,0.0643467170879741,2,2,0.0457857565234402,"Sample 4_Plate10.csv","NP","R1",240,"F",2017-12-14,29,2018-04-25,"240_2017-12-14",-1.33926960551911,1,1
"Sample 5","Plate10.csv",22.238,19.667,0.0240416305603419,0.0141421356237306,2,2,0.0451710628683136,"Sample 5_Plate10.csv","NP","R1",178,"Green",2017-12-14,29,2018-04-25,"178_2017-12-14",-1.34513969043456,1,1
"Sample 7","Plate10.csv",22.4185,21.057,0.0205060966544098,0.065053823869164,2,2,0.104461459491053,"Sample 7_Plate10.csv","NP","R1",276,"Green",2017-12-14,29,2018-04-25,"276_2017-12-14",-0.981043910678972,1,1
"Sample 8","Plate10.csv",21.896,19.9015,0.0466690475583114,0.111015764646288,2,2,0.0673603138613933,"Sample 8_Plate10.csv","NP","R1",283,"Green",2017-12-14,29,2018-04-25,"283_2017-12-14",-1.17159589793427,1,1
"Sample 9","Plate10.csv",22.3075,20.2815,0.0827314933988267,0.0912167747730656,2,2,0.0659054996958216,"Sample 9_Plate10.csv","NP","R1",289,"Green",2017-12-14,29,2018-04-25,"289_2017-12-14",-1.18107834279769,1,1
"Sample 1","Plate11.csv",22.8865,19.767,0.00636396103067666,0.148492424049176,2,2,0.0308848400812167,"Sample 1_Plate11.csv","NP","R1",107,"Red and Yellow",2017-12-14,29,2018-04-25,"107_2017-12-14",-1.51025464305625,1,1
"Sample 10","Plate11.csv",23.389,20.1715,0.0707106781186558,0.511238202797876,2,2,0.0288565506919946,"Sample 10_Plate11.csv","NP","R2",121,"Green and Orange",2017-12-14,29,2018-04-25,"121_2017-12-14",-1.53975558263132,1,1
"Sample 11","Plate11.csv",23.1245,20.5085,0.164755880016466,0.0912167747730656,2,2,0.0437838512583899,"Sample 11_Plate11.csv","NP","R2",128,"Green and Orange",2017-12-14,29,2018-04-25,"128_2017-12-14",-1.35868604023944,1,1
"Sample 12","Plate11.csv",25.951,20.6075,0.152735064736295,0.0261629509039041,2,2,0.00661080956190715,"Sample 12_Plate11.csv","NP","R2",219,"Green and Orange",2017-12-14,29,2018-04-25,"219_2017-12-14",-2.17974535341295,1,1
"Sample 13","Plate11.csv",23.059,20.265,0.333754400720051,0.0254558441227167,2,2,0.0387017515432876,"Sample 13_Plate11.csv","NP","R2",225,"Green and Orange",2017-12-14,29,2018-04-25,"225_2017-12-14",-1.41226937946763,1,1
"Sample 14","Plate11.csv",23.8595,20.5155,0.147785317267988,0.0318198051533958,2,2,0.0264340753075188,"Sample 14_Plate11.csv","NP","R2",229,"Green and Orange",2017-12-14,29,2018-04-25,"229_2017-12-14",-1.57783587708281,1,1
"Sample 15","Plate11.csv",24.0515,20.0485,0.42214274836837,0.171826947828333,2,2,0.0167411526250012,"Sample 15_Plate11.csv","NP","R2",155,"Orange",2017-12-14,29,2018-04-25,"155_2017-12-14",-1.77621464422538,1,1
"Sample 16","Plate11.csv",26.8375,20.8235,0.352846283812086,0.0601040764008571,2,2,0.00415349827558353,"Sample 16_Plate11.csv","NP","R2",247,"Orange",2017-12-14,29,2018-04-25,"247_2017-12-14",-2.38158596550565,1,1
"Sample 17","Plate11.csv",24.4665,21.114,0.0176776695296627,0.190918830920368,2,2,0.0262787902167171,"Sample 17_Plate11.csv","NP","R2",168,"Red and Orange",2017-12-14,29,2018-04-25,"168_2017-12-14",-1.58039463204596,1,1
"Sample 18","Plate11.csv",24.094,21.0075,0.166877200360026,0.174655374953077,2,2,0.0315994371338486,"Sample 18_Plate11.csv","NP","R2",175,"Red and Orange",2017-12-14,29,2018-04-25,"175_2017-12-14",-1.50032065319934,1,1
"Sample 19","Plate11.csv",25.0315,20.3165,1.32016836047528,0.122329473145271,2,2,0.0102200259577784,"Sample 19_Plate11.csv","NP","R2",266,"Red and Orange",2017-12-14,29,2018-04-25,"266_2017-12-14",-1.99054800113813,1,1
"Sample 2","Plate11.csv",24.2975,21.601,0.0968736290225573,0.0933380951166253,2,2,0.0414076939858323,"Sample 2_Plate11.csv","NP","R1",300,"Red and Yellow",2017-12-14,29,2018-04-25,"300_2017-12-14",-1.38291895489039,1,1
"Sample 20","Plate11.csv",23.0465,19.7965,0.0926309883354354,0.00777817459305148,2,2,0.0282137583633712,"Sample 20_Plate11.csv","NP","R2",272,"Red and Orange",2017-12-14,29,2018-04-25,"272_2017-12-14",-1.5495390574904,1,1
"Sample 21","Plate11.csv",23.6625,20.5485,0.0346482322781405,0.293449314192417,2,2,0.0310028073712854,"Sample 21_Plate11.csv","NP","R2",104,"Red and Yellow",2017-12-14,29,2018-04-25,"104_2017-12-14",-1.5085989780801,1,1
"Sample 22","Plate11.csv",23.636,20.1575,0.274357431100379,0.215667568261897,2,2,0.024081059374601,"Sample 22_Plate11.csv","NP","R2",110,"Red and Yellow",2017-12-14,29,2018-04-25,"110_2017-12-14",-1.61832441149962,1,1
"Sample 3","Plate11.csv",22.8105,20.517,0.0883883476483184,0.0777817459305198,2,2,0.0547515140611012,"Sample 3_Plate11.csv","NP","R1",145,"Yellow",2017-12-14,29,2018-04-25,"145_2017-12-14",-1.2616038666378,1,1
"Sample 4","Plate11.csv",24.5005,20.8255,0.164755880016466,0.149199530830363,2,2,0.0210146999919518,"Sample 4_Plate11.csv","NP","R2",140,"F",2017-12-14,29,2018-04-25,"140_2017-12-14",-1.67747680564759,1,1
"Sample 5","Plate11.csv",23.857,20.528,0.130107647738325,0.0466690475583114,2,2,0.0267103496310223,"Sample 5_Plate11.csv","NP","R2",237,"F",2017-12-14,29,2018-04-25,"237_2017-12-14",-1.57332042714786,1,1
"Sample 6","Plate11.csv",24.2105,19.855,0.00494974746830435,0.0282842712474613,2,2,0.013112100892536,"Sample 6_Plate11.csv","NP","R2",181,"Green",2017-12-14,29,2018-04-25,"181_2017-12-14",-1.88232771769693,1,1
"Sample 7","Plate11.csv",24.9685,20.4475,0.0219203102167846,0.113844191771033,2,2,0.0116910042400497,"Sample 7_Plate11.csv","NP","R2",188,"Green",2017-12-14,29,2018-04-25,"188_2017-12-14",-1.93214818197932,1,1
"Sample 8","Plate11.csv",23.582,20.8555,0.0325269119345807,0.0657609306503489,2,2,0.0405555359659922,"Sample 8_Plate11.csv","NP","R2",280,"Green",2017-12-14,29,2018-04-25,"280_2017-12-14",-1.39194985476031,1,1
"Sample 9","Plate11.csv",23.5375,20.5975,0.106773123959169,0.00494974746830435,2,2,0.0349768134872892,"Sample 9_Plate11.csv","NP","R2",286,"Green",2017-12-14,29,2018-04-25,"286_2017-12-14",-1.45621975883457,1,1
"Sample 1","Plate12.csv",25.7735,23.8155,0.0926309883354379,0.221324422511391,2,2,0.069086262261322,"Sample 1_Plate12.csv","Control","R1",137,"F",2018-01-29,75,2018-02-08,"137_2018-01-29",-1.16060830309254,1,1
"Sample 10","Plate12.csv",24.021,24.5755,0.0735391052434004,0.0700035713374683,2,2,0.394211746512861,"Sample 10_Plate12.csv","Control","R1",129,"Green and Orange",2018-01-29,75,2018-02-08,"129_2018-01-29",-0.404270438986785,1,1
"Sample 11","Plate12.csv",24.0515,24.434,0.211424927574777,0.00424264068711945,2,2,0.349906815489626,"Sample 11_Plate12.csv","Control","R1",220,"Green and Orange",2018-01-29,75,2018-02-08,"220_2018-01-29",-0.456047598240989,1,1
"Sample 12","Plate12.csv",24.2315,24.3635,0.0671751442127212,0.0714177848998432,2,2,0.294133430272416,"Sample 12_Plate12.csv","Control","R1",226,"Green and Orange",2018-01-29,75,2018-02-08,"226_2018-01-29",-0.531455612154816,1,1
